"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.95573057252975,2078,1.02996349241931,1.98396854500515e-13,5.97174532046552e-11,128054,2526,7162,1.00721237344141,0.0462274703810127,0.743937609581633
"Chromatin regulator",0.0256618683154461,88,1.62444932049302,1.12614591237792e-05,0.00169484959812877,216049,41,121,0.967654920274048,0.637183590252328,0.993784557210222
"Alternative splicing",0.710857751700022,1585,1.05622958911809,2.2255358328005e-05,0.0022329542855765,130674,1480,4260,0.992142695080022,0.721825437943487,0.993784557210222
"Coiled coil",0.174946625579615,439,1.18869576881787,5.22935752405029e-05,0.00393509153684785,128105,292,838,0.995086548784058,0.55805327290337,0.993784557210222
"Repeat",0.380405863038808,882,1.09833076815282,0.000233406680244963,0.0105352511922157,135457,694,1941,1.02107103800019,0.223231651389958,0.955609864347579
"Ciliopathy",0.00529126876896426,25,2.23816424410803,0.000237734795155209,0.0105352511922157,129754,15,37,1.15774138450718,0.292937826211303,0.955609864347579
"Acetylation",0.248924256778142,596,1.13420304085976,0.000250979349529445,0.0105352511922157,112696,452,1287,1.00295606912707,0.477902771212796,0.955609864347579
"Phosphoprotein",0.602251107957131,1349,1.06107506471306,0.000281546458652082,0.0105352511922157,127027,1167,3336,0.999003102350833,0.531883689884274,0.988253028735596
"DNA-binding",0.00122224939525097,10,3.87571590893839,0.000350008345256336,0.0105352511922157,49299,7,10,1.99903345724907,0.0260173432361432,0.638124541033678
"Nucleosome core",0.00122224939525097,10,3.87571590893839,0.000350008345256336,0.0105352511922157,49299,7,10,1.99903345724907,0.0260173432361432,0.638124541033678
"Angiogenesis",0.0125289287613564,45,1.70141532627587,0.000581969348330436,0.0150516592373134,111674,33,68,1.38588453968948,0.0145522356831445,0.54752786757831
"Hydroxylation",0.0114682858093167,42,1.73485247223851,0.000600066148995881,0.0150516592373134,94114,28,58,1.37864376362005,0.02518933237474,0.638124541033678
"Isopeptide bond",0.153294717804815,378,1.16809018902838,0.000702246376354188,0.0162597045602008,129452,262,725,1.03201333162415,0.265658897708889,0.955609864347579
"ATP-binding",0.00762167663194992,30,1.86458635859992,0.00117401085490287,0.0235584844883843,81655,21,47,1.27597880249941,0.108704849534879,0.908893325277742
"Helicase",0.00762167663194992,30,1.86458635859992,0.00117401085490287,0.0235584844883843,81655,21,47,1.27597880249941,0.108704849534879,0.908893325277742
"Joubert syndrome",0.000885479822147009,7,3.74482163813174,0.00313873396157294,0.0590474326520909,199520,4,9,1.26922759190417,0.391497457266093,0.955609864347579
"Growth factor",0.00678438344860096,26,1.81541002223092,0.00337797454433253,0.0591383679853506,195073,20,51,1.11990669873898,0.310644098063694,0.955609864347579
"Repressor",0.0832351032818188,211,1.20084706025197,0.00372779645642973,0.0591383679853506,183528,118,299,1.1270231627109,0.0576154484148701,0.743937609581633
"GTPase activation",0.0208446809064672,63,1.43171661474978,0.00373298668346067,0.0591383679853506,94071,39,90,1.23749690210657,0.061788838005119,0.743937609581633
"Cell division",0.0223477282080288,66,1.39901484033054,0.00504759851298098,0.072348912019394,115487,42,125,0.959536059479554,0.663345863660619,0.993784557210222
"Mitosis",0.0223477282080288,66,1.39901484033054,0.00504759851298098,0.072348912019394,115487,42,125,0.959536059479554,0.663345863660619,0.993784557210222
