"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0008150","biological_process",0.951626117856197,2053,1.02829355204936,1.0852252430027e-10,5.0723427857946e-07,129972,2413,6893,1.00380795400411,0.248021787204089,0.711198670792584
"GO:0009987","cellular process",0.931474170216684,2016,1.03160687436897,5.55155743597879e-09,1.29739897278824e-05,131118,2279,6506,1.00445816977512,0.261769983123617,0.731198238641416
"GO:0044238","primary metabolic process",0.69585694232556,1555,1.06513570978059,2.62723874389081e-06,0.00224843734369135,128176,1432,4016,1.02247077386609,0.0688208606002764,0.533447267737466
"GO:0051154","negative regulation of striated muscle cell differentiation",0.00867493722985617,41,2.25274498660484,2.64187607457167e-06,0.00224843734369135,195866,10,20,1.43374393430384,0.119022015742695,0.602255571122025
"GO:0000278","mitotic cell cycle",0.0736643509340289,212,1.37174381434064,2.85022084667297e-06,0.00224843734369135,134721,149,393,1.0871646117622,0.107247536534655,0.597612275994436
"GO:0044772","mitotic cell cycle phase transition",0.0381144232676769,123,1.53819103202145,3.01600494967413e-06,0.00224843734369135,158017,80,192,1.19478661191987,0.0282928299592011,0.42542796039495
"GO:0040017","positive regulation of locomotion",0.0611927360856718,181,1.40985100730453,3.36736444284114e-06,0.00224843734369135,126857,119,285,1.19730195215549,0.00828974466463672,0.274796216755404
"GO:2000147","positive regulation of cell motility",0.0606104696814769,179,1.40766689669225,4.17978956301912e-06,0.00244204205219392,124265,117,279,1.20249491264193,0.00751797821256961,0.254630653373553
"GO:0010832","negative regulation of myotube differentiation",0.00339212461199018,22,3.09133021666122,5.54524199869455e-06,0.00287982901132204,243884,3,7,1.22892337226044,0.464830526487317,0.814308959853174
"GO:1903047","mitotic cell cycle process",0.0582299960350047,172,1.40791424322748,6.42718300025713e-06,0.00300406533432018,134321,120,322,1.0686290193569,0.1942497199316,0.689946915278307
"GO:0030812","negative regulation of nucleotide catabolic process",0.00375198081983861,23,2.92187574014764,8.4005111504748e-06,0.0030203068551784,251455,5,9,1.59304881589316,0.16946336285755,0.662508810877368
"GO:0033122","negative regulation of purine nucleotide catabolic process",0.00375198081983861,23,2.92187574014764,8.4005111504748e-06,0.0030203068551784,251455,5,9,1.59304881589316,0.16946336285755,0.662508810877368
"GO:0045820","negative regulation of glycolytic process",0.00375198081983861,23,2.92187574014764,8.4005111504748e-06,0.0030203068551784,251455,5,9,1.59304881589316,0.16946336285755,0.662508810877368
