"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Ubl conjugation",0.188924436156917,1287,1.32276648645808,0,0,156692,758,2314,1.15392264838554,4.56120105019053e-07,4.75505209482363e-05
"Zinc-finger",0.12347582040206,840,1.32096142860521,0,0,162701,495,1536,1.13523253622836,0.00031000786292612,0.0107727732366827
"Acetylation",0.216374459565546,1452,1.30302692905124,0,0,136672,875,3103,0.993338169767879,0.608962815626543,1
"Transcription",0.187621735086609,1242,1.28537905500321,0,0,164067,709,2155,1.15896362936423,5.71349465072757e-07,4.76505453870679e-05
"Direct protein sequencing",0.171234568085643,1121,1.27117967677971,0,0,121461,704,2549,0.972912246557628,0.829546021707668,1
"Phosphoprotein",0.538892110673773,3221,1.16059760537579,0,0,151082,2262,7422,1.07359998565906,1.17105542263296e-07,1.62776703745982e-05
"Alternative splicing",0.648817179116284,3695,1.10582110222878,0,0,156671,2822,9354,1.06274847462764,2.09863466604787e-08,4.37565327870981e-06
"Reference proteome",0.869853986382269,4952,1.10541931532367,0,0,156324,4757,16709,1.00289054946516,0.207913445306662,0.699192795910306
"Metal-binding",0.140486316897135,937,1.29508518403279,1.11022302462516e-16,5.14403334742989e-15,161775,558,1760,1.11684364555888,0.000706318948572759,0.0179981117430102
"3D-structure",0.516453452789724,2952,1.10988488972021,2.22044604925031e-16,9.25926002537381e-15,149053,2087,7092,1.03663189867507,0.0067427886145065,0.0819155449769257
"Zinc",0.131844068564417,883,1.30044766174552,3.33066907387547e-16,1.26262636709643e-14,162886,524,1616,1.14224897494612,0.00010667462194236,0.00404393794090582
"Isopeptide bond",0.133313809194214,882,1.28465413266252,6.21724893790088e-15,2.16049400592055e-13,153107,516,1639,1.10902565944217,0.00210493489534691,0.0405375883216327
"Methylation",0.069063720557438,501,1.40857678406063,2.39808173319034e-14,7.69230832877209e-13,150467,266,901,1.03998647680364,0.229786852565556,0.739768563586508
"Charcot-Marie-Tooth disease",0.004313463931223,56,2.52089424674612,1.19058540803962e-09,3.30982743435015e-08,107424,25,55,1.60120952768298,0.00513486586510581,0.0764728237767544
"Neuropathy",0.004313463931223,56,2.52089424674612,1.19058540803962e-09,3.30982743435015e-08,107424,25,55,1.60120952768298,0.00513486586510581,0.0764728237767544
"Cytoskeleton",0.1051286910744,671,1.2393501793313,6.59852728013277e-09,1.7197411723846e-07,141295,405,1242,1.14869379159866,0.0004083119716638,0.0125016093429128
"Cytoplasm",0.105524976535361,673,1.23837612611736,7.01308122685873e-09,1.72026757152947e-07,140965,407,1249,1.14789672625087,0.000419718299282446,0.0125016093429128
"Coiled coil",0.160157263212325,970,1.17602855334389,3.70362855939277e-08,8.58007282925991e-07,159792,559,1876,1.04966283429879,0.0806829791496966,0.480640032934621
"Diamond-Blackfan anemia",0.000944660766907933,21,4.31654414553456,5.06009636414007e-08,1.11055799149811e-06,156763,6,19,1.11241925081133,0.463619605910962,0.938492114878016
"Magnesium",0.0513182099784145,352,1.33187643512617,7.04551700314582e-08,1.4689902951559e-06,141086,197,582,1.19237836649107,0.00198298466084956,0.0405375883216327
"Translation regulation",0.0087736723482726,84,1.85904818007727,1.36258386462806e-07,2.70570224547573e-06,179750,31,107,1.02058401671008,0.483137061198435,0.963962461816973
"Hydrolase",0.0721799736345114,467,1.25629876383231,4.11909073183558e-07,7.80754925079745e-06,153253,266,892,1.05047961390143,0.174621473101214,0.637390080452163
"Ribonucleoprotein",0.00817006349923697,77,1.83002938864257,7.81716416486944e-07,1.41728585076111e-05,130194,41,158,0.914108224031674,0.778195918085654,1
"SH3 domain",0.0204782584217324,158,1.49815531275486,8.35703690915679e-07,1.42151747465391e-05,135356,77,203,1.33618174379062,0.00196498707165882,0.0405375883216327
