"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE38304_MYC_NEG_VS_POS_GC_BCELL_DN",0.013217635289693,121,1.62919314425985,3.29889229711e-07,0.00160722032715199,100775,78,95,1.12050565212106,0.0292336169572931,0.680805135098916
"GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_UP",0.0198205470512327,162,1.45458915581226,3.19575419760465e-06,0.00778485722536493,133595,82,96,1.1656969858471,0.00323838521379483,0.601792234081187
"GSE17721_0.5H_VS_12H_CPG_BMDC_UP",0.016113397254677,135,1.49103425901396,6.43166894775948e-06,0.00803270134085432,113628,72,88,1.11658780019057,0.0406822629649057,0.743193316054332
"GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_DN",0.0125271838412885,110,1.56271651605588,6.59499289068499e-06,0.00803270134085432,140064,63,83,1.03587060981535,0.343404934884561,0.872509995576375
"GSE3203_INFLUENZA_INF_VS_IFNB_TREATED_LN_BCELL_DN",0.0144641793412739,123,1.51339495318765,8.40866494489223e-06,0.00819340312230299,154368,72,87,1.1294221427215,0.0257261697846629,0.659673153636198
"GSE14415_ACT_VS_CTRL_NATURAL_TREG_UP",0.00945666142027366,86,1.61845854163266,1.90117475340479e-05,0.0154375389976469,118703,53,64,1.13015744359567,0.0514360066220028,0.750975233219099
"GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP",0.0172243744394444,139,1.43619136139743,2.72841193662554e-05,0.0189897470789138,143899,72,89,1.10404186985135,0.0614491953660088,0.763725713834681
"GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.0142839156757981,118,1.47019755956635,4.17480608789766e-05,0.0218976014970726,157846,61,76,1.09536610223373,0.102584956550197,0.766555074099015
"GSE17721_0.5H_VS_24H_CPG_BMDC_UP",0.0132706540148329,111,1.48857808185376,4.28556492498844e-05,0.0218976014970726,97503,65,83,1.06875539107933,0.180017361263926,0.800365229141049
"GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_UP",0.0233317289017017,178,1.35773198354792,4.67152103443835e-05,0.0218976014970726,179434,77,96,1.09461790134423,0.0734662254986433,0.766484814227614
"GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",0.0148456457130401,121,1.45053177298848,5.82024437645323e-05,0.0218976014970726,180392,62,85,0.995441672849634,0.583593620515507,0.93999817309719
"GSE7852_LN_VS_THYMUS_TREG_DN",0.0153327468612244,124,1.4392713730107,6.53571377386974e-05,0.0218976014970726,95379,65,84,1.0560321126141,0.235173137805929,0.815490055082198
