"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-157118",0.0203947599781912,86,1.76507719128668,6.60487303516533e-07,0.000295732251104871,140915,41,90,1.18750518417977,0.0971610263982119,0.638926423317523
"R-HSA-4090294",0.00466188952293617,31,2.78345091207749,7.00440354384213e-07,0.000295732251104871,213262,9,14,1.67574773377284,0.0445216412136453,0.600815812703989
"R-HSA-5578749",0.00420404934204433,29,2.88744714745645,7.72819471528408e-07,0.000295732251104871,48906,19,38,1.30335934848999,0.0959512144023891,0.636716729097934
"R-HSA-392499",0.151555435170985,446,1.23181983542252,1.82538287818446e-06,0.000465020246919461,126913,307,787,1.01685214736068,0.360527156711792,0.753888807367947
"R-HSA-2990846",0.0189381543953597,79,1.7461167912319,2.72554243796463e-06,0.000465020246919461,152974,39,93,1.09314009873354,0.270764624348491,0.734633312277662
"R-HSA-68875",0.00630050369131129,36,2.39172410545921,2.93883310753529e-06,0.000465020246919461,98464,25,53,1.22958429102829,0.11937187611876,0.660852785561538
"R-HSA-350054",0.00656693956321698,37,2.35842763406543,2.94827557500987e-06,0.000465020246919461,190241,9,14,1.67574773377284,0.0445216412136453,0.600815812703989
"R-HSA-4551638",0.00607446943020843,35,2.41181251157547,3.35077632296343e-06,0.000465020246919461,185328,13,34,0.996686560609992,0.570725528501559,0.845492287136933
"R-HSA-3108232",0.0184620596660653,77,1.74579974301318,3.6456291134801e-06,0.000465020246919461,155575,37,90,1.07165101986955,0.331115047876129,0.743874902077878
"R-HSA-597592",0.117365471360627,352,1.25541168442146,5.96973652466914e-06,0.000685325753032018,133971,235,589,1.04003207774244,0.225189073355029,0.726532732908407
"R-HSA-9816359",0.00474014247675028,29,2.56088721805135,7.49785884956999e-06,0.000782503814482396,74991,17,34,1.30335934848999,0.111798920161832,0.659684688844672
"R-HSA-211000",0.00748651243899827,39,2.18056434612456,9.57173714133397e-06,0.00091569618652095,86646,27,52,1.35348855420114,0.0317648311505148,0.600815812703989
"R-HSA-9821993",0.000568843942134155,9,6.62267163227084,1.2785741720478e-05,0.00103468960232993,35454,6,9,1.73781246465332,0.0820802701651935,0.600815812703989
"R-HSA-9616222",0.00224504100427935,18,3.35607824674923,1.32262388872206e-05,0.00103468960232993,70695,14,23,1.58669833729216,0.023784485741952,0.600815812703989
"R-HSA-5621481",0.00817119222871661,41,2.10030458042011,1.35194634450775e-05,0.00103468960232993,112126,23,48,1.24905270896957,0.112662764095547,0.659684688844672
"R-HSA-1980143",0.0136080947110399,59,1.8148408184544,1.63323842297114e-05,0.00111259369490642,174919,23,41,1.46230561050096,0.0157048116412704,0.600815812703989
"R-HSA-5607764",0.00556146293024695,31,2.33322433456281,2.18394828019886e-05,0.00111259369490642,131091,17,33,1.34285508632302,0.0854982351034282,0.602159349071998
"R-HSA-9007101",0.00583662340249212,32,2.29494433733491,2.22478229467971e-05,0.00111259369490642,157125,20,44,1.1848721349909,0.206564678511395,0.726532732908407
"R-HSA-2644602",0.0113107061047237,51,1.88740155465598,2.22906402289613e-05,0.00111259369490642,187413,16,28,1.48955354113142,0.0335832227402383,0.600815812703989
"R-HSA-2644603",0.0113107061047237,51,1.88740155465598,2.22906402289613e-05,0.00111259369490642,187413,16,28,1.48955354113142,0.0335832227402383,0.600815812703989
"R-HSA-2644606",0.0113107061047237,51,1.88740155465598,2.22906402289613e-05,0.00111259369490642,187413,16,28,1.48955354113142,0.0335832227402383,0.600815812703989
"R-HSA-2894858",0.0113107061047237,51,1.88740155465598,2.22906402289613e-05,0.00111259369490642,187413,16,28,1.48955354113142,0.0335832227402383,0.600815812703989
"R-HSA-2894862",0.0113107061047237,51,1.88740155465598,2.22906402289613e-05,0.00111259369490642,187413,16,28,1.48955354113142,0.0335832227402383,0.600815812703989
"R-HSA-3214847",0.00751711565249675,38,2.11600268700534,2.33824974007479e-05,0.00111846279233578,113400,25,47,1.38655249839361,0.0271191954826089,0.600815812703989
"R-HSA-2122947",0.00990886416709999,46,1.94320136507884,2.77959526912008e-05,0.00127639014757994,187461,14,25,1.45976247030879,0.0554079956475786,0.600815812703989
"R-HSA-9821002",0.000972054702438781,11,4.73680852669923,3.16717817074874e-05,0.0013984309769306,37604,9,16,1.46627926705124,0.113203731448084,0.659684688844672
"R-HSA-1912408",0.00546629767423631,30,2.29726886659004,3.86846466911006e-05,0.00156530352113213,82089,17,31,1.42949089834386,0.0457400277595309,0.600815812703989
"R-HSA-3371556",0.00685203265738709,35,2.13812194213127,3.913298188718e-05,0.00156530352113213,164109,20,44,1.1848721349909,0.206564678511395,0.726532732908407
"R-HSA-5689880",0.0112792975435015,50,1.85554632489378,4.04925660569821e-05,0.00156530352113213,84555,35,67,1.36171872230297,0.0141252471348425,0.600815812703989
"R-HSA-162582",0.247886566236226,677,1.14319292317435,4.09051442804564e-05,0.00156530352113213,137053,479,1186,1.0527978548511,0.0635971433073421,0.600815812703989
"R-HSA-427389",0.00103621407108912,11,4.44351908683365,5.57577698891976e-05,0.00206483612363867,38497,10,17,1.53336393939999,0.070333264008196,0.600815812703989
"R-HSA-73728",0.000697162679434828,9,5.40371243310817,6.08377001953819e-05,0.00218255249450933,30674,8,15,1.39024997172266,0.176103634275314,0.706877524993216
"R-HSA-8854214",0.00144398846849439,13,3.7684562486659,6.47179175581325e-05,0.00225139907141625,44175,9,14,1.67574773377284,0.0445216412136453,0.600815812703989
"R-HSA-74160",0.141178663976447,404,1.19783265260516,7.23906137772845e-05,0.00244424778283302,138774,268,634,1.10189370787166,0.0195891206682038,0.600815812703989
"R-HSA-9843940",0.00284314591370592,19,2.79729521487695,8.62305752826753e-05,0.0027507780704878,22770,17,28,1.58265063745213,0.0135639888007766,0.600815812703989
"R-HSA-68886",0.022681007940997,84,1.55024659338649,8.62613332208717e-05,0.0027507780704878,94624,58,150,1.00793122949893,0.500418644847599,0.813711904086465
"R-HSA-9610379",0.00687364282130488,34,2.07050272480889,9.13506362407723e-05,0.00283433865957856,63802,23,44,1.36260295523953,0.0417692525040331,0.600815812703989
"R-HSA-9843970",0.00092668678067348,10,4.51700823637888,0.000104901169562965,0.00316911954363906,34937,9,15,1.56403121818799,0.0741041514122913,0.600815812703989
"R-HSA-5693606",0.00497396176584837,27,2.27219276068466,0.000109005811969709,0.00320868390105708,72509,20,32,1.62919918561249,0.00479181729248213,0.600815812703989
"R-HSA-427359",0.00112815793620519,11,4.08137624632431,0.000116678822296157,0.0033486821998997,43100,10,15,1.73781246465332,0.0247999677478812,0.600815812703989
"R-HSA-1912422",0.00585098543689711,30,2.14622914344428,0.000125412432231076,0.00351154810247012,82089,17,36,1.2309504957961,0.177269134297223,0.709076537188893
"R-HSA-9609690",0.00865614578297114,39,1.88592273173272,0.00019512201745886,0.0053333351438755,73450,24,54,1.15854164310221,0.216006323929015,0.726532732908407
"R-HSA-5693565",0.0049236275331206,26,2.21040577521115,0.000219418738962696,0.00585797005416685,68821,19,31,1.59766629814902,0.00800888939915778,0.600815812703989
"R-HSA-8878159",0.0118272024448209,49,1.73419487979803,0.000228016136813447,0.00594914829685994,195250,22,35,1.63850889524456,0.00282242249566522,0.600815812703989
