"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0003674","molecular_function",0.948235872388895,5451,1.02488316906547,0,0,140267,5237,7117,1.00511232596566,0.00544525351517611,0.953799874173814
"GO:0005488","binding",0.922217235031874,5324,1.02924643744651,6.66133814775094e-16,3.93352017624693e-13,140010,4866,6606,1.00614952396825,0.0155355759615365,0.953799874173814
"GO:0005515","protein binding",0.865319686805639,5016,1.03346435816654,3.0785152205226e-11,1.21190882514573e-08,137720,4348,5910,1.00491897187062,0.102131959971456,0.953799874173814
"GO:0003824","catalytic activity",0.392351451599004,2420,1.09965046509376,1.31908750589105e-09,3.89460586114332e-07,136084,1636,2237,0.998955876564516,0.550577186317439,0.998823258711187
"GO:0097367","carbohydrate derivative binding",0.17843042560748,1146,1.14506533214112,3.52368058953445e-07,7.19583482952785e-05,140582,710,942,1.02952390875623,0.0585719007209071,0.953799874173814
"GO:0032559","adenyl ribonucleotide binding",0.111977695089446,748,1.19092560841436,4.06499179872455e-07,7.19583482952785e-05,132302,468,623,1.02609317097785,0.140735520672105,0.953799874173814
"GO:0030554","adenyl nucleotide binding",0.116660255203956,776,1.18591444524868,4.34225201795257e-07,7.19583482952785e-05,131069,492,660,1.01824001034527,0.22309711994487,0.968668009760632
"GO:0036094","small molecule binding",0.481223988946334,2883,1.06810004571476,4.8744012393076e-07,7.19583482952785e-05,142572,1942,2599,1.02063847732222,0.0171733132184477,0.953799874173814
"GO:1901363","heterocyclic compound binding",0.16328196915035,1051,1.14756963127518,8.84691911728908e-07,0.000109689911190003,126565,672,908,1.01090982009136,0.296171300487719,0.998823258711187
"GO:0043167","ion binding",0.470866814546405,2820,1.06774017706682,9.28788409737535e-07,0.000109689911190003,143442,1888,2528,1.0201262221582,0.0217163832182576,0.953799874173814
"GO:0016740","transferase activity",0.182841717763743,1165,1.13596563294599,1.1569831868119e-06,0.000114628700648091,142101,703,934,1.02810492505353,0.0692655997948359,0.953799874173814
"GO:0005524","ATP binding",0.109362999480014,727,1.18516429125806,1.16472854172489e-06,0.000114628700648091,133730,453,605,1.02275548710955,0.180046001568778,0.953799874173814
"GO:1901265","nucleoside phosphate binding",0.154761524458813,998,1.14969356946239,1.35355233865653e-06,0.000122965023996412,129122,632,851,1.01441697743262,0.243947462154229,0.998823258711187
"GO:0000166","nucleotide binding",0.153876313085907,990,1.14703846704335,2.17318720174831e-06,0.000183323863233196,129973,629,847,1.01436960169018,0.245358242260208,0.998823258711187
