"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.95573057252975,2340,1.02830271693806,2.81885625952327e-13,9.07671715566494e-11,130217,2760,7162,1.00625117343575,0.0593681807258595,0.924740436448311
"Alternative splicing",0.710857751700022,1781,1.05225699250004,2.83126144332568e-05,0.00455833092375435,133830,1613,4260,0.988681488432065,0.814783599096764,0.986316988380293
"Chromatin regulator",0.0256618683154461,93,1.52207229557458,7.04882495335957e-05,0.0075657387832726,221739,44,121,0.949508683023299,0.701917098620681,0.986316988380293
"Hydroxylation",0.0114682858093167,48,1.75785615594672,0.000194909163712675,0.0156901876788704,93956,32,58,1.44063386389742,0.00651332953726758,0.443613801471182
"Phosphoprotein",0.602251107957131,1513,1.05512016940849,0.000476564543149038,0.0280914836718448,130180,1282,3336,1.00344510251758,0.426623950379647,0.982184274642215
"Coiled coil",0.174946625579615,478,1.14752704840792,0.00060973018148669,0.0280914836718448,127489,310,838,0.965938129209263,0.805117113068943,0.986316988380293
"Angiogenesis",0.0125289287613564,49,1.64256568140977,0.000730318939031527,0.0280914836718448,107871,36,68,1.38237293557804,0.00964377829285179,0.443613801471182
"Repeat",0.380405863038808,981,1.08308467296881,0.000840004587889798,0.0280914836718448,138234,752,1941,1.01163521715208,0.329613247130467,0.982184274642215
"DNA-binding",0.00122224939525097,10,3.43621851481266,0.000872406325212571,0.0280914836718448,49299,7,10,1.82780421481985,0.0430481084540768,0.924099394814182
"Nucleosome core",0.00122224939525097,10,3.43621851481266,0.000872406325212571,0.0280914836718448,49299,7,10,1.82780421481985,0.0430481084540768,0.924099394814182
"Ciliopathy",0.00529126876896426,25,1.98436149488116,0.00128197425139964,0.0375268826318804,129754,15,37,1.05857386958679,0.450382966967647,0.982184274642215
"Isopeptide bond",0.153294717804815,418,1.14522203624623,0.00165189853335601,0.0443259439783863,130847,281,725,1.01204528938794,0.408755849943523,0.982184274642215
"ATP-binding",0.00762167663194992,32,1.76335626062077,0.00196728695049542,0.0452475998613946,86186,23,47,1.2777962596005,0.0889528986160317,0.924740436448311
"Helicase",0.00762167663194992,32,1.76335626062077,0.00196728695049542,0.0452475998613946,86186,23,47,1.2777962596005,0.0889528986160317,0.924740436448311
"Acetylation",0.248924256778142,653,1.10175889830671,0.00248941970540595,0.053439543009381,114264,492,1287,0.998201435998853,0.534074066286533,0.982469001984464
"Joubert syndrome",0.000885479822147009,7,3.32016735745321,0.00595902593223241,0.113909686044409,199520,4,9,1.16051061258403,0.474457739236388,0.982184274642215
"Collagen",0.0085864832048759,33,1.61413264020287,0.00622144330790575,0.113909686044409,114713,22,41,1.40110427616853,0.032368001354014,0.901622706063794
"Chromosome",0.00476926921942209,21,1.84930294301915,0.00644485779795634,0.113909686044409,88177,14,28,1.30557443915704,0.140114387131591,0.93804627220433
"DNA-directed DNA polymerase",0.00138318471535924,9,2.73276906514271,0.00678538467682943,0.113909686044409,49041,3,6,1.30557443915704,0.420397505545419,0.982184274642215
"GTPase activation",0.0208446809064672,68,1.3701063086345,0.00707513577915586,0.113909686044409,105809,42,90,1.21853614321323,0.0636401109826747,0.924740436448311
"Growth factor",0.00678438344860096,27,1.67145228309204,0.00816418901140437,0.121219948301899,183163,22,51,1.12637794750803,0.282354019005944,0.93804627220433
