"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0008150","biological_process",0.951626117856197,2312,1.02641554046442,2.18024931442073e-10,1.06963031365481e-06,131739,2643,6893,1.00495674412548,0.166082320658117,0.707906051388984
"GO:0009987","cellular process",0.931474170216684,2267,1.02821147366064,4.09402977075146e-08,0.000100426550276533,132593,2491,6506,1.00350179342628,0.296980941612006,0.791293323798922
"GO:0010832","negative regulation of myotube differentiation",0.00339212461199018,24,2.98910510176529,3.75380718864449e-06,0.00613872602249662,233693,4,7,1.49768484671248,0.254847927876303,0.765810559842912
"GO:0051154","negative regulation of striated muscle cell differentiation",0.00867493722985617,43,2.09413105218676,9.06069774064822e-06,0.00873842989049711,192412,11,20,1.44152166496076,0.0944844503162732,0.59966457083006
"GO:0021515","cell differentiation in spinal cord",0.00931921540877169,45,2.04002225618822,1.07474735785429e-05,0.00873842989049711,202004,17,24,1.85650517457068,0.00117417902597183,0.144013057535445
"GO:0016925","protein sumoylation",0.00973611708037827,46,1.99606089278851,1.46676594624529e-05,0.00873842989049711,176254,19,42,1.18566717031405,0.213981190730722,0.763484888527216
"GO:0030812","negative regulation of nucleotide catabolic process",0.00375198081983861,24,2.70241706191866,1.90105287657394e-05,0.00873842989049711,248197,5,9,1.45608248985936,0.229104161469547,0.76443229007333
"GO:0033122","negative regulation of purine nucleotide catabolic process",0.00375198081983861,24,2.70241706191866,1.90105287657394e-05,0.00873842989049711,248197,5,9,1.45608248985936,0.229104161469547,0.76443229007333
"GO:0045820","negative regulation of glycolytic process",0.00375198081983861,24,2.70241706191866,1.90105287657394e-05,0.00873842989049711,248197,5,9,1.45608248985936,0.229104161469547,0.76443229007333
"GO:1901652","response to peptide",0.0772753959022297,239,1.30664738690357,1.95482072944397e-05,0.00873842989049711,135535,151,377,1.04976981629648,0.23398828657557,0.764787830739338
"GO:0006835","dicarboxylic acid transport",0.00724007603556308,37,2.15903826232624,1.95928921311594e-05,0.00873842989049711,236936,19,40,1.24495052882975,0.145518423797824,0.689437016429214
"GO:1903579","negative regulation of ATP metabolic process",0.00429894614881376,26,2.55513049444643,2.23667210579315e-05,0.0089217063563789,229224,7,13,1.41127995170984,0.188298632535065,0.741406975294565
"GO:0040017","positive regulation of locomotion",0.0611927360856718,194,1.3393793532738,3.27041117718085e-05,0.0089217063563789,127008,125,285,1.1495388077837,0.0257403408431878,0.428074956531116
"GO:0044772","mitotic cell cycle phase transition",0.0381144232676769,130,1.44097266298299,3.41479470535866e-05,0.0089217063563789,152173,84,192,1.14666496076424,0.0624385684601939,0.555350991668533
"GO:0010944","negative regulation of transcription by competitive promoter binding",0.00416606377441244,25,2.53522107751696,3.59785604991947e-05,0.0089217063563789,278144,4,8,1.31047424087342,0.36339609458259,0.795169138284419
"GO:0051148","negative regulation of muscle cell differentiation",0.0122697410189635,53,1.82491321297444,3.70744217415009e-05,0.0089217063563789,189587,18,36,1.31047424087342,0.0988698625329999,0.613994361502402
"GO:2000147","positive regulation of cell motility",0.0606104696814769,192,1.33830568042896,3.75337746365556e-05,0.0089217063563789,124590,123,279,1.15547191130775,0.0225909422211941,0.40730764805332
"GO:0014888","striated muscle adaptation",0.00606628172835138,32,2.22858469983589,3.84347847173228e-05,0.0089217063563789,213284,5,21,0.624035352796868,0.947463519948813,0.982095083217595
"GO:0030163","protein catabolic process",0.0818841324754054,249,1.28469885463649,3.87787419342533e-05,0.0089217063563789,117165,161,427,0.98822647672422,0.596564001613498,0.871813009387923
"GO:1900543","negative regulation of purine nucleotide metabolic process",0.00444726435458494,26,2.46991577811035,3.88774887425392e-05,0.0089217063563789,229224,7,14,1.31047424087342,0.258217785344396,0.765810559842912
"GO:0044238","primary metabolic process",0.69585694232556,1735,1.05337075508299,3.90439388017194e-05,0.0089217063563789,131844,1547,4016,1.00961337182828,0.251712534563417,0.765810559842912
"GO:0071345","cellular response to cytokine stimulus",0.0691953421909055,215,1.31269351762816,4.00076518223269e-05,0.0089217063563789,137347,132,330,1.04837939269874,0.257833100578891,0.765810559842912
"GO:0006865","amino acid transport",0.0129734807048081,55,1.79105087133347,4.3555668987727e-05,0.00929061356755603,186187,33,65,1.33063538304071,0.025371879821414,0.424827448477328
"GO:0034097","response to cytokine",0.0749664639785412,230,1.2961717493649,4.60216650095546e-05,0.00940759535570312,135199,147,370,1.04129574815348,0.278550671963183,0.781391346543862
"GO:0033235","positive regulation of protein sumoylation",0.00347990751386742,22,2.67089442210502,4.89212120964311e-05,0.00960029866180363,246190,4,7,1.49768484671248,0.254847927876303,0.765810559842912
"GO:0021517","ventral spinal cord development",0.00851963934381341,40,1.9835379907418,5.81296859443192e-05,0.0108711551166111,222575,14,22,1.66787630656617,0.0135504592444937,0.319631494337105
"GO:0072538","T-helper 17 type immune response",0.00566481588811465,30,2.23736684117064,6.14739796671593e-05,0.0108711551166111,99097,19,28,1.77850075547107,0.00136541521275579,0.147392277729753
"GO:0008152","metabolic process",0.755145165269433,1867,1.04451724311201,6.20449130177558e-05,0.0108711551166111,128676,1722,4471,1.00945499565378,0.228405217841096,0.76443229007333
"GO:0089718","amino acid import across plasma membrane",0.00460095154518041,26,2.38741231915894,6.68915110123569e-05,0.0113161983802284,205118,11,20,1.44152166496076,0.0944844503162732,0.59966457083006
"GO:0000278","mitotic cell cycle",0.0736643509340289,225,1.29040754469773,7.23404051827803e-05,0.0115558496061834,129445,160,393,1.06705281699617,0.154236320638219,0.689437016429214
"GO:0009056","catabolic process",0.206363240278983,565,1.15669231834967,7.30190252327123e-05,0.0115558496061834,117402,409,1087,0.986171047869788,0.662246027521857,0.889645606665788
"GO:0045980","negative regulation of nucleotide metabolic process",0.00466645316003682,26,2.3539009226293,8.35559193785862e-05,0.0128101668897295,229224,7,15,1.22310929148186,0.333917942702647,0.795169138284419
"GO:0003333","amino acid transmembrane transport",0.00961813363886436,43,1.88877136780539,9.20210571275781e-05,0.0132334569277549,163768,22,44,1.31047424087342,0.0726501144929014,0.555350991668533
"GO:1903825","organic acid transmembrane transport",0.0114819767206187,49,1.80293952673841,9.43861229599774e-05,0.0132334569277549,163299,25,58,1.12971917316674,0.258186831970212,0.765810559842912
"GO:0018205","peptidyl-lysine modification",0.0127408694372955,53,1.7574320665854,9.44090893745253e-05,0.0132334569277549,165035,23,66,0.913360834548143,0.750689961272451,0.913038224373684
"GO:0030335","positive regulation of cell migration",0.0587948132385206,184,1.32214945375629,0.000101539499743897,0.0137449609100429,127665,118,269,1.14970974292241,0.0294564782301141,0.460234019735477
"GO:0010830","regulation of myotube differentiation",0.00786583121683477,37,1.98727899849625,0.000103661547833589,0.0137449609100429,212698,10,20,1.31047424087342,0.193358042252305,0.745766159819032
"GO:0015800","acidic amino acid transport",0.00729497390539151,35,2.02696403844707,0.0001085517919861,0.0140146076706265,252434,17,31,1.43729432869988,0.0434345706550899,0.489862077319244
"GO:1903047","mitotic cell cycle process",0.0582299960350047,182,1.32046340421348,0.000117956965673405,0.014838381374198,129415,129,322,1.05000731101038,0.253418520573383,0.765810559842912
"GO:0006325","chromatin organization",0.0850898190893719,253,1.25615914075899,0.000134729244704479,0.0165245418630043,156489,157,392,1.04971661131187,0.229060579697467,0.76443229007333
"GO:0048663","neuron fate commitment",0.0170796802984297,65,1.60781235463567,0.000199871565771614,0.0239163390652571,183280,32,49,1.71163982481427,0.000102897982900751,0.0600515481542759
