"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04919",0.0102212048592534,93,1.6244834199127,7.82415582012419e-06,0.00266803713466235,176592,42,61,0.941314451261674,0.818272990352538,0.933214346856908
"hsa04510",0.020493280849717,161,1.4026483704016,2.21312315380473e-05,0.00377337497723707,138500,84,105,1.09371774337071,0.0656895083178788,0.670238510585429
"hsa04151",0.0317751286610101,232,1.30357221310144,4.56197261848867e-05,0.00518544220968213,161846,132,161,1.12089085500725,0.00536243463797414,0.437574939251625
"hsa05417",0.0143060627381984,114,1.42271907194587,0.000191275141293135,0.0163062057952397,121623,69,84,1.12301375435385,0.0363624235683875,0.652609812464217
"hsa04744",0.00155016014339485,21,2.41867299496526,0.000273956075227177,0.0167958541764922,50596,12,13,1.26198201158158,0.0988423878568366,0.689965634691656
"hsa04015",0.0213631906158736,159,1.32881779718455,0.000295528225979336,0.0167958541764922,171319,91,114,1.09131923954753,0.0618974229966556,0.670238510585429
"hsa04014",0.0218779420359029,161,1.31387435531486,0.000440892677400773,0.0214777718562376,160594,90,114,1.07932672043162,0.0942894331751405,0.689965634691656
"hsa04961",0.00213229232296913,25,2.09328177692051,0.000632484467107619,0.0224313711642615,135492,18,22,1.11857496481095,0.256009974417044,0.719148366283542
"hsa05161",0.0116553949304435,93,1.42459160967758,0.000668346451917268,0.0224313711642615,143717,48,67,0.979448725406603,0.667943971675746,0.85811579533821
"hsa05014",0.0249388002842341,179,1.28148020197321,0.000677120536137998,0.0224313711642615,141086,102,135,1.03295564651678,0.298426705250886,0.75731431846698
"hsa04512",0.00671445242126451,59,1.56882982902718,0.000723592618201985,0.0224313711642615,135302,34,43,1.08100009519198,0.244366640515017,0.706745396434962
"hsa04670",0.0114752654895883,91,1.41583641329348,0.000906343343608507,0.0257552566808751,156986,43,54,1.08865423529955,0.178353164414149,0.699914971959328
"hsa05016",0.0207885750150533,151,1.29684076486342,0.00107664992808942,0.0264381495411244,136266,84,109,1.05358131242132,0.207378814749619,0.699914971959328
"hsa04933",0.0093267319875257,76,1.45485101886429,0.00113387575992308,0.0264381495411244,177071,38,45,1.15447984022463,0.0555212571254912,0.670238510585429
"hsa05205",0.0211452098320071,153,1.29185526334257,0.00116296845488817,0.0264381495411244,162795,77,101,1.04228052276664,0.280466924384772,0.735686317040057
