"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-168256",0.126326823468728,912,1.26655602988076,8.06021915877864e-14,9.80659997651401e-11,154621,529,1837,0.95288286606363,0.923906125292686,1
"R-HSA-74160",0.109366233290615,803,1.28812329677761,1.22124532708767e-13,9.80659997651401e-11,149363,460,1470,1.03546041109665,0.182893647945231,0.637152274620481
"R-HSA-3214847",0.00540500712453191,79,2.56422402477542,2.47801779096335e-13,1.16698539720517e-10,164601,37,133,0.920540891787298,0.756005939496368,1
"R-HSA-202430",0.000833800582473892,28,5.89143352140582,2.90656387846866e-13,1.16698539720517e-10,230467,1,8,0.413621414215238,0.943828842107343,1
"R-HSA-389948",0.000907233214863999,29,5.6079508718255,3.65152352799214e-13,1.17286935719108e-10,222548,2,12,0.551495218953651,0.917485995494924,1
"R-HSA-1643685",0.131544042634276,937,1.24966483939765,6.78790357255821e-13,1.81689552292141e-10,143370,545,1693,1.06520340577581,0.0343844212128024,0.336044776415039
"R-HSA-913531",0.014476069313236,152,1.84212068135681,3.19277937421703e-12,7.3251481071322e-10,152398,69,236,0.967453477316998,0.653471734033297,0.956999053501891
"R-HSA-202427",0.00109669232714405,30,4.79911983011945,6.55253629133767e-12,1.31542166048604e-09,228588,2,11,0.601631147949438,0.889993203201981,1
"R-HSA-111457",0.000603705342676863,22,6.3932664662087,2.08670858370397e-11,3.72361553936508e-09,658366,3,6,1.65448565686095,0.259766540097228,0.717366182008904
"R-HSA-202433",0.00205962406787802,40,3.4071964729365,7.78688225011592e-11,1.1835609825539e-08,204033,6,23,0.863209907927454,0.738898308031782,1
"R-HSA-73857",0.0977202981894036,706,1.26749151832038,8.10658207228698e-11,1.1835609825539e-08,153045,397,1288,1.01992361145,0.322915828888468,0.78792640719913
"R-HSA-416482",0.00709288328728421,87,2.15189751142528,1.20592424934785e-10,1.6139286203772e-08,121772,30,75,1.32358852548876,0.0449838682114216,0.377603587862471
"R-HSA-5663205",0.0658175854202455,499,1.33009831779995,1.48879464312301e-10,1.8392339975812e-08,123819,296,942,1.03976168668969,0.214752563758407,0.669577825204663
"R-HSA-162599",0.00681188894695392,83,2.13764546400648,4.27726964957742e-10,4.90663932658667e-08,116611,37,123,0.995381614696834,0.547591198365718,0.908658351865105
"R-HSA-9646399",0.00251295896568629,43,3.00198282269308,7.02622404702424e-10,7.08542003957646e-08,193264,18,40,1.48903709117486,0.0341346935294157,0.336044776415039
"R-HSA-9609646",0.00712571120116136,85,2.09274278465341,7.05894898089809e-10,7.08542003957646e-08,96471,46,151,1.00803099623316,0.504855880321479,0.885221224630063
"R-HSA-350054",0.00347830790451355,52,2.6227715509906,1.26231713970526e-09,1.1925184272745e-07,181903,10,26,1.27268127450843,0.237120187764205,0.682622840206334
"R-HSA-212436",0.0910316371269738,653,1.25847899833964,1.38969180607518e-09,1.23991391142041e-07,153525,370,1168,1.04821865246328,0.138372305405477,0.571783789606776
"R-HSA-9818030",0.00100962689179034,25,4.34414430513357,2.53952148199232e-09,2.14656394741035e-07,123689,5,11,1.50407786987359,0.215132103241349,0.669577825204663
"R-HSA-162582",0.22636862299223,1474,1.14236897238601,5.63030355671401e-09,4.52113375604135e-07,155166,886,2461,1.19128345548867,1.97013516611833e-11,3.16403707678603e-08
"R-HSA-111471",0.00131185501405833,28,3.74453018749218,7.01429936356135e-09,5.36426894184739e-07,532153,9,19,1.56740746439459,0.0872531823884819,0.47825464476417
"R-HSA-2644602",0.00609149591628176,73,2.10244211272114,8.88882678573566e-09,5.49055992995826e-07,181365,21,55,1.26342541069382,0.127946333343651,0.550459614617249
"R-HSA-2644603",0.00609149591628176,73,2.10244211272114,8.88882678573566e-09,5.49055992995826e-07,181365,21,55,1.26342541069382,0.127946333343651,0.550459614617249
"R-HSA-2644606",0.00609149591628176,73,2.10244211272114,8.88882678573566e-09,5.49055992995826e-07,181365,21,55,1.26342541069382,0.127946333343651,0.550459614617249
"R-HSA-2894858",0.00609149591628176,73,2.10244211272114,8.88882678573566e-09,5.49055992995826e-07,181365,21,55,1.26342541069382,0.127946333343651,0.550459614617249
"R-HSA-2894862",0.00609149591628176,73,2.10244211272114,8.88882678573566e-09,5.49055992995826e-07,181365,21,55,1.26342541069382,0.127946333343651,0.550459614617249
"R-HSA-9610379",0.00349841128611051,50,2.50740382052504,1.05191566568408e-08,6.06731474981993e-07,92903,29,111,0.864506018900318,0.852600946202646,1
"R-HSA-9609690",0.00576282529827453,70,2.13102100423953,1.05781328141319e-08,6.06731474981993e-07,84525,40,128,1.0340535355381,0.432490136521563,0.863095693121276
"R-HSA-2132295",0.00821692799987173,90,1.92157868298919,1.19434360179582e-08,6.614192498221e-07,179981,36,101,1.17943531974246,0.140164771281169,0.575715147512936
"R-HSA-162587",0.00763086933659039,85,1.95420469726159,1.4564034533926e-08,7.79661315382837e-07,124904,38,136,0.92456551412818,0.74791518006338,1
"R-HSA-8953897",0.0493966543875605,377,1.33896418081807,1.51375039170176e-08,7.84220364217107e-07,131887,215,764,0.931189571269909,0.907082590101995,1
"R-HSA-456926",0.00202170109546132,35,3.03721993868329,1.91138842531302e-08,9.59278065953972e-07,83828,16,31,1.70785616192098,0.0102300783524566,0.211566220350401
"R-HSA-2262752",0.0492735647674148,375,1.33518802617094,2.20874627476775e-08,1.07492318705364e-06,132860,212,750,0.935335891345393,0.8913286710181,1
"R-HSA-1430728",0.148650783117573,997,1.17666571970503,2.7530993929048e-08,1.30043459558974e-06,129849,608,2039,0.98668688511178,0.671281354589097,0.964626769130769
"R-HSA-109606",0.00409527691340568,54,2.31331956564761,3.79987659115955e-08,1.74360051582921e-06,338218,27,52,1.71811972058637,0.000860847422777811,0.105822941741187
"R-HSA-9006931",0.0243563177869914,205,1.47661533222031,6.11427536378883e-08,2.72764617617913e-06,153779,105,289,1.20222141155986,0.0143477916550634,0.240026597896165
"R-HSA-9029569",0.00349626770253683,48,2.40858348045511,6.59664916025093e-08,2.86330231117919e-06,132097,18,35,1.70175667562841,0.00693140768709644,0.19055572684572
"R-HSA-1266738",0.121552776931067,825,1.19073250121916,9.61550410405465e-08,4.06381568187152e-06,167594,431,1292,1.10384414567658,0.00621249634590804,0.186333180502171
"R-HSA-9711097",0.00876136649477802,91,1.82219432210914,1.01820319176049e-07,4.19290852812141e-06,151414,44,146,0.99722423153263,0.54019564865404,0.906535226476895
"R-HSA-1169410",0.00780847786403214,83,1.8648197206072,1.44382745315141e-07,5.79696722440293e-06,119685,46,141,1.0795225562497,0.294538348091303,0.732242394790453
"R-HSA-168255",0.00820685089044628,86,1.8384298069567,1.56250230975985e-07,6.12043587676663e-06,125707,46,142,1.07192028472682,0.314360609977731,0.775382029106484
"R-HSA-389960",0.0011709072703973,24,3.5959519786403,1.64456305240535e-07,6.28849586229282e-06,80016,13,23,1.87028813384282,0.00771240488478941,0.19055572684572
"R-HSA-804914",0.000356347455224248,13,6.40021900240801,2.43986969072907e-07,9.11262958909508e-06,145761,2,7,0.945420375349116,0.675287629929503,0.964626769130769
"R-HSA-8955332",0.00334565019509018,45,2.3597018163139,2.87702048407112e-07,1.04486486047082e-05,162379,21,40,1.737209939704,0.00264517943251252,0.172787548946241
"R-HSA-168273",0.00756598319133679,80,1.85502496692944,2.92770353182981e-07,1.04486486047082e-05,132859,42,126,1.1029904379073,0.250479531886332,0.711982527804335
"R-HSA-1280218",0.0508651771898924,376,1.29685800630239,3.66283242958509e-07,1.27880627867688e-05,175835,191,673,0.939098842378729,0.865116378896932,1
