"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05310",0.000767799857299826,16,28.3906866032453,0,0,29752,10,28,6.02502940792053,2.52609720874375e-06,5.20376025001212e-05
"hsa05332",0.00176303456158331,30,23.1827188731906,0,0,33087,16,39,6.92105942243179,2.15402362613304e-10,2.21864433491703e-08
"hsa05320",0.00231989965459471,33,19.379772731269,0,0,45270,17,50,5.73582799634035,1.86155313386394e-09,9.58699863939927e-08
"hsa05330",0.00217702410343762,30,18.7742223617855,0,0,33087,16,35,7.71203764213828,2.90583113127241e-11,5.98601213042116e-09
"hsa04612",0.00237000468803339,30,17.2455079145096,0,0,33087,16,70,3.85601882106914,2.48097643607004e-06,5.20376025001212e-05
"hsa04940",0.00311198960724659,30,13.1336989396526,0,0,33087,16,42,6.42669803511524,8.03133337612394e-10,5.51484891827177e-08
"hsa05416",0.00627162048228579,32,6.9514299164579,0,0,47326,18,65,4.67171511014146,2.47896461136321e-08,1.02133341988164e-06
"hsa04145",0.0116272164527888,43,5.03844634740403,0,0,62863,28,147,3.21334901755762,3.47147897095113e-08,1.19187444669322e-06
"hsa05150",0.00249473159942033,21,11.4683095488433,8.88178419700125e-16,2.03294171620251e-14,56626,15,92,2.7505569036159,0.000315998898613556,0.00406848581964954
"hsa05168",0.01035824036997,38,4.99806099463615,1.88737914186277e-15,3.8880010322373e-14,51181,24,172,2.35396497797825,8.0842051709995e-05,0.00118953304658993
"hsa05169",0.0142764930220095,44,4.1988956247713,4.9960036108132e-15,9.35615221661382e-14,79550,28,197,2.39777820091863,1.51220048985046e-05,0.000259594417424328
"hsa05166",0.0191156882843588,46,3.2784746641218,5.98898708403794e-12,1.02810944942651e-10,93494,30,215,2.35396497797825,1.10097377543639e-05,0.000206182361581723
"hsa04672",0.00335914546335839,19,7.70599513044801,1.86197723905934e-11,2.95051777881711e-10,37278,13,46,4.76763196626755,1.68764462582516e-06,4.34568491149978e-05
"hsa05322",0.00491438782257733,22,6.09897979681173,4.13948875177539e-11,6.0909620204695e-10,34915,16,130,2.07631782672954,0.00434219371047639,0.0372704960149224
"hsa04514",0.0224667433377765,44,2.66818840567776,8.69604777076205e-09,1.19425722718465e-07,127206,26,147,2.98382408773207,4.86440051572501e-07,1.43152358034193e-05
"hsa04658",0.00867387579369452,24,3.76965827752493,5.91660953563888e-08,7.61763477713506e-07,94755,16,89,3.03282379185213,6.10746110589755e-05,0.000967797682934535
"hsa04640",0.00634191997709353,20,4.29648379381749,9.78901437687085e-08,1.1861982127267e-06,42615,14,94,2.51256545521792,0.00124495098771493,0.0122123763556798
"hsa05170",0.0149639685321481,32,2.9134470679733,1.43180623468631e-07,1.63862269080766e-06,113165,23,204,1.90201908759844,0.00231227333915729,0.0216512867212001
"hsa05140",0.00592784082397216,19,4.36677693476943,1.59434362156929e-07,1.72860413706987e-06,31892,13,71,3.08888831617334,0.000242454155753968,0.00332970373902116
"hsa05167",0.0162978496566174,33,2.7585926372281,3.07683790667923e-07,3.16914304387961e-06,113420,24,193,2.09783407363865,0.00047428594784904,0.00567520944844572
"hsa05145",0.00956552205005276,24,3.4182711108531,3.3817013012083e-07,3.31728794309004e-06,86682,16,106,2.54642752334755,0.000495892087728267,0.00567520944844572
"hsa04659",0.00975509994609095,23,3.21218132432531,1.65818643038662e-06,1.55266547572565e-05,84370,15,104,2.43318495319868,0.00118621158042298,0.0122123763556798
"hsa05152",0.0118472948315049,25,2.87491330202346,4.08612871116709e-06,3.65975006304531e-05,80853,17,174,1.64822643572998,0.0294854210023954,0.195935378273982
"hsa05321",0.00630437285619692,17,3.67376160501251,6.81243768596573e-06,5.84734234712059e-05,31703,11,62,2.99307912522504,0.000942956604410128,0.0102236347636045
"hsa05323",0.0067495656217181,17,3.43144496117718,1.61297014082962e-05,0.00013290873960436,33132,11,89,2.08506635689834,0.0159254492426493,0.12150527940688
"hsa05164",0.0100727693482152,21,2.84036626218417,2.79645825387309e-05,0.000221565538576099,62489,15,161,1.57174680206623,0.0552783792142343,0.307766111300872
"hsa05203",0.0130519786395966,23,2.40079690053252,0.00014467893493475,0.00110384668876143,90211,14,196,1.20500588158411,0.273696137796865,0.594818195865888
"hsa03020",0.0012744801011691,6,6.41389921543884,0.000414363092825609,0.00304852846864555,57008,3,34,1.48853667725096,0.327526805009558,0.606102934562587
"hsa04650",0.00818942277204174,16,2.66177064359582,0.000486328944226511,0.00345461250036763,70044,10,121,1.39422168117169,0.180718950132648,0.54747211363714
"hsa05163",0.0190496494969208,27,1.9309930689465,0.00114439155222135,0.00785815532525325,97923,19,221,1.45036907014196,0.06658177892146,0.346044280649531
"hsa04218",0.0144736751777946,22,2.07084597902132,0.00135952989081911,0.00903429540350764,91744,14,153,1.54366766529729,0.0703632018346172,0.346044280649531
"hsa05165",0.0301702190833163,36,1.62565347604676,0.00361671332059843,0.0232825920013524,128352,27,324,1.40584019518146,0.0469000941982176,0.283266881110978
"hsa04610",0.00487547621595036,10,2.79438922439276,0.00376589255343107,0.0235082989699031,181063,8,83,1.62603203298096,0.118172426181898,0.447679428103146
"hsa00785",0.0015757009380067,5,4.32314847094955,0.00661929358675983,0.0400751879619984,359049,3,18,2.81168039036292,0.0871946030589095,0.390480178915986
"hsa00561",0.00704498929889459,12,2.32062436837585,0.00680889115859196,0.0400751879619984,161555,10,61,2.76558726920942,0.00292617818757213,0.026208378549559
"hsa00670",0.00318956357782659,7,2.98999675298616,0.0101101736061824,0.0578526600798214,75536,6,37,2.73568902846121,0.0205302106797802,0.151043692858383
"hsa05132",0.0209931488152014,25,1.6224314800943,0.0140592986187825,0.0782760950126811,175450,20,240,1.40584019518146,0.0783643426493001,0.366887604221723
"hsa05130",0.0148868161336018,19,1.7388243631678,0.0159257601019516,0.0863343837105796,163088,16,191,1.41320061505152,0.102929594218199,0.421903574147454
"hsa04530",0.0155797314467293,19,1.66148939547611,0.0239662271152532,0.126590840660055,189235,16,163,1.65595900291313,0.0327138604248982,0.204975019992006
"hsa04622",0.00487407436195884,8,2.23615434478674,0.0294994001337523,0.151921910688824,283372,6,69,1.46696368192848,0.224248128929152,0.594818195865888
"hsa04620",0.00806396409577362,11,1.85843784072065,0.0387189355097827,0.19453904182964,256461,8,102,1.32314371311196,0.257858740112463,0.594818195865888
"hsa04144",0.0210204450601844,23,1.49069868758932,0.0406785870511297,0.199518784107922,78621,14,245,0.964004705267285,0.595537055107757,0.770051082240877
"hsa00564",0.0092743677874136,12,1.76279119145448,0.044337068733542,0.203713426821013,175160,10,99,1.70404872143207,0.0684973323322847,0.346044280649531
"hsa04740",0.0146085100224263,17,1.58542951383981,0.0451388050101276,0.203713426821013,42077,25,426,0.990028306465815,0.550676405833203,0.75132739272077
"hsa04917",0.0072790887571164,10,1.87165985416999,0.0454070085014604,0.203713426821013,438124,7,70,1.68700823421775,0.120005256928898,0.447679428103146
"hsa05171",0.0168148602293051,19,1.53944536143052,0.0454894059891582,0.203713426821013,270702,15,217,1.16613472411365,0.306633971132359,0.604337456749152
"hsa00010",0.0035018559411288,6,2.33430131290494,0.0465826717521184,0.204170859168859,319445,3,64,0.79078510978957,0.739431113828266,0.836938513453972
"hsa00350",0.00270731056719984,5,2.51614616488682,0.0512595165185308,0.219812334801366,172768,3,33,1.53364384928886,0.310969759298107,0.604337456749152
"hsa05012",0.0171281470237126,19,1.51128773867189,0.0526608276612088,0.219812334801366,186944,17,245,1.17057714211028,0.285662568720484,0.600474379147141
"hsa05230",0.00651919174285418,9,1.88084364828072,0.054365249873908,0.219812334801366,336880,6,67,1.51075364258306,0.205125769348217,0.573680126561956
"hsa04141",0.0117175790758536,14,1.62777390780265,0.0544195586158722,0.219812334801366,208649,12,163,1.24196925218485,0.260253931737751,0.594818195865888
"hsa04930",0.00557643005881131,8,1.95450896834725,0.0563536262411723,0.223247057801567,347040,6,45,2.24934431229033,0.0483924832706627,0.283266881110978
"hsa04210",0.0107979704761873,13,1.64023153250731,0.0592649085597,0.230350399307513,244212,11,131,1.41657179972483,0.154306332115894,0.521100072391381
"hsa00620",0.0028728675644858,5,2.37114623208769,0.0627191541459656,0.239261958408684,309586,3,46,1.10022276144636,0.518513139466099,0.736646253310458
"hsa00020",0.00295793187603602,5,2.30295672324486,0.0691239659171151,0.258900672344104,478380,3,28,1.80750882237616,0.229244159772798,0.594818195865888
"hsa04979",0.00324588444057084,5,2.09865422677199,0.0933580876318076,0.343424393788435,68685,4,51,1.32314371311196,0.358023736868562,0.614607414957698
"hsa04621",0.0128859949910959,14,1.4801782474282,0.0979162439753504,0.3538727413846,198490,10,180,0.937226796787639,0.629424197022839,0.793314084869436
"hsa01210",0.00335512202630715,5,2.03032528993144,0.103551826182738,0.367787520580071,370037,3,30,1.68700823421775,0.261580073826137,0.594818195865888
"hsa04657",0.00646538035838616,8,1.68577592610939,0.107499300767734,0.370950219217793,227718,6,92,1.10022276144636,0.465629319080761,0.695069853120557
"hsa02010",0.00340153957424639,5,2.0026193881124,0.108043753170231,0.370950219217793,91589,4,43,1.56930998531884,0.249694871456435,0.594818195865888
"hsa04920",0.00650010309177657,8,1.67677072308233,0.109891458455106,0.371008691717185,236454,6,67,1.51075364258306,0.205125769348217,0.573680126561956
"hsa05418",0.0131833320683633,14,1.44679428412948,0.111662810128473,0.371008691717185,228324,12,135,1.49956287486022,0.104648861572215,0.421903574147454
"hsa04071",0.0121361144848181,13,1.45937743783494,0.116296077262319,0.377744942333386,230855,11,119,1.55941937616767,0.0951438970911557,0.405069918991907
"hsa05210",0.0110223784940169,12,1.48323466217716,0.117357651987071,0.377744942333386,306018,10,85,1.98471556966794,0.0285172219894767,0.195818257661073
"hsa04070",0.00994393700728165,11,1.50708678170671,0.120002608812848,0.380315706660462,245462,8,92,1.46696368192848,0.178445949054031,0.54747211363714
"hsa04137",0.00775528121626066,9,1.58106199369822,0.12184872155141,0.380315706660462,247090,7,100,1.18090576395242,0.381607740285899,0.629733029417631
"hsa01200",0.00889671144216614,10,1.53134990273639,0.124262113231549,0.382059631726853,295832,7,106,1.11406204146455,0.440565697363727,0.672270619680946
"hsa04926",0.0135115385945377,14,1.41165044593809,0.128100440272795,0.388068980826409,230732,12,126,1.60667450877881,0.0705527174139821,0.346044280649531
"hsa04727",0.0101854934289977,11,1.47134511707923,0.134621552599092,0.401913620803086,245143,10,84,2.00834313597351,0.0265164922971135,0.188358531489841
"hsa04217",0.00821085365121699,9,1.49333807449534,0.154689665423497,0.447670221388821,206293,7,147,0.803337254389404,0.775221251806012,0.854636279555242
"hsa03010",0.00711363261785572,8,1.53215426587398,0.156775147775663,0.447670221388821,188214,7,126,0.937226796787638,0.624456466500535,0.793314084869436
"hsa04936",0.0116914590241006,12,1.39835189160401,0.157130760006543,0.447670221388821,183354,10,138,1.2224697349404,0.302274752901427,0.604337456749152
"hsa04912",0.00940204860542553,10,1.44904358330726,0.158640418259145,0.447670221388821,266861,8,90,1.49956287486022,0.164020755943041,0.527941808191663
"hsa05160",0.0106368203941278,11,1.40891502032617,0.164361590879436,0.457547131367078,150021,11,154,1.20500588158411,0.305594174927212,0.604337456749152
"hsa04146",0.00632659173404442,7,1.50741270213872,0.187213695360629,0.510328468930059,37205,7,81,1.45790835055855,0.20376098783716,0.573680126561956
