"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0014877","response to muscle inactivity involved in regulation of muscle adaptation",0.000749970480343478,46,9.30457334348668,0,0,279440,4,8,1.54663647039087,0.238340089599243,0.473775167272168
"GO:0014894","response to denervation involved in regulation of muscle adaptation",0.000749970480343478,46,9.30457334348668,0,0,279440,4,8,1.54663647039087,0.238340089599243,0.473775167272168
"GO:0014870","response to muscle inactivity",0.000812846026334316,46,8.58484277923476,0,0,279440,4,9,1.37478797368078,0.325159307694971,0.562551664114425
"GO:0030812","negative regulation of nucleotide catabolic process",0.00108169216265757,56,7.85357047442825,0,0,245407,6,18,1.03109098026058,0.551800765956214,0.746970810980697
"GO:0033122","negative regulation of purine nucleotide catabolic process",0.00108169216265757,56,7.85357047442825,0,0,245407,6,18,1.03109098026058,0.551800765956214,0.746970810980697
"GO:0045820","negative regulation of glycolytic process",0.00108169216265757,56,7.85357047442825,0,0,245407,6,18,1.03109098026058,0.551800765956214,0.746970810980697
"GO:0034983","peptidyl-lysine deacetylation",0.000848649899707832,42,7.50764152036601,0,0,305400,1,5,0.61865458815635,0.858118574106041,0.939069049287219
"GO:0014874","response to stimulus involved in regulation of muscle adaptation",0.000975834046365106,48,7.46187676601506,0,0,271593,6,14,1.32568840319218,0.281516921819628,0.525980827198129
"GO:0014854","response to inactivity",0.00101436144921956,46,6.87935779220981,0,0,279440,4,12,1.03109098026058,0.577794212678119,0.761531531011369
"GO:0010832","negative regulation of myotube differentiation",0.00148933490489292,57,5.80584301877746,0,0,236257,7,15,1.44352737236482,0.179460176595604,0.413908936528956
"GO:0033235","positive regulation of protein sumoylation",0.00137923422116338,46,5.05944185021726,0,0,279809,4,13,0.951776289471307,0.649336914376438,0.808257058108663
"GO:1903579","negative regulation of ATP metabolic process",0.0017513796548862,58,5.02377863347516,0,0,237762,8,23,1.07592102288061,0.477908838120311,0.704291759631519
"GO:1900543","negative regulation of purine nucleotide metabolic process",0.00187712566768675,60,4.84887181729792,0,0,230274,9,26,1.07074832565522,0.474229349408952,0.701545897059524
"GO:0045980","negative regulation of nucleotide metabolic process",0.00190429457034282,60,4.77969211766131,0,0,230274,9,27,1.03109098026058,0.527642696761537,0.726523405540885
"GO:0051154","negative regulation of striated muscle cell differentiation",0.00485156996157217,110,3.43948316443035,0,0,188255,17,36,1.46071222203583,0.0442846668176181,0.174922050470667
"GO:0010830","regulation of myotube differentiation",0.0039960381342336,90,3.41661219506298,0,0,207315,18,42,1.32568840319218,0.0993673509875819,0.286996060172319
"GO:0014888","striated muscle adaptation",0.00452159116398252,91,3.05304286695541,0,0,192111,18,47,1.18465772200152,0.233187620245204,0.473775167272168
