"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Transcription",0.203177552257734,1632,1.2244486905192,0,0,140286,791,2170,1.13134369689039,4.75329886007181e-06,0.000438254154898621
"Reference proteome",0.921683754987468,6437,1.06462763902499,0,0,123413,5579,17194,1.00706441655144,0.00727641062275064,0.0964828529410905
"Phosphoprotein",0.589068588116244,4182,1.08221693171356,5.55111512312578e-16,8.53021357253662e-14,128901,2629,7610,1.07221959872164,8.34885671707752e-09,1.92441147328637e-06
"Repressor",0.0722488823481419,649,1.36933504870768,1.11022302462516e-15,1.27953203588049e-13,169067,235,566,1.28863298287102,1.49209103772474e-06,0.000171963492097776
"Methylation",0.0773194691395743,684,1.34853865194943,3.77475828372553e-15,3.48032713759494e-13,135212,329,922,1.10749758744794,0.0119770345228014,0.118575075255656
"Isopeptide bond",0.14186804007202,1157,1.2432113048857,4.55191440096314e-15,3.49738756474001e-13,132376,553,1671,1.02713255248524,0.219021555776638,0.664269323769934
"Alternative splicing",0.704022852437487,4880,1.05664530128366,4.03010957938932e-13,2.65411502299782e-11,128633,3262,9586,1.0561469373381,2.41610518258994e-08,3.71274829724655e-06
"Neuronal ceroid lipofuscinosis",0.000805947772764237,28,5.29599165996508,3.46611628287974e-12,1.99734950800945e-10,288134,7,12,1.81048364472872,0.0558775629025424,0.310725043613558
"Guanine-nucleotide releasing factor",0.0164462495428492,184,1.70548187382943,1.10376152662184e-11,5.6537118196963e-10,111129,65,152,1.32723425083496,0.00397611451477276,0.0733195516524096
"Acetylation",0.237583776476105,1790,1.14850373079233,2.10680362044968e-11,9.18792405793764e-10,123022,979,3192,0.951913796020096,0.981522496812728,1
"SH3 domain",0.0233847320414615,241,1.57101671350829,2.19234630449705e-11,9.18792405793764e-10,129587,80,208,1.19372548004092,0.0325937295588293,0.24235015042936
"Coiled coil",0.178235135133729,1352,1.15632398079635,3.91393029097742e-09,1.50360155345049e-07,132540,656,1956,1.04090908934447,0.0981404154600592,0.415070931441168
"Metal-binding",0.15099973837791,1158,1.16903772245029,8.66017213496661e-09,3.07103027247662e-07,128243,626,1802,1.07819511171731,0.008855771848991,0.106423111945985
"Ubl conjugation",0.204956298177743,1531,1.13870199850637,1.0706090458612e-08,3.52536264387154e-07,133204,804,2374,1.0511220486426,0.0350119791121711,0.250999958050459
"Protein phosphatase inhibitor",0.00242538481387287,43,2.70261362703661,1.41083571492118e-08,4.33596843052442e-07,230711,13,27,1.49436745279196,0.0616960103784239,0.318150427666752
"Zinc-finger",0.132741275102199,1026,1.17825023832244,1.864406251606e-08,5.37182051243978e-07,131570,544,1573,1.07336638205332,0.0196610120536029,0.16784678808724
"Immunity",0.0223352146772609,216,1.47421145236696,3.26617145551822e-08,8.8570884764347e-07,78810,120,388,0.95990296333187,0.726155951046805,1
"Zinc",0.142151049867719,1082,1.16030816897751,1.21874822900381e-07,3.12134963094864e-06,130423,575,1656,1.07766883614805,0.0123462117402853,0.118575075255656
"MHC I",0.000326103382388449,13,6.07692966125875,4.34051381281719e-07,1.0531457198467e-05,40160,5,8,1.93980390506649,0.0769666567213085,0.353292742510115
"Cytoskeleton",0.116366575621111,888,1.16327092153409,1.43965427357173e-06,3.31840310058285e-05,125935,450,1265,1.1040781119746,0.00471520510784695,0.0794214373519011
"Cytoplasm",0.116823767952049,888,1.15871843573902,2.54192084392368e-06,5.58012147166104e-05,125935,450,1273,1.09713967922064,0.00753445272425002,0.0964828529410905
"Ubiquinone",0.000281285050907446,11,5.96131668882903,3.91717037384609e-06,8.20825246519567e-05,92861,4,8,1.55184312405319,0.236191849377506,0.67212618866068
"Hydroxylation",0.0107638528909485,111,1.57199581587984,4.78029027450866e-06,9.58136441977605e-05,87620,52,148,1.09048435744278,0.248514309738032,0.6860185436481
"Holoprosencephaly",0.00208277227882289,33,2.4152845973738,6.40470057211573e-06,0.00012302362348939,158127,9,10,2.79331762329574,0.000264709150408216,0.00762693239613671
"mRNA capping",0.000705707956397416,17,3.67214708455799,7.48478281009657e-06,0.000138019395018181,205232,3,7,1.33015124918845,0.403702758525917,0.82549923753332
"Limb-girdle muscular dystrophy",0.00453630192372585,56,1.8818380058006,1.08636463787004e-05,0.000192620806945419,219417,16,39,1.27330717871031,0.156990313356322,0.536092847831587
"Alternative initiation",0.0100781151863531,103,1.55795198029253,1.45281311572099e-05,0.000248054387536065,104616,44,123,1.11026174729009,0.225434630771234,0.67212618866068
"Triplet repeat expansion",0.00274691947283606,38,2.10879240695346,2.64891208360263e-05,0.000436124453764576,160813,14,26,1.67121567205728,0.0182134054599724,0.158422262585798
"Disease variant",0.310382411975282,2188,1.0745988577227,2.96603657452543e-05,0.000471497538226284,131769,1197,3386,1.09719800324375,9.74362867234291e-06,0.00064168754542144
"Lipid metabolism",0.016649373252159,153,1.40084376621702,3.79871446294366e-05,0.00058373578913901,143527,66,205,0.999235572561078,0.529504091998903,0.890880972304724
"Congenital stationary night blindness",0.000430205916003647,12,4.25207609805956,4.00411994470051e-05,0.000595451385324818,47299,5,12,1.29320260337766,0.336879680874135,0.804671154834075
"Homeobox",0.0274820831504747,234,1.29796316793041,5.69686187026353e-05,0.000820704163184839,148112,87,211,1.2797189743377,0.00349970195632454,0.0672234417444006
"Serine protease",0.00784808293466315,81,1.57332192822192,8.12105963624576e-05,0.00113448742191191,83260,43,130,1.02660391283519,0.449660592435586,0.865687883258122
"Catecholamine biosynthesis",0.000271193806400674,9,5.05893271576126,0.000100253092507718,0.00135931398958995,59742,3,5,1.86221174886383,0.193631532827821,0.60723902471854
"Ehlers-Danlos syndrome",0.00133106508133205,22,2.51953009933161,0.000114035550629055,0.00150201110971412,96981,8,17,1.460558234403,0.14708024824657,0.536092847831587
"ATP synthesis",7.9885723590857e-05,5,9.54106801178744,0.000213165118022163,0.00265592214616803,12512,3,5,1.86221174886383,0.193631532827821,0.60723902471854
"CF(1)",7.9885723590857e-05,5,9.54106801178744,0.000213165118022163,0.00265592214616803,12512,3,5,1.86221174886383,0.193631532827821,0.60723902471854
"Alternative promoter usage",0.0124368658601999,115,1.40955832457585,0.000256216841563184,0.00310831484106915,133922,42,92,1.41690024370074,0.00477687566323515,0.0794214373519011
"Electron transport",0.0029119612960361,36,1.88457342668635,0.000352678053685551,0.00406461456872598,131714,12,52,0.716235288024549,0.944487094073102,1
"Respiratory chain",0.0029119612960361,36,1.88457342668635,0.000352678053685551,0.00406461456872598,131714,12,52,0.716235288024549,0.944487094073102,1
"FAD",0.00595058866225435,61,1.56266564798685,0.000659122428036896,0.00731511235706699,105176,27,94,0.891484347860343,0.79780763802601,1
"Threonine protease",0.000353828455378114,9,3.87744738632193,0.000681724084494073,0.00731511235706699,77948,2,9,0.689708055134751,0.840692282148745,1
"Chromatin regulator",0.0283593723757753,231,1.24168525902307,0.000682942760398042,0.00731511235706699,203225,91,269,1.04994590549324,0.305455214915147,0.776586140005756
"Nonsense-mediated mRNA decay",0.00132579760770293,20,2.29958213085569,0.00069818859807147,0.00731511235706699,172590,9,28,0.997613436891336,0.574175118873319,0.932023696480987
"S-nitrosylation",0.00527357372565027,55,1.58984149603969,0.000802542323453448,0.00811332523282964,141707,23,58,1.23077213286977,0.142044558755746,0.52808501279354
"Gamma-carboxyglutamic acid",0.0011466447309314,18,2.39298395135481,0.000809572582885387,0.00811332523282964,54382,6,15,1.24147449924255,0.346134471489286,0.805898946245256
"DNA-directed DNA polymerase",0.000792638867012432,14,2.69245734757786,0.00100210808168255,0.00982918777990758,86328,6,14,1.33015124918845,0.278487055172393,0.75077504347645
