"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0042270","protection from natural killer cell mediated cytotoxicity",0.000297647494601918,24,11.7334535819646,0,0,36307,5,6,2.46801049362887,0.0189076987605454,0.106460368533879
"GO:0002396","MHC protein complex assembly",0.000400295440260988,32,11.6328515072855,0,0,29524,11,19,1.71461781662637,0.0264761836467392,0.131354443650187
"GO:0002501","peptide antigen assembly with MHC protein complex",0.000400295440260988,32,11.6328515072855,0,0,29524,11,19,1.71461781662637,0.0264761836467392,0.131354443650187
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0.000428064469038566,31,10.5382709793548,0,0,33882,11,15,2.1718492343934,0.00202781765651228,0.0217428736350064
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",0.000435625508514079,31,10.3553609308814,0,0,33882,11,16,2.03610865724382,0.00450982121190391,0.0373413196345644
"GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",0.000435625508514079,31,10.3553609308814,0,0,33882,11,16,2.03610865724382,0.00450982121190391,0.0373413196345644
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib",0.000450879413482272,31,10.0050240407337,0,0,33882,11,17,1.91633755975889,0.00889568661988616,0.0633543934071423
"GO:0014877","response to muscle inactivity involved in regulation of muscle adaptation",0.000719154054068706,42,8.49853772414455,0,0,272798,4,8,1.48080629617732,0.267520908478441,0.522971093909062
"GO:0014894","response to denervation involved in regulation of muscle adaptation",0.000719154054068706,42,8.49853772414455,0,0,272798,4,8,1.48080629617732,0.267520908478441,0.522971093909062
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",0.000755731078183408,41,7.89465986773797,0,0,34395,13,24,1.60420682085876,0.0315338581299609,0.147514319387614
"GO:0014870","response to muscle inactivity",0.000779434717808821,42,7.84126972834366,0,0,272798,4,9,1.31627226326873,0.360326423800131,0.610539452059703
"GO:0030812","negative regulation of nucleotide catabolic process",0.00103718553787952,51,7.15534490703037,0,0,241343,6,18,0.987204197451547,0.602989238212488,0.796483568542757
"GO:0033122","negative regulation of purine nucleotide catabolic process",0.00103718553787952,51,7.15534490703037,0,0,241343,6,18,0.987204197451547,0.602989238212488,0.796483568542757
"GO:0045820","negative regulation of glycolytic process",0.00103718553787952,51,7.15534490703037,0,0,241343,6,18,0.987204197451547,0.602989238212488,0.796483568542757
"GO:0034983","peptidyl-lysine deacetylation",0.000813760960506372,38,6.79522113912117,0,0,300792,1,5,0.592322518470928,0.872560262096646,0.950147423406153
"GO:0014874","response to stimulus involved in regulation of muscle adaptation",0.000935696200302742,43,6.68729433782819,0,0,266464,5,14,1.0577187829838,0.538374815137435,0.740225317675505
"GO:0019883","antigen processing and presentation of endogenous antigen",0.000972633572052766,44,6.58294565438052,0,0,36400,17,31,1.62411013129126,0.0126592590254148,0.0809757924956144
"GO:0002475","antigen processing and presentation via MHC class Ib",0.000762898030911025,34,6.48528807731519,0,0,48397,14,24,1.72760734554021,0.0116527842075704,0.0761056511085143
"GO:0014854","response to inactivity",0.000972633572052766,42,6.28372085190868,0,0,272798,4,12,0.987204197451547,0.619261159960408,0.804801912107597
"GO:0010832","negative regulation of myotube differentiation",0.00142800480924406,52,5.29895855487694,0,0,232088,7,15,1.38208587643217,0.213504037347718,0.468004957951864
"GO:1903579","negative regulation of ATP metabolic process",0.00167923493711458,54,4.67949672505416,0,0,228850,9,23,1.15889188396486,0.365279508104557,0.615155456360487
"GO:1900543","negative regulation of purine nucleotide metabolic process",0.00179979139503217,57,4.60860549974371,0,0,217641,10,26,1.13908176629025,0.37487155108096,0.628352869183277
"GO:0045980","negative regulation of nucleotide metabolic process",0.00182583903341669,57,4.54285858157776,0,0,217641,10,27,1.09689355272394,0.429603642400218,0.677976777460065
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",0.00163386035243984,49,4.36413317514498,0,0,39388,23,39,1.74659204164505,0.00108224952273206,0.0131136966559338
"GO:0048002","antigen processing and presentation of peptide antigen",0.00277603087821948,66,3.45968447074122,0,0,38329,32,69,1.3735014921065,0.0198754520100919,0.110613792665575
"GO:0051154","negative regulation of striated muscle cell differentiation",0.00465147997232956,105,3.28484584171685,0,0,185105,18,36,1.48080629617732,0.0321101362104171,0.149459547183028
"GO:0010830","regulation of myotube differentiation",0.00384864735386391,86,3.25167536897336,0,0,201926,17,42,1.19874795404831,0.222296579116265,0.471013394249192
"GO:0014888","striated muscle adaptation",0.0043351194441559,89,2.98748537473296,0,0,183631,18,47,1.13423460983795,0.303160584058315,0.565078615019819
"GO:0051148","negative regulation of muscle cell differentiation",0.00758613754918214,129,2.47449081761764,0,0,172310,30,58,1.5318685822524,0.00357551274075507,0.0327330724129076
"GO:0048709","oligodendrocyte differentiation",0.0139672047797963,190,1.97952481122894,0,0,140243,60,105,1.69235005277408,7.25648428456793e-07,2.86112808934393e-05
"GO:0000122","negative regulation of transcription by RNA polymerase II",0.101380864938547,964,1.38368709647493,0,0,166130,373,859,1.28600872753001,1.07524011916382e-09,9.6538426120588e-08
"GO:1902679","negative regulation of RNA biosynthetic process",0.131258836947496,1206,1.33701292371352,0,0,165257,507,1202,1.24919932140083,2.03698502510008e-10,2.07939895986929e-08
"GO:0045892","negative regulation of DNA-templated transcription",0.130882618364054,1202,1.33640884755937,0,0,165918,501,1188,1.24896288616976,2.71975109100708e-10,2.73886285543038e-08
"GO:0051253","negative regulation of RNA metabolic process",0.140705413511778,1268,1.31137015618583,0,0,165931,542,1300,1.23476463465863,3.9285730224492e-10,3.80204235886902e-08
"GO:0044419","biological process involved in interspecies interaction between organisms",0.116270885577639,1046,1.30911425948305,0,0,123307,544,1688,0.954453347299126,0.923839202706344,0.976425749565035
"GO:0006955","immune response",0.119240685048931,1065,1.29969663499775,0,0,115571,558,1766,0.935775666213981,0.980339047265913,0.99760843646396
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process",0.147138122454184,1309,1.29458713166727,0,0,163681,568,1419,1.18547988192913,1.66952931035524e-07,7.72753566507285e-06
"GO:0006366","transcription by RNA polymerase II",0.230417579236328,2002,1.2643441769026,0,0,147834,967,2555,1.12089212399489,1.70306389457586e-06,6.04344387732349e-05
"GO:0002376","immune system process",0.190141092384437,1647,1.26047565969888,0,0,130481,867,2529,1.01530965503024,0.284221181907802,0.543220376398292
"GO:0006357","regulation of transcription by RNA polymerase II",0.225386791638714,1951,1.25963771986436,0,0,147061,936,2433,1.13936267424741,9.90475006457103e-08,5.23476577880733e-06
"GO:0006355","regulation of DNA-templated transcription",0.279479155350513,2378,1.23816714975665,0,0,145518,1189,3173,1.10978801522523,7.85158063343339e-07,3.06334967959925e-05
"GO:0006351","DNA-templated transcription",0.284479639659822,2420,1.23788706803698,0,0,144376,1223,3300,1.09759157589386,6.12016533385606e-06,0.000182429888271582
"GO:2001141","regulation of RNA biosynthetic process",0.280438424755728,2385,1.23756413126591,0,0,145635,1196,3191,1.1100246507227,6.85953558954289e-07,2.73354327343709e-05
"GO:0031324","negative regulation of cellular metabolic process",0.221632622495704,1856,1.21859989320845,0,0,152047,897,2363,1.12423465736018,2.55437311658113e-06,8.57440921836153e-05
"GO:0032774","RNA biosynthetic process",0.324437368767417,2711,1.21594938162204,0,0,145077,1408,4016,1.03833429532752,0.0262368203112767,0.131354443650187
"GO:0031327","negative regulation of cellular biosynthetic process",0.199150216658564,1664,1.21587628511758,0,0,155314,796,2097,1.12419819910076,1.03880838348003e-05,0.000287078682949682
"GO:0051252","regulation of RNA metabolic process",0.30008016983582,2502,1.21329625640171,0,0,147206,1268,3428,1.09548563801216,5.9131194825035e-06,0.000176966130054683
"GO:0009890","negative regulation of biosynthetic process",0.201365196355538,1676,1.21117376069004,0,0,155307,805,2121,1.12404438323691,9.39360843088544e-06,0.000262176666767634
"GO:0141187","nucleic acid biosynthetic process",0.330908646385057,2748,1.20844103027544,0,0,144832,1440,4124,1.03412272865923,0.0396511701472485,0.174944061537771
"GO:0016070","RNA metabolic process",0.33625710998841,2791,1.20782832363253,0,0,144655,1473,4206,1.03719813327113,0.026249145174855,0.131354443650187
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.315662861412565,2613,1.20457201677452,0,0,146248,1350,3715,1.07622530273991,0.000117606581615082,0.00227047732175023
"GO:0006950","response to stress",0.283334672265958,2337,1.20026139640187,0,0,130189,1315,3812,1.02164757579915,0.14637849605284,0.384766332481752
"GO:0010605","negative regulation of macromolecule metabolic process",0.231577461752732,1908,1.1989440868023,0,0,152502,925,2532,1.08194772824962,0.000867070161125749,0.0111595973069241
"GO:0090304","nucleic acid metabolic process",0.363542429109017,2993,1.1980321182048,0,0,143876,1642,4727,1.02876409491143,0.0528224463057088,0.199813639527991
