"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-1236977",0.000703950922525537,35,8.24944004380004,0,0,47620,8,11,2.24400632834368,0.00727678831171197,0.257938921857705
"R-HSA-877300",0.00616867527637063,105,2.8242048749414,0,0,60913,38,93,1.26074549092427,0.0529844799555337,0.50607014698615
"R-HSA-913531",0.0152209642133008,188,2.04934224624328,0,0,77981,91,261,1.07579039016859,0.214716568525663,0.783978686460604
"R-HSA-202430",0.000534892555448646,26,8.06502286540326,1.77635683940025e-15,5.91882098888163e-13,27738,8,17,1.45200409481061,0.15113030660122,0.722526770655145
"R-HSA-416482",0.00764953302795976,109,2.36423358491843,1.77635683940025e-15,5.91882098888163e-13,96674,34,75,1.39876394466756,0.0129915103506593,0.335208376376954
"R-HSA-1643685",0.144659908483851,1077,1.23528260500239,1.70974345792274e-13,4.74738766816548e-11,135471,575,1747,1.01555094639194,0.32699673385403,0.902307604830214
"R-HSA-389948",0.00064157821546644,25,6.46530783571638,7.37521155258491e-13,1.75530034951521e-10,27998,7,21,1.02850290049085,0.545636769940458,1
"R-HSA-193648",0.00625262253087119,88,2.33517412318821,1.63324909152607e-12,3.40124123310304e-10,100399,29,54,1.65703245079082,0.000967788972407346,0.115166887716474
"R-HSA-909733",0.00340968331558896,58,2.82236226917032,9.57489643127474e-12,1.77241971716708e-09,69614,24,77,0.961716997861576,0.633903987492617,1
"R-HSA-204998",0.00686395639950813,91,2.19971129433129,1.53944634817549e-11,2.56471761606036e-09,97717,32,70,1.41051826353031,0.0136074232923287,0.335208376376954
"R-HSA-198933",0.00556686088156484,77,2.29498137566956,8.31410496004992e-11,1.25920898758574e-08,51608,39,123,0.978332027296177,0.599850571324308,1
"R-HSA-5663205",0.0722461595442583,568,1.30446484177583,1.43608569480591e-10,1.99376563962221e-08,112762,299,982,0.939477700346532,0.917479660880086,1
"R-HSA-193704",0.00849329349023391,101,1.97307707552281,4.2633241381651e-10,5.46361385706389e-08,101549,38,90,1.30277034062175,0.0318832362650217,0.438971466755004
"R-HSA-9646399",0.0024591025949971,44,2.96875827097632,6.28720409068251e-10,7.48177286791218e-08,214700,23,41,1.73089512521631,0.00146853398393976,0.128767243012823
"R-HSA-202433",0.00172743131586438,35,3.36175503814247,1.59186208659179e-09,1.76802815750795e-07,57261,11,30,1.13135319053994,0.373133920753374,0.939019316443496
"R-HSA-202427",0.00110896010934566,27,4.03967706234073,2.74437350622492e-09,2.8575789133567e-07,34853,9,20,1.38847891566265,0.166684810777743,0.734647869724127
"R-HSA-164952",0.00195228811562657,37,3.14453636894486,3.17212356382157e-09,3.10868109254514e-07,82422,10,27,1.14278100054539,0.370873480646666,0.939019316443496
"R-HSA-162906",0.0134173865395522,138,1.70651442410321,3.6730813945951e-09,3.39964089077524e-07,119291,62,223,0.857854437180711,0.94106925528662,1
"R-HSA-164940",0.000452569550513317,17,6.23250160799202,5.45070011348514e-09,4.77940336266644e-07,45574,2,9,0.685668600327235,0.843566275713517,1
"R-HSA-2644602",0.0062932657754644,78,2.05644613344284,7.16573156367417e-09,4.97421199378382e-07,189623,25,54,1.42847625068174,0.0228889931725265,0.38518245076191
"R-HSA-2644603",0.0062932657754644,78,2.05644613344284,7.16573156367417e-09,4.97421199378382e-07,189623,25,54,1.42847625068174,0.0228889931725265,0.38518245076191
"R-HSA-2644606",0.0062932657754644,78,2.05644613344284,7.16573156367417e-09,4.97421199378382e-07,189623,25,54,1.42847625068174,0.0228889931725265,0.38518245076191
"R-HSA-2894858",0.0062932657754644,78,2.05644613344284,7.16573156367417e-09,4.97421199378382e-07,189623,25,54,1.42847625068174,0.0228889931725265,0.38518245076191
"R-HSA-2894862",0.0062932657754644,78,2.05644613344284,7.16573156367417e-09,4.97421199378382e-07,189623,25,54,1.42847625068174,0.0228889931725265,0.38518245076191
"R-HSA-9013148",0.0183184701727602,174,1.57600958742415,9.99471949647557e-09,6.66048107245132e-07,115072,77,144,1.64989006953741,1.31800260705361e-07,0.000219579234335132
"R-HSA-9824446",0.0556793973591644,440,1.31116382617877,1.11006112080148e-08,7.0014247264025e-07,110097,239,794,0.928761435329901,0.928495592078701,1
"R-HSA-168256",0.137467554726078,982,1.18525034066417,1.13468467954903e-08,7.0014247264025e-07,122670,586,1967,0.919221199320243,0.996153576037694,1
"R-HSA-983170",0.00212360055072864,37,2.89086428242833,2.64940598349028e-08,1.57639656017672e-06,46271,10,28,1.10196739338306,0.422854709994095,0.941855573316149
"R-HSA-162599",0.00811646940509426,91,1.86025741763025,4.21885968382441e-08,2.42366214939706e-06,130501,43,132,1.00512783457061,0.516565895623718,1
"R-HSA-164938",0.0010652301738208,24,3.73823492330286,8.24948993560781e-08,4.58121674424087e-06,53293,6,20,0.925652610441767,0.671790121501987,1
"R-HSA-73887",0.0122477668583825,123,1.66627626907665,8.65722967757776e-08,4.65256278801437e-06,104669,54,144,1.15706576305221,0.111899025215841,0.628793043123561
"R-HSA-9716542",0.064188052832722,490,1.26660350984637,9.89211892399311e-08,5.15008441480391e-06,116699,261,686,1.17393261091011,0.000853577723323951,0.109389268235208
"R-HSA-194315",0.0631210090284396,482,1.26698628597207,1.22404107960605e-07,6.17955284431419e-06,116810,253,672,1.16165729385797,0.00196597601371384,0.155967430421298
"R-HSA-2660825",0.000945275878701582,22,3.86156112335418,1.62958478711062e-07,7.75682358664653e-06,205203,5,7,2.20393478676611,0.0401340231149834,0.438971466755004
"R-HSA-2660826",0.000945275878701582,22,3.86156112335418,1.62958478711062e-07,7.75682358664653e-06,205203,5,7,2.20393478676611,0.0401340231149834,0.438971466755004
"R-HSA-9818030",0.00110998428994039,24,3.58751080823562,1.71673539939299e-07,7.94466993163533e-06,174336,4,11,1.12200316417184,0.500862373232414,1
"R-HSA-9609646",0.00768526542999882,85,1.83509631319455,1.98969610010202e-07,8.95901000748641e-06,85348,49,156,0.969166194693303,0.634884610481092,1
"R-HSA-210744",0.00193851591599609,33,2.82451169519764,2.40300715770303e-07,1.05352892756138e-05,94353,10,15,2.0570058009817,0.00678780450429428,0.257938921857705
"R-HSA-5689877",0.000676134061476904,18,4.41711288930782,3.18412496258524e-07,1.33569700638202e-05,396327,5,11,1.4025039552148,0.266152648545164,0.847449414750566
"R-HSA-2691230",0.00150122998429769,28,3.09463625954361,3.28712948749477e-07,1.33569700638202e-05,191452,9,15,1.85130522088353,0.025585644708328,0.394682260037727
"R-HSA-2691232",0.00150122998429769,28,3.09463625954361,3.28712948749477e-07,1.33569700638202e-05,191452,9,15,1.85130522088353,0.025585644708328,0.394682260037727
"R-HSA-9717189",0.00267650823604349,40,2.47964903395886,3.82166618462243e-07,1.5159275865669e-05,124176,14,47,0.919087698310974,0.700818003360851,1
"R-HSA-167238",0.000922197168048722,21,3.77828156300216,4.3397273574719e-07,1.64317858580641e-05,64644,10,31,0.995325387571793,0.574391166888655,1
