"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Adaptive immunity",0.000227239661308854,25,18.2538586784916,0,0,29134,8,11,2.24400632834368,0.00727678831171197,0.0899491888531063
"MHC II",0.000227239661308854,25,18.2538586784916,0,0,29134,8,11,2.24400632834368,0.00727678831171197,0.0899491888531063
"MHC I",0.000326103382388449,33,16.7902609165077,0,0,42854,6,8,2.31413152610442,0.0169563825738077,0.157199796778009
"Acetylation",0.237583776476105,1733,1.21026532312582,0,0,122965,1030,3192,0.995637206302235,0.581981437732556,0.934952129209341
"Phosphoprotein",0.589068588116244,3905,1.09990197531798,0,0,142247,2617,7610,1.06107441153136,8.26478968263267e-07,8.96658297760977e-05
"Alternative splicing",0.704022852437487,4561,1.07491005222589,0,0,144146,3356,9586,1.08021773441914,2.22044604925031e-15,9.88098491916389e-13
"Reference proteome",0.921683754987468,5899,1.06192848827553,0,0,139664,5609,17194,1.00654986079793,0.0115646903037379,0.128657179629084
"Metal-binding",0.15099973837791,1119,1.22956841979193,1.56763491077072e-13,8.71996919116214e-12,150355,657,1802,1.12496071968228,6.97706598165038e-05,0.00344977151314935
"Zinc-finger",0.132741275102199,997,1.24620067375578,2.42472708578134e-13,1.19889283685855e-11,151590,572,1573,1.12200316417184,0.000283063574220144,0.0104969408773303
"Methylation",0.0773194691395743,623,1.33689713197994,2.72670774847938e-13,1.21338494807333e-11,135551,299,922,1.00061507780943,0.507585649872136,0.891648073235294
"Transcription",0.203177552257734,1452,1.18574062867405,5.60440582830779e-13,2.26723690326997e-11,160686,802,2170,1.14035851547511,1.0074812334393e-06,8.96658297760977e-05
"Direct protein sequencing",0.185328031994627,1333,1.19340497498962,1.42241773914975e-12,5.27479911601366e-11,117462,812,2657,0.942955613698049,0.987157650705214,1
"Zinc",0.142151049867719,1051,1.22673696791818,1.87005966267861e-12,6.40135807609218e-11,152390,606,1656,1.12911731466931,8.70755180761851e-05,0.00387486055439024
"Isopeptide bond",0.14186804007202,1042,1.21865832201826,1.0621059587379e-11,3.37597965455976e-10,137810,540,1671,0.99711232722632,0.543999986496619,0.923225713397353
"Immunity",0.0223352146772609,217,1.6120125228704,2.35944597193338e-11,6.9996897167357e-10,68564,119,388,0.946328699678439,0.785932876878407,1
"Ubl conjugation",0.204956298177743,1422,1.15116383271869,2.57652077451098e-09,7.16594840410867e-08,139474,788,2374,1.02417053780976,0.19745504154654,0.596060544741141
