"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0045088","regulation of innate immune response",0.0335770475363123,5,12.4092705356556,2.77254987018916e-05,0.00241211838706457,59934,3,432,7.53227124183007,0.00680084339128406,0.166327082088429
"GO:0002831","regulation of response to biotic stimulus",0.0408607441991084,5,10.1972363654541,7.08377373833668e-05,0.00308144157617646,59934,3,523,6.22168484984816,0.0114708332474779,0.166327082088429
"GO:0045087","innate immune response",0.0630374535964833,5,6.60982706144576,0.000541362823190727,0.0122371297982503,56670,4,961,4.51465997429149,0.0101191884741636,0.166327082088429
"GO:0031347","regulation of defense response",0.0647101324281762,5,6.43897100858413,0.000610840183244754,0.0122371297982503,59934,3,786,4.13987427031882,0.0335761489333546,0.218972680192906
"GO:0032870","cellular response to hormone stimulus",0.0686588939072625,5,6.0686481088591,0.000801815017107299,0.0122371297982503,116976,3,618,5.26527698458024,0.0179431847948719,0.195626530418345
"GO:0050776","regulation of immune response",0.0694312102449817,5,6.00114365278232,0.000843939986086228,0.0122371297982503,56670,4,918,4.72613097526592,0.00863426443678605,0.166327082088429
"GO:0140546","defense response to symbiont",0.0737276547330791,5,5.65142982202745,0.00110982108284374,0.0137934906010579,56670,4,1138,3.81246769358007,0.0179886464752501,0.195626530418345
"GO:0098542","defense response to other organism",0.0793043166202291,5,5.25402253526743,0.00154414960655802,0.0167926269713185,56670,4,1236,3.51018465638683,0.0236665957324067,0.205899382871938
"GO:0034097","response to cytokine",0.0829756325465426,5,5.02155456823967,0.00189286836840841,0.0178004744593144,116976,3,905,3.5955151121222,0.047913218865091,0.218972680192906
"GO:1901652","response to peptide",0.0844284742606231,5,4.93514386367393,0.00204603154704763,0.0178004744593144,116976,3,920,3.5368925831202,0.0499094246364445,0.218972680192906
"GO:0098660","inorganic ion transmembrane transport",0.0925330728938223,5,4.5028945179933,0.00307698322596583,0.0229240477851816,229303,4,890,4.8748182419035,0.00775010941565701,0.166327082088429
"GO:0009725","response to hormone",0.0931046607189325,5,4.4752503628633,0.00316193762554229,0.0229240477851816,116976,3,876,3.71454472199839,0.0441728382506883,0.218972680192906
"GO:0032101","regulation of response to external stimulus",0.0987156099810904,5,4.22087921805358,0.00409106455967434,0.0255515525134073,59934,3,1048,3.10490570273911,0.0686109969653694,0.259528553738571
"GO:0044093","positive regulation of molecular function",0.0988292316257381,5,4.21602657242712,0.00411174408261727,0.0255515525134073,323947,3,956,3.40370415948806,0.054869811094729,0.22731778882102
