"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0045687","positive regulation of glial cell differentiation",0.00674232561181779,101,2.76179838009663,0,0,125526,29,45,2.12802849411016,2.27656141282839e-06,0.000115523028773598
"GO:0110053","regulation of actin filament organization",0.0254917127859397,249,1.80086289342387,0,0,148518,94,253,1.22687209078451,0.0109479378380428,0.101339558349231
"GO:0007015","actin filament organization",0.0428041673296721,378,1.62811870512467,0,0,139560,166,435,1.26011675394394,0.000233068602071063,0.00618337844520115
"GO:0006366","transcription by RNA polymerase II",0.239868839841331,1585,1.21824812345404,0,0,159656,870,2555,1.1243986172402,5.31775610812524e-06,0.000246460269757911
"GO:0006351","DNA-templated transcription",0.296160100392366,1918,1.1939946294354,0,0,153977,1085,3300,1.08569478813927,0.000199799500460118,0.00553388895298304
"GO:0006355","regulation of DNA-templated transcription",0.290962501783636,1882,1.19251243391479,0,0,155274,1055,3173,1.09792921696947,3.92294322684172e-05,0.0013704674026635
"GO:2001141","regulation of RNA biosynthetic process",0.291963064548924,1886,1.19095155013527,0,0,155552,1060,3191,1.09691005056305,4.39890394072773e-05,0.00152905900979696
"GO:0032774","RNA biosynthetic process",0.337722414466446,2145,1.17097528866922,0,0,151581,1264,4016,1.03931052295118,0.033348386273182,0.188027559911729
"GO:0090304","nucleic acid metabolic process",0.378453454156662,2398,1.16819952278665,0,0,149423,1476,4727,1.03108082387164,0.0533715611059145,0.250871597571547
"GO:0141187","nucleic acid biosynthetic process",0.344472259080328,2176,1.1646219120054,0,0,151393,1295,4124,1.03691478389135,0.0399562594328573,0.212718028019631
"GO:0034654","nucleobase-containing compound biosynthetic process",0.360795484325864,2278,1.16405351226109,0,0,148958,1377,4398,1.03388127548208,0.0468734557795485,0.233957062444525
"GO:0016070","RNA metabolic process",0.350029872587051,2208,1.162985441811,0,0,150957,1317,4206,1.03397124553953,0.0514011094042293,0.245763763808942
"GO:0006139","nucleobase-containing compound metabolic process",0.409078897751027,2573,1.15961287406933,0,0,146032,1631,5253,1.02527062581786,0.0794543505570665,0.307896680642545
"GO:0031326","regulation of cellular biosynthetic process",0.407566333211242,2517,1.13858440884972,0,0,151342,1531,4827,1.04734519978654,0.00622355589694534,0.0691152725168754
"GO:0009889","regulation of biosynthetic process",0.411943861746878,2537,1.13543623691131,0,0,150369,1548,4897,1.04383728883774,0.00973892632175244,0.0954936753015839
"GO:0010467","gene expression",0.457176327889196,2815,1.13520679846313,0,0,147698,1800,5890,1.00913475805235,0.293402725462061,0.567127838205308
"GO:0080090","regulation of primary metabolic process",0.432021349937345,2657,1.13387887445133,0,0,151577,1651,5173,1.05389307191794,0.00141229565508072,0.0243026717676266
"GO:0031323","regulation of cellular metabolic process",0.450439024499119,2761,1.1300839750061,0,0,150239,1733,5453,1.049433732227,0.00223540238150899,0.0338573362881274
"GO:0060255","regulation of macromolecule metabolic process",0.462443166983469,2819,1.12387245774062,0,0,150017,1787,5643,1.04569843231998,0.0035381977463218,0.0468524775855794
"GO:0044238","primary metabolic process",0.64804852553291,3939,1.12062104232411,0,0,138272,2925,9408,1.0266455200902,0.00779847852108217,0.0817722815664605
