"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-416482",0.00764953302795976,102,2.46062876501969,1.22124532708767e-15,1.98330241119038e-12,94728,34,75,1.49803106332139,0.00411879031933138,0.191202877034799
"R-HSA-193648",0.00625262253087119,82,2.42009542207833,1.58051349785637e-12,1.28337696025937e-09,98928,29,54,1.77462830213726,0.000273156955502007,0.0403278996122964
"R-HSA-204998",0.00686395639950813,85,2.28520548888719,1.09541264947666e-11,5.92983380916697e-09,96109,32,70,1.51061955965182,0.00452317219647946,0.196971200517243
"R-HSA-913531",0.0152209642133008,147,1.78219827455202,6.68498589817546e-11,2.71410427465923e-08,95907,88,261,1.11415427292328,0.124434415691107,0.682371802100079
"R-HSA-1643685",0.144659908483851,948,1.20931934541182,3.7615288661641e-10,1.2217445757301e-07,137238,528,1747,0.998721002517372,0.524507460371155,0.996257445196206
"R-HSA-193704",0.00849329349023391,93,2.02063404464008,6.39358010978697e-10,1.73052901638234e-07,99500,38,90,1.39522500995619,0.0105369470059093,0.290012972494646
"R-HSA-9716542",0.064188052832722,460,1.32246589014777,1.56870982870316e-09,3.57290126373755e-07,113890,252,686,1.21389071757735,0.000125860901512898,0.0253962593812705
"R-HSA-194315",0.0631210090284396,453,1.32435714300759,1.77483028274139e-09,3.57290126373755e-07,114061,245,672,1.20475843787336,0.000263315925042251,0.0403278996122964
"R-HSA-9013148",0.0183184701727602,163,1.64202305923928,1.98005611906638e-09,3.57290126373755e-07,112590,76,144,1.74403126244524,1.33404300939333e-08,1.57959829354404e-05
"R-HSA-9646399",0.0024591025949971,40,3.00167862221717,2.6868083313758e-09,4.3633767301543e-07,235771,21,41,1.69253868345135,0.00396582730347461,0.191202877034799
"R-HSA-162599",0.00811646940509426,85,1.93255836457578,2.32161360136374e-08,3.41618482406029e-06,134671,41,132,1.02639160421418,0.45321269203774,0.983417974385206
"R-HSA-9818030",0.00110998428994039,24,3.99002170903046,2.52427450053716e-08,3.41618482406029e-06,174336,4,11,1.20162919517758,0.438127686679384,0.965426544324721
"R-HSA-162582",0.248517623754653,1520,1.12867068320312,4.13802370147209e-08,3.88466074670764e-06,142875,877,2504,1.15735990873384,1.94531809549758e-08,1.57959829354404e-05
"R-HSA-2644602",0.0062932657754644,70,2.05259286943423,4.3056584630996e-08,3.88466074670764e-06,179356,24,54,1.46865790521704,0.0191401337668311,0.299804606353448
"R-HSA-2644603",0.0062932657754644,70,2.05259286943423,4.3056584630996e-08,3.88466074670764e-06,179356,24,54,1.46865790521704,0.0191401337668311,0.299804606353448
"R-HSA-2644606",0.0062932657754644,70,2.05259286943423,4.3056584630996e-08,3.88466074670764e-06,179356,24,54,1.46865790521704,0.0191401337668311,0.299804606353448
"R-HSA-2894858",0.0062932657754644,70,2.05259286943423,4.3056584630996e-08,3.88466074670764e-06,179356,24,54,1.46865790521704,0.0191401337668311,0.299804606353448
"R-HSA-2894862",0.0062932657754644,70,2.05259286943423,4.3056584630996e-08,3.88466074670764e-06,179356,24,54,1.46865790521704,0.0191401337668311,0.299804606353448
"R-HSA-5689877",0.000676134061476904,18,4.91270333712091,6.88043880758826e-08,5.88096453869649e-06,396327,5,11,1.50203649397198,0.216047752659019,0.788452922063476
"R-HSA-877300",0.00616867527637063,68,2.0342196840508,9.16294651265304e-08,7.12878010903732e-06,80798,37,93,1.31468570547655,0.0314653121815915,0.382091747763056
"R-HSA-5663205",0.0722461595442583,495,1.26436155541812,9.21825014099653e-08,7.12878010903732e-06,115678,278,982,0.935484235960552,0.920541295530085,1
"R-HSA-73887",0.0122477668583825,113,1.70255982688271,9.85416979126796e-08,7.27416897319053e-06,104643,54,144,1.23918010752688,0.0372060501013816,0.419601565032248
"R-HSA-162906",0.0134173865395522,120,1.65041880566286,1.93948364701768e-07,1.3694441055464e-05,123516,58,223,0.85946124049697,0.930067556915983,1
"R-HSA-9609646",0.00768526542999882,78,1.8729085839815,2.83022949743028e-07,1.91512195992782e-05,85475,46,156,0.974398033269001,0.613528541331922,1
"R-HSA-9623433",0.000680021811832272,17,4.61324933015742,3.71022594314319e-07,2.41016277266581e-05,118510,5,9,1.83582238152131,0.101996609896201,0.637715868815466
"R-HSA-8964616",0.00103513783962651,21,3.7437079280669,5.00558691163278e-07,3.12656659403524e-05,62598,5,19,0.869600075457461,0.726192821294865,1
"R-HSA-162587",0.00903937874689695,87,1.77607588680933,5.30829646017139e-07,3.15598048064025e-05,134225,43,145,0.979949326412063,0.594522358269897,1
"R-HSA-9012999",0.0457925303938435,327,1.31775283524543,5.4413456562763e-07,3.15598048064025e-05,113731,161,424,1.25476727869074,0.000362179285410269,0.0420127971075912
"R-HSA-210744",0.00193851591599609,30,2.85583250632559,6.56683513122758e-07,3.67742767348744e-05,93009,10,15,2.20298685782557,0.0039070511756949,0.191202877034799
"R-HSA-9006931",0.024913823511042,193,1.42954481413925,1.13645919741501e-06,6.15203245533991e-05,145833,88,289,1.00620853021791,0.494500556109428,0.988296445036157
"R-HSA-5663213",0.00232718936791036,33,2.61675501254647,1.23074072888585e-06,6.33957207181179e-05,72907,13,34,1.26347775669408,0.202194157013157,0.76186383060178
"R-HSA-9610379",0.0039658913802415,47,2.18694515388636,1.24917676291858e-06,6.33957207181179e-05,79431,27,115,0.775834502103787,0.957239031196644,1
"R-HSA-167238",0.000922197168048722,19,3.80198733401933,1.36749794799051e-06,6.36844453872243e-05,53213,10,31,1.06596138281882,0.471159316457968,0.983417974385206
"R-HSA-167243",0.000922197168048722,19,3.80198733401933,1.36749794799051e-06,6.36844453872243e-05,53213,10,31,1.06596138281882,0.471159316457968,0.983417974385206
"R-HSA-9717189",0.00267650823604349,36,2.48207423046744,1.37250959886259e-06,6.36844453872243e-05,126949,13,47,0.914005185693587,0.702706792169526,1
"R-HSA-2691230",0.00150122998429769,25,3.07307831180459,1.52867507419163e-06,6.70964410942489e-05,177302,9,15,1.98268817204301,0.0161379480205613,0.291410082216797
"R-HSA-2691232",0.00150122998429769,25,3.07307831180459,1.52867507419163e-06,6.70964410942489e-05,177302,9,15,1.98268817204301,0.0161379480205613,0.291410082216797
"R-HSA-350054",0.00329799429936074,41,2.29411299556798,1.85050154777322e-06,7.70905396102337e-05,148935,10,24,1.37686678614098,0.159580666107946,0.735737181029407
"R-HSA-168256",0.137467554726078,865,1.1611725188385,1.89722950572069e-06,7.70905396102337e-05,129953,544,1967,0.913897954237755,0.99658656977012,1
"R-HSA-2660825",0.000945275878701582,19,3.70916261737873,1.94625130789383e-06,7.70905396102337e-05,188756,5,7,2.36034306195597,0.0298768301679054,0.377143816824991
"R-HSA-2660826",0.000945275878701582,19,3.70916261737873,1.94625130789383e-06,7.70905396102337e-05,188756,5,7,2.36034306195597,0.0298768301679054,0.377143816824991
"R-HSA-8941856",0.00195779576196334,29,2.73345206822464,2.30814029267279e-06,8.92480913166812e-05,181112,8,13,2.03352633030052,0.019199309766477,0.299804606353448
"R-HSA-9824446",0.0556793973591644,382,1.26604658411689,2.58745028514085e-06,9.20326877996726e-05,114556,223,794,0.928084513781678,0.920576805210286,1
"R-HSA-9664407",0.0048373468032172,53,2.02185261592995,2.62997918132335e-06,9.20326877996726e-05,96670,22,57,1.27541344400428,0.111265995124917,0.659474365265932
"R-HSA-9664417",0.0048373468032172,53,2.02185261592995,2.62997918132335e-06,9.20326877996726e-05,96670,22,57,1.27541344400428,0.111265995124917,0.659474365265932
"R-HSA-9664422",0.0048373468032172,53,2.02185261592995,2.62997918132335e-06,9.20326877996726e-05,96670,22,57,1.27541344400428,0.111265995124917,0.659474365265932
"R-HSA-9012852",0.00535503290699507,57,1.96423552195716,2.66350759026146e-06,9.20326877996726e-05,162047,22,48,1.51455346475508,0.0163483196080731,0.291754626851767
"R-HSA-9818028",0.000469978081033286,13,5.10442230354483,2.88017116090167e-06,9.74457909438398e-05,67312,4,7,1.88827444956477,0.129415341777601,0.682371802100079
"R-HSA-8964315",0.000883592851880033,18,3.75924958321153,2.98149529642799e-06,9.88152726816135e-05,68733,4,17,0.7775247733502,0.804665079970904,1
"R-HSA-1912408",0.00373734782057718,44,2.17255113732277,3.1366884893913e-06,9.91403463108152e-05,101283,21,89,0.779708831702308,0.93446208950364,1
"R-HSA-167287",0.00107168690143134,20,3.44383965101326,3.17444458630689e-06,9.91403463108152e-05,50615,11,33,1.10149342891278,0.413526389939154,0.956647944816505
"R-HSA-167290",0.00107168690143134,20,3.44383965101326,3.17444458630689e-06,9.91403463108152e-05,50615,11,33,1.10149342891278,0.413526389939154,0.956647944816505
"R-HSA-9663891",0.00502371647077531,54,1.98357893771386,3.64572963396093e-06,0.000111710658972689,187456,33,86,1.26799824956239,0.065984740562965,0.541208175122501
"R-HSA-977225",0.00414428891021947,47,2.09280460960902,3.90876791978023e-06,0.000115802569497541,197138,27,107,0.833840820018089,0.894296856975686,1
"R-HSA-2029482",0.00477926019943342,52,2.00781417951498,3.92188505071722e-06,0.000115802569497541,92441,23,59,1.28818723042342,0.0955246372292342,0.637715868815466
"R-HSA-9609690",0.00611456929939715,62,1.87114165497355,4.49233922394932e-06,0.00013027783749453,75229,39,132,0.976323721081786,0.603825050639425,1
"R-HSA-9029569",0.00343635699808498,41,2.20174201507264,4.87223711465035e-06,0.000138816018845477,137968,16,36,1.46865790521704,0.0504751805484274,0.498165822237441
"R-HSA-167172",0.00381814743397255,44,2.12657562301563,5.28625513507297e-06,0.000148015143782043,171941,19,67,0.937091424597443,0.676822848506139,1
"R-HSA-5250924",0.00193874339075093,28,2.66513093332469,5.40240842294981e-06,0.000148703580997805,63557,19,88,0.71346733463669,0.973795329897673,1
"R-HSA-9612973",0.00961791416619396,87,1.66924162003138,5.63110415041645e-06,0.000152415219004605,173176,52,150,1.1455531660693,0.138275538172225,0.693757712859045
"R-HSA-392851",0.000937328774228426,18,3.5437363617616,6.5823668378151e-06,0.000173037078876801,68733,4,19,0.695680060365969,0.872085286725442,1
"R-HSA-9009391",0.0074185405773941,71,1.76612208448769,6.60609537583845e-06,0.000173037078876801,159139,28,76,1.21744010564045,0.130776506847338,0.68510015200025
"R-HSA-212436",0.101482823684925,649,1.1801385664019,7.43359070198846e-06,0.00018989338668482,146376,369,1208,1.00939836573382,0.423182954784821,0.959852493323351
"R-HSA-3700989",0.0258725918716133,194,1.38370223093498,7.48348321910619e-06,0.00018989338668482,142831,108,348,1.02552836484983,0.39561468711055,0.947626717979372
"R-HSA-74160",0.121306976469839,763,1.1606989958017,9.11065371456132e-06,0.000227626178960732,140217,448,1515,0.977166447827578,0.738383989849955,1
"R-HSA-674695",0.00405330698985566,45,2.04872593444803,1.03398018552747e-05,0.000254421791105548,154242,23,78,0.974398033269001,0.60156358871343,1
