"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.237583776476105,1600,1.24275079699879,0,0,118753,976,3192,1.01039246862676,0.342490388388116,0.812678534757659
"Phosphoprotein",0.589068588116244,3559,1.11491811598799,0,0,138315,2471,7610,1.07297907865052,2.56530308107017e-08,5.48974859349016e-06
"Alternative splicing",0.704022852437487,4130,1.08254047759318,0,0,140154,3144,9586,1.08379783241241,3.33066907387547e-15,1.4255263636187e-12
"Reference proteome",0.921683754987468,5311,1.06334750757582,0,0,136329,5231,17194,1.0053353716371,0.0401099578691833,0.26010699951531
"Methylation",0.0773194691395743,583,1.39142736451654,1.4432899320127e-15,1.23545618180287e-13,134000,287,922,1.02861805021031,0.289952231684534,0.725728392754272
"Isopeptide bond",0.14186804007202,970,1.26173460473013,1.95399252334028e-14,1.39384799998273e-12,133641,517,1671,1.02239156687237,0.272171346650559,0.714658505315579
"Metal-binding",0.15099973837791,1021,1.24775809542365,4.9293902293357e-14,2.41811509087913e-12,148090,610,1802,1.11860875411232,0.000295694188776618,0.0115051920723993
"Transcription",0.203177552257734,1327,1.20524696881846,5.06261699229071e-14,2.41811509087913e-12,154612,745,2170,1.13448747171432,7.5554130886113e-06,0.000538952800320939
"Zinc-finger",0.132741275102199,912,1.26785533425932,5.08482145278322e-14,2.41811509087913e-12,149821,532,1573,1.1175991815288,0.000796352190596261,0.0227225825050133
"Zinc",0.142151049867719,963,1.25013543258287,2.1360690993788e-13,9.14237574534127e-12,150226,565,1656,1.12743439734732,0.000215646778950696,0.00922968213908977
"Direct protein sequencing",0.185328031994627,1195,1.18989226207552,3.90601995192696e-11,1.51979685402249e-09,116668,759,2657,0.943959554999777,0.98155799664087,1
"Ubl conjugation",0.204956298177743,1304,1.17407859923675,9.82620651512889e-11,3.5046803237293e-09,137023,754,2374,1.04952743732128,0.0469660822101862,0.284467300838454
"SH3 domain",0.0233847320414615,201,1.58615092414464,4.28822644060745e-10,1.41181608967691e-08,128483,91,208,1.44571012544803,2.46810300957856e-05,0.00117372009788847
"3D-structure",0.560769595957331,3255,1.07114282504313,1.55326507211839e-09,4.74855322047623e-08,137756,2288,7306,1.03485503641628,0.00608697401414249,0.0761896223108093
"Guanine-nucleotide releasing factor",0.0164462495428492,148,1.66064074237939,5.39868549864764e-09,1.54042492894746e-07,114146,65,152,1.41310012261837,0.000705504493666798,0.0215682802349564
"Adaptive immunity",0.000227239661308854,11,8.93283682456508,7.97279571251863e-08,2.00726856762234e-06,28901,8,11,2.40325839035516,0.00454561548201249,0.0670870147000464
"MHC II",0.000227239661308854,11,8.93283682456508,7.97279571251863e-08,2.00726856762234e-06,28901,8,11,2.40325839035516,0.00454561548201249,0.0670870147000464
"Protein phosphatase inhibitor",0.00242538481387287,36,2.73906725329468,1.45027724607338e-07,3.44843700733005e-06,211034,11,27,1.34626974644896,0.163867267090436,0.561081522517653
"Translation regulation",0.0101916562897001,96,1.73823028864144,3.60474486593709e-07,7.88554989221701e-06,147066,40,114,1.15946676727661,0.153262699225518,0.545088129672656
"Actin-binding",0.0247769116441273,195,1.45233996479871,3.68483639823225e-07,7.88554989221701e-06,120364,99,247,1.32446780723521,0.000600194642444762,0.0206404806470158
"Repressor",0.0722488823481419,487,1.24388055006123,7.1036271853675e-07,1.44778687397014e-05,173171,228,566,1.33113340172499,1.69273574712747e-07,1.81122724942639e-05
"Cytoskeleton",0.116366575621111,747,1.18460400472228,8.15562788414326e-07,1.58664033382423e-05,134785,423,1265,1.10497641208721,0.0062304597684073,0.0761896223108093
"Serine protease",0.00784808293466315,77,1.81053944257278,1.1573034677248e-06,2.15359080080963e-05,94771,49,130,1.24553487730907,0.0415686262079942,0.261637823779728
"Bromodomain",0.00361609252949171,44,2.24540140827288,1.37906436481483e-06,2.37356325148497e-05,322794,13,33,1.30176496144238,0.1694917400176,0.56379089075533
"Cytoplasm",0.116823767952049,747,1.17996803144688,1.38642713287673e-06,2.37356325148497e-05,134785,423,1273,1.09803233408509,0.00961530005729161,0.111225633095157
"Charcot-Marie-Tooth disease",0.00417942487127456,48,2.11936405125249,2.23683753786119e-06,3.54580172668367e-05,96132,21,53,1.30932237776425,0.0928353746123729,0.427242369183824
"Neuropathy",0.00417942487127456,48,2.11936405125249,2.23683753786119e-06,3.54580172668367e-05,96132,21,53,1.30932237776425,0.0928353746123729,0.427242369183824
"MHC I",0.000326103382388449,11,6.22469721005055,2.60935198992396e-06,3.98858089888376e-05,42655,5,8,2.06530017921147,0.0599889580289983,0.320940925455141
"SH3-binding",0.0074895856234318,71,1.74936892468562,8.96395930394256e-06,0.000132295675244394,168150,22,54,1.34626974644896,0.0655913246692754,0.342354719005486
"Tight junction",0.00965281938730635,86,1.64408822905553,1.09255143403431e-05,0.000155870671255561,157587,41,92,1.47264882343774,0.00257113083353544,0.0524020950834842
"Neuronal ceroid lipofuscinosis",0.000805947772764237,16,3.66348090468678,1.40423174773696e-05,0.000193874576784329,430329,2,12,0.550746714456392,0.917931974214955,1
"Coiled coil",0.178235135133729,1083,1.1212849314826,2.23089365183338e-05,0.000298382025932714,134551,616,1956,1.04067477332864,0.11009818950549,0.453402200441059
"Mitochondrion",0.0276944495182441,202,1.34598271058299,2.43441350817886e-05,0.000315736055000167,148413,119,424,0.927436684249679,0.853149647386718,1
"Hydrolase",0.0799940962646069,517,1.19265121725813,2.54561150764276e-05,0.000320447566256207,134724,312,938,1.09914482885114,0.0225202170586449,0.186446896172885
"Protease",0.0358090385379247,252,1.2986398613571,2.75665036100214e-05,0.000337098958431119,126780,146,437,1.10401400884165,0.0820967786792861,0.403878405456718
"Magnesium",0.0519747268131773,349,1.23912197980624,3.74113262948672e-05,0.000444779101505643,118028,214,587,1.20469979789098,0.000626930486942068,0.0206404806470158
"Cell junction",0.0114258109578952,94,1.51817441524633,8.03757452999543e-05,0.000929751864550823,150291,47,117,1.32744079894618,0.0140332720377617,0.127792349620468
"Immunity",0.0223352146772609,164,1.35498524474455,9.8766294809538e-05,0.00111242037311795,78800,111,388,0.945353896463807,0.779231292514778,1
"S-nitrosylation",0.00527357372565027,50,1.74962844772104,0.000171251077896728,0.0018793708035846,237213,19,58,1.08250216289705,0.386492558306248,0.823537481403882
"Ubiquinone",0.000281285050907446,8,5.2483668544976,0.000188135654934918,0.00201305150780362,98172,4,8,1.65224014336918,0.198841725526204,0.593737492535608
"Parkinson disease",0.00191514624082429,24,2.31254476506125,0.000201988545394549,0.00210856335192359,320949,7,22,1.05142554578038,0.516664828716562,0.925240781132589
"Electron transport",0.0029119612960361,32,2.02789390072993,0.000213183545460405,0.0021219199408617,149580,14,52,0.889667769506479,0.746794092981811,1
"Respiratory chain",0.0029119612960361,32,2.02789390072993,0.000213183545460405,0.0021219199408617,149580,14,52,0.889667769506479,0.746794092981811,1
"mRNA processing",0.021044364375314,153,1.34164144888447,0.000252493951863886,0.00245607753176689,130181,73,273,0.883615607809156,0.911506520071507,1
"Glycolysis",0.00148267827522511,20,2.48922366118869,0.000263662503439122,0.0025077233660432,153852,11,29,1.25342355703868,0.238709084981209,0.659145086270694
"Chaperone",0.0104619278619272,84,1.48165951361777,0.000383742794227926,0.00357047643325114,116245,50,195,0.847302637625218,0.933757998648371,1
"Citrullination",0.0023865094871111,27,2.08776420841695,0.000410891636376309,0.00374173660359703,125214,8,63,0.419616544347727,0.999704345609644,1
"rRNA-binding",0.000882954326252424,14,2.92597523384914,0.000455001078189521,0.00405709294718989,51482,5,24,0.68843339307049,0.894124304412663,1
"Alternative initiation",0.0100781151863531,81,1.48315503388516,0.000467180365639308,0.00408067747946171,116927,40,123,1.07462773552467,0.323274327261798,0.777311303753088
"Tumor suppressor",0.0177931203102565,128,1.3275127573862,0.00110590325508197,0.0094665318635017,194939,61,171,1.17879121339789,0.0731396068538311,0.372663711112378
"Nemaline myopathy",0.000572877574318286,10,3.22120991471229,0.00140992059101164,0.0118322747637839,89025,4,11,1.20162919517758,0.438127686679384,0.852357499539892
"Lipid metabolism",0.016649373252159,120,1.33003847846664,0.00144906101113129,0.0119268867839268,132791,64,205,1.03164262610368,0.407904556725815,0.834855164594141
"Disease variant",0.310382411975282,1783,1.06007132863619,0.00165045241248318,0.0133281817460906,147355,1080,3386,1.05399843758931,0.0118103336717734,0.117554018872535
"Fanconi anemia",0.00161214587659839,19,2.1748540273463,0.00174080908626695,0.0137975238689306,206421,7,19,1.21744010564045,0.343801347027365,0.812678534757659
"Mitochondrion inner membrane",0.0172799242025964,123,1.31354249464864,0.00192947711118829,0.0150148400652471,127644,78,288,0.894963410991637,0.894933240510646,1
"Mitochondrion outer membrane",0.0101626153459994,78,1.41634796791627,0.00196928576951727,0.015050969809882,183305,39,132,0.976323721081786,0.603825050639425,0.978928491188159
"Ribonucleoprotein",0.00833834944191638,66,1.46064505596559,0.00207636317301918,0.0155909375096879,90687,36,162,0.734328952608522,0.991397551885025,1
"Endocytosis",0.0128950199703643,95,1.35951009011531,0.00230858096880127,0.0170357354249473,116721,49,121,1.33817796735685,0.0104112065823525,0.114256318390945
"Ubl conjugation pathway",0.0458170592107086,293,1.18010665361641,0.00250250151569764,0.0181537398087897,130201,170,594,0.945726681389764,0.823917821709089,1
"Limb-girdle muscular dystrophy",0.00453630192372585,40,1.62719232832256,0.00254820806953249,0.0181772175626651,218922,18,39,1.52514474772539,0.0262895601689818,0.205306437037836
"Erythrocyte maturation",0.000638074668883593,10,2.89207362758832,0.0030359161054998,0.0213011818549822,427477,2,8,0.826120071684588,0.749902652097217,1
"Ribosomal protein",0.00807379521364687,63,1.43993758857109,0.00349822297642222,0.0241490231275598,93547,33,156,0.699024676040805,0.996015382584356,1
"Initiation factor",0.00251789629335372,25,1.8322427805917,0.00362761197801598,0.0243752456192285,108794,15,43,1.15272568142036,0.304961816526451,0.745849471276119
"Mast cell degranulation",0.000449691106007951,8,3.28289156295257,0.00364489654119304,0.0243752456192285,143312,5,7,2.36034306195597,0.0298768301679054,0.228344344854706
"Transit peptide",0.03606933060763,233,1.1920615704672,0.00422792896647839,0.0278392861177346,121193,144,521,0.91333044393536,0.915589146069998,1
"GTPase activation",0.0199416030437373,136,1.25851875039219,0.0049291509009981,0.0319647967519271,133303,68,178,1.26238572751802,0.0139308334884021,0.127792349620468
"Parkinsonism",0.00329184159702063,30,1.68175673214098,0.00520244342138043,0.0332335191694153,276895,11,37,0.98241305821951,0.589636413373451,0.959560398949951
"Kelch repeat",0.00612099555192091,49,1.47725294727313,0.00580039357618489,0.036508359567752,93542,21,66,1.05142554578038,0.436994031941948,0.852357499539892
"Dyskeratosis congenita",0.000221642403705026,5,4.16291939507725,0.00776584223949928,0.0481707315725462,20418,5,12,1.37686678614098,0.283245371071085,0.721774599855301
"Chromosome",0.00442118663702767,37,1.54434285930502,0.00787998555970826,0.0481804831365019,147742,20,89,0.742579839716483,0.960393099675058,1
"Notch signaling pathway",0.0051921551777545,42,1.49273417460831,0.00847887098872957,0.0511120673686797,160280,17,43,1.30642243894307,0.124371014970832,0.48040076633775
"Protein biosynthesis",0.00299819091685671,27,1.66182515670538,0.00887412679529997,0.0527517537276165,102136,17,58,0.96855456680262,0.611583860368068,0.98776563108503
"Congenital stationary night blindness",0.000430205916003647,7,3.00263477921657,0.0100061405696688,0.0586661392303867,113761,3,12,0.826120071684588,0.753497556202166,1
"Gluconeogenesis",0.000335620679427678,6,3.29900814000594,0.01085931392815,0.0621190377440318,39406,5,11,1.50203649397198,0.216047752659019,0.616456254253735
"Spliceosome",0.00838995537337858,62,1.3636813080827,0.0110304833377253,0.0621190377440318,98723,34,137,0.820089998168642,0.933522812504749,1
"mRNA splicing",0.00838995537337858,62,1.3636813080827,0.0110304833377253,0.0621190377440318,98723,34,137,0.820089998168642,0.933522812504749,1
"Amyloidosis",0.00194717519422322,19,1.80065048219169,0.0119788674384134,0.0665838345927392,144598,13,27,1.59104606398513,0.0383618727094159,0.259779033914146
