"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.237583776476105,1602,1.24315719987972,0,0,119005,977,3192,1.01070318839721,0.337753870231128,0.803103646994017
"Phosphoprotein",0.589068588116244,3562,1.11482928762904,0,0,138378,2472,7610,1.07264438662746,2.90558803683894e-08,6.21795839883532e-06
"Alternative splicing",0.704022852437487,4135,1.08285193404617,0,0,140143,3147,9586,1.08405489036961,2.66453525910038e-15,1.14042109089496e-12
"Reference proteome",0.921683754987468,5316,1.06336744059089,0,0,136312,5235,17194,1.00538341863441,0.0386536311553658,0.251730494903198
"Methylation",0.0773194691395743,583,1.39014470654777,1.77635683940025e-15,1.52056145452661e-13,134000,287,922,1.02788121779612,0.295022612265346,0.738419169880516
"Isopeptide bond",0.14186804007202,971,1.26187105954532,1.84297022087776e-14,1.3146520908928e-12,134176,518,1671,1.02363532466018,0.260568248915421,0.698005276619575
"Transcription",0.203177552257734,1330,1.20685817380292,3.19744231092045e-14,1.95500758439136e-12,154790,747,2170,1.13671822389183,5.39169953972518e-06,0.000384607900500396
"Zinc-finger",0.132741275102199,913,1.26807549929341,4.72955008490317e-14,2.24916381815395e-12,149705,532,1573,1.1167986090492,0.000852230949956123,0.0240532555138294
"Metal-binding",0.15099973837791,1022,1.24782884349764,4.72955008490317e-14,2.24916381815395e-12,147988,610,1802,1.11780745844318,0.000319898325487511,0.0124469530280595
"Zinc",0.142151049867719,964,1.25027999254814,2.02282635086704e-13,8.65769678171091e-12,150115,565,1656,1.12662677958418,0.000232856965490802,0.00996627812300632
"Direct protein sequencing",0.185328031994627,1197,1.19078500069737,3.13419290520756e-11,1.21948596675349e-09,116617,759,2657,0.943283366206798,0.982706594325489,1
"Ubl conjugation",0.204956298177743,1306,1.17479537372227,8.14601719412167e-11,2.90541279923673e-09,137327,755,2374,1.0501665759433,0.0447810847084507,0.273804346503098
"SH3 domain",0.0233847320414615,201,1.58468876436943,4.60864568729846e-10,1.51730796474134e-08,128483,91,208,1.44467451647564,2.54411334189575e-05,0.00120986723370153
"3D-structure",0.560769595957331,3258,1.07114173297631,1.52836354683217e-09,4.67242570031548e-08,137816,2289,7306,1.03456570903375,0.00643347783798043,0.0778317268017669
"Guanine-nucleotide releasing factor",0.0164462495428492,148,1.65910991573634,5.71408542704432e-09,1.63041904184998e-07,114146,65,152,1.41208787324687,0.000720402258583164,0.022023726190971
"Adaptive immunity",0.000227239661308854,11,8.9246022773448,8.04585135183444e-08,2.02566139916773e-06,28901,8,11,2.40153685855692,0.00456819463142022,0.0674202518016501
"MHC II",0.000227239661308854,11,8.9246022773448,8.04585135183444e-08,2.02566139916773e-06,28901,8,11,2.40153685855692,0.00456819463142022,0.0674202518016501
"Protein phosphatase inhibitor",0.00242538481387287,36,2.73654230191812,1.48202585981139e-07,3.52392815555152e-06,211034,11,27,1.34530536983975,0.164495234426627,0.563231682676771
"Actin-binding",0.0247769116441273,196,1.45844218740249,2.62381992577332e-07,5.91049962226832e-06,120464,99,247,1.32351904806097,0.000616548089277691,0.0215113638900053
"Translation regulation",0.0101916562897001,96,1.73662793771165,3.74907128675162e-07,7.79386197726138e-06,147066,40,114,1.15863620368974,0.154480257317527,0.548674443654142
"MHC I",0.000326103382388449,12,6.78431902278036,3.8240911570675e-07,7.79386197726138e-06,44615,5,8,2.06382073782235,0.0601618530085635,0.321865913595815
"Repressor",0.0722488823481419,488,1.24528572001142,6.1321713973328e-07,1.19298607184474e-05,174191,229,566,1.33601398999666,1.12366349780402e-07,1.60309325686706e-05
"Cytoskeleton",0.116366575621111,747,1.18351200250553,9.26235976361767e-07,1.72360433862103e-05,134785,423,1265,1.10418488170606,0.00654659384313927,0.0778317268017669
"Serine protease",0.00784808293466315,77,1.80887043497454,1.196329189046e-06,2.13345372046536e-05,94771,49,130,1.24464266034825,0.0420618260105047,0.260905239601391
"Bromodomain",0.00361609252949171,44,2.24333153234342,1.4115783667501e-06,2.41662216387617e-05,322794,13,33,1.30083246505166,0.170198545876134,0.566233943525025
"Cytoplasm",0.116823767952049,747,1.17888030280432,1.57066350725543e-06,2.58555377348202e-05,134785,423,1273,1.09724577797185,0.010079056825296,0.113522008453334
"Charcot-Marie-Tooth disease",0.00417942487127456,48,2.1174103602023,2.29179039057392e-06,3.50316531130585e-05,96132,21,53,1.30838446775153,0.0934248580355997,0.425381268502518
"Neuropathy",0.00417942487127456,48,2.1174103602023,2.29179039057392e-06,3.50316531130585e-05,96132,21,53,1.30838446775153,0.0934248580355997,0.425381268502518
"SH3-binding",0.0074895856234318,71,1.74775630583912,9.23169457545114e-06,0.000136247078561831,168150,22,54,1.34530536983975,0.0660498368260691,0.344747928799483
