"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Ubl conjugation",0.188924436156917,1395,1.29021571381722,0,0,157465,789,2314,1.12681219993817,1.11592521492287e-05,0.000592835270427777
"Direct protein sequencing",0.171234568085643,1263,1.28880781830921,0,0,121709,764,2549,0.990515816994213,0.64117464087993,1
"Acetylation",0.216374459565546,1589,1.28319942148417,0,0,142686,919,3103,0.978749667733839,0.809918635060543,1
"Transcription",0.187621735086609,1352,1.25912775668544,0,0,168150,744,2155,1.14094196148831,3.07599527837876e-06,0.000186756856187282
"Phosphoprotein",0.538892110673773,3540,1.14783031478704,0,0,155550,2407,7422,1.07174886459077,6.66330797205461e-08,9.43968629374403e-06
"Reference proteome",0.869853986382269,5480,1.10080515450737,0,0,160138,5077,16709,1.00414075984226,0.10763641567874,0.579056666626133
"Alternative splicing",0.648817179116284,4078,1.098249805709,0,0,161986,3002,9354,1.06059900210535,1.51798750236409e-08,3.2257234425237e-06
"Metal-binding",0.140486316897135,1026,1.27611433725191,2.22044604925031e-16,1.17961196366423e-14,163822,588,1760,1.10408510285335,0.0014499105641248,0.0342339994307245
"Zinc-finger",0.12347582040206,915,1.29483797457729,4.44089209850063e-16,1.88737914186277e-14,165020,518,1536,1.11449066681873,0.00119929198528057,0.0339799395829495
"3D-structure",0.516453452789724,3259,1.10262904748032,4.44089209850063e-16,1.88737914186277e-14,153398,2221,7092,1.03494607885517,0.00682312643838379,0.0935428624617132
"Zinc",0.131844068564417,961,1.2736175807515,3.77475828372553e-15,1.45842933689396e-13,166177,547,1616,1.11862330165498,0.00060710822223542,0.0215017495375044
"Methylation",0.069063720557438,546,1.38139832831283,4.9515946898282e-14,1.75368978598082e-12,152725,279,901,1.02333376540259,0.330106564965776,0.871751422407276
"Isopeptide bond",0.133313809194214,950,1.24515874086688,1.01252339845814e-12,3.31017264880547e-11,153547,538,1639,1.08477886195517,0.00991536673750715,0.117056412873348
"Charcot-Marie-Tooth disease",0.004313463931223,61,2.47104081156017,4.79510209316913e-10,1.35861225973125e-08,120073,27,55,1.62232913072329,0.00257054570810178,0.0496582693610571
"Neuropathy",0.004313463931223,61,2.47104081156017,4.79510209316913e-10,1.35861225973125e-08,120073,27,55,1.62232913072329,0.00257054570810178,0.0496582693610571
"Cytoskeleton",0.1051286910744,736,1.22329953669244,1.06308505332109e-08,2.82381967288414e-07,147150,425,1242,1.13085058241358,0.0010135198805401,0.0323813951792423
"Cytoplasm",0.105524976535361,738,1.22201729278673,1.18927552250625e-08,2.97318880626563e-07,146833,427,1249,1.12980457358588,0.00106668125296328,0.0323813951792423
"Magnesium",0.0513182099784145,389,1.32450729925004,2.77466989384578e-08,6.55130391602476e-07,146991,203,582,1.15268580530263,0.00829955023745066,0.106888146997471
"SH3 domain",0.0204782584217324,179,1.52734189940112,4.89457865349152e-08,1.09483996196521e-06,143380,79,203,1.28608284491748,0.00502203381664357,0.0746814052773372
"Coiled coil",0.160157263212325,1062,1.15865497815898,1.50190333947364e-07,3.19154459638149e-06,164320,585,1876,1.03053067561048,0.185656238809611,0.692139486790218
"Diamond-Blackfan anemia",0.000944660766907933,21,3.88436175947981,2.79507413436519e-07,5.65669765288194e-06,156763,6,19,1.0436035343834,0.536106099632066,1
"Repressor",0.063362513896586,456,1.25750203712454,5.70333326788131e-07,1.10178029038616e-05,189275,223,561,1.31365067593062,7.42505060546961e-07,6.31129301464917e-05
"Translation regulation",0.0087736723482726,88,1.75257864092888,7.83688670180638e-07,1.44812036881205e-05,180883,31,107,0.957449348523092,0.649646372082334,1
"Ribonucleoprotein",0.00817006349923697,83,1.77512489402585,9.77897308906961e-07,1.73169315118941e-05,142223,44,158,0.920308602051187,0.77174052041242,1
"Ribosomal protein",0.00792474849226265,80,1.7639275899824,1.9045332368961e-06,3.23770650272337e-05,146032,42,152,0.913153092585478,0.785992608877881,1
"Mitochondrion",0.0266390280297064,212,1.39057283201177,2.15554587956746e-06,3.52348845698526e-05,204740,118,420,0.928475842891901,0.848769021682523,1
"Alternative initiation",0.00957885349960455,90,1.64174322359867,7.3681470584841e-06,0.00011598009258725,124824,45,121,1.22903722024492,0.0606029433204571,0.408829379542766
"Protein phosphatase inhibitor",0.00222521201329475,31,2.43425769766741,1.02774746018053e-05,0.00015599738234883,178904,10,24,1.37697688564477,0.159512960440562,0.658770137149678
"Transit peptide",0.0318913488619801,242,1.32592430546772,1.09690676579621e-05,0.000157831000904181,138212,147,507,0.958180365395413,0.750100376216964,1
"mRNA processing",0.0206626318657937,167,1.41223537869864,1.11410118285304e-05,0.000157831000904181,139993,78,276,0.933949539828626,0.785590504266671,1
"Disease variant",0.288621884198104,1798,1.0885206791112,1.23453165358223e-05,0.00016925030734595,164314,1075,3387,1.04889293326351,0.0200522700367272,0.203918182169253
"Mitochondrion outer membrane",0.0109987101549265,98,1.55689947571421,2.32440939278433e-05,0.000308710622479169,283434,46,136,1.11778123658222,0.206528334012711,0.737601192902538
"Dyskeratosis congenita",0.000329661134948604,10,5.3003982829796,2.856331040757e-05,0.000367860815855068,168152,4,10,1.32189781021898,0.357306172153433,0.871751422407276
"Nitration",0.00247839740430862,32,2.25608411062278,3.18356095734273e-05,0.000382223978246883,70708,21,39,1.77947782144862,0.00178174629848482,0.038029370943693
"Actin-binding",0.0237842672157012,185,1.35912126319889,3.19455299162552e-05,0.000382223978246883,145523,92,249,1.22103010582476,0.0134622425302542,0.14670392500918
"Glycolysis",0.00139672635238858,22,2.75224827214632,3.24727001199676e-05,0.000382223978246883,190700,10,29,1.13956707777498,0.375642747858917,0.896899819326067
"Ubl conjugation pathway",0.0462892495831056,331,1.2494650356746,3.32759698709051e-05,0.000382223978246883,164883,185,596,1.02580157252731,0.351484258368535,0.871751422407276
"Coated pit",0.00470732636561579,50,1.85597426004911,4.30185027089358e-05,0.000481127990823624,128363,20,49,1.34887531654998,0.075360556770995,0.471003479818718
