"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05332",0.00176303456158331,30,29.696536916094,0,0,33386,14,39,7.67880302219049,1.08538489307364e-09,2.01881590111697e-07
"hsa05320",0.00231989965459471,32,24.0727749702283,0,0,42874,14,50,5.98946635730858,4.17350352055479e-08,1.94067913705798e-06
"hsa05330",0.00217702410343762,29,23.2477078064553,0,0,34056,12,35,7.33404043752072,3.11355248250322e-08,1.94067913705798e-06
"hsa04612",0.00237000468803339,31,22.8274745251164,0,0,34718,15,70,4.58377527345045,6.39527475199131e-07,1.69931586267198e-05
"hsa04940",0.00311198960724659,30,16.8239703694678,0,0,36480,13,42,6.62100872831731,3.36504737408205e-08,1.94067913705798e-06
"hsa05150",0.00249473159942033,21,14.6906443435445,0,0,54366,12,92,2.79012407949158,0.00117256526766518,0.0167767030604403
"hsa05416",0.00627162048228579,32,8.90462401165812,0,0,54480,15,65,4.93637337140817,2.28713153971327e-07,8.50812932773337e-06
"hsa04145",0.0116272164527888,42,6.30403928721829,0,0,53176,23,147,3.34688353299557,3.39776495161814e-07,1.05330713500162e-05
"hsa05310",0.000767799857299826,13,29.548858155341,2.22044604925031e-15,4.58892183511731e-14,29332,8,28,6.1117003646006,2.97619834561669e-05,0.00069196611535588
"hsa05168",0.01035824036997,31,5.22301276164007,2.16715534406831e-13,4.03090893996705e-12,40531,14,172,1.74112394107808,0.0312071673790055,0.22591778731601
"hsa05169",0.0142764930220095,36,4.40074639016963,3.54716256367738e-13,5.99792942585447e-12,37721,18,197,1.95450316228344,0.00518982817183611,0.0536282244423065
"hsa05166",0.0191156882843588,41,3.743167787468,1.32693855903199e-12,2.05675476649958e-11,70837,20,215,1.98985593266066,0.00271028511295446,0.0336075354006353
"hsa04650",0.00818942277204174,23,4.9013974700245,9.15220454977828e-10,1.30946926635289e-08,45127,13,121,2.2982013767713,0.00432652692045865,0.0473372945414888
"hsa04672",0.00335914546335839,14,7.27351942320968,1.63043423206943e-08,2.16614833689225e-07,28834,9,46,4.18518611923736,0.00023676650269866,0.00376880693320547
"hsa04514",0.0224667433377765,37,2.87413377444854,1.91517109948691e-08,2.37481216336377e-07,55532,19,147,2.76481683160503,5.64706797409054e-05,0.00116706071464538
"hsa05322",0.00491438782257733,16,5.68193072614286,4.63045545240348e-08,5.38290446341905e-07,42217,10,130,1.64545779046939,0.083610473124742,0.398757641056462
"hsa05140",0.00592784082397216,17,5.00492721521567,1.05766107649785e-07,1.15720564840353e-06,38715,10,71,3.01281003888762,0.001643187360576,0.0218309177905098
"hsa05321",0.00630437285619692,17,4.7060052671539,2.47552782384197e-07,2.55804541797004e-06,44632,11,62,3.79516877479231,0.000124785708105479,0.00232101417076191
"hsa05203",0.0130519786395966,25,3.34278952308761,2.73684755969228e-07,2.67922971633034e-06,55020,12,196,1.3096500781287,0.207561426725838,0.551520362442941
"hsa05323",0.0067495656217181,16,4.13703825316341,2.85556366375062e-06,2.65567420728807e-05,33422,10,89,2.40347767147214,0.00854497504814655,0.0722438799525118
"hsa04658",0.00867387579369452,18,3.62163504673207,4.33541690247896e-06,3.83994068505279e-05,55035,13,89,3.12452097291379,0.000243148834400353,0.00376880693320547
"hsa05170",0.0149639685321481,24,2.79904469619424,9.3217489873787e-06,7.88111505296563e-05,51160,10,204,1.04857604294618,0.484970908328572,0.772864424713307
"hsa04144",0.0210204450601844,29,2.40769498930315,1.87604919927864e-05,0.000151715283072099,75609,16,245,1.39696008333728,0.112023088565677,0.421594573435347
"hsa04640",0.00634191997709353,14,3.85258878405485,2.54829561976422e-05,0.000197492910531727,28570,9,94,2.04806980303105,0.0315799057538508,0.22591778731601
"hsa05145",0.00956552205005276,17,3.10159881626127,5.42796841518367e-05,0.000403840850089665,42976,11,106,2.21981569846342,0.0106775111522857,0.0827507114302138
"hsa04659",0.00975509994609095,17,3.04132320850833,6.8675810032115e-05,0.000491296179460515,44250,12,104,2.46818668570409,0.00335858696015912,0.0390435734118497
"hsa05152",0.0118472948315049,19,2.79885102338703,7.77404460527986e-05,0.000535545295030391,36970,12,174,1.47523801904152,0.115598512070982,0.421594573435347
"hsa04218",0.0144736751777946,21,2.53212913855582,0.000132588371777986,0.000880765612525195,50546,9,153,1.25829125153542,0.287740827817623,0.660599245588515
"hsa05167",0.0162978496566174,22,2.35579638827856,0.000250321286972111,0.00160550894402802,53034,10,193,1.10833944435762,0.415585459528526,0.744223659488826
"hsa05164",0.0100727693482152,16,2.77214837389603,0.000309101394016187,0.00191642864290036,42265,10,161,1.32863051404361,0.221738430429006,0.580892226194297
"hsa05163",0.0190496494969208,24,2.19871849929297,0.000359292163256697,0.00215575297954018,76682,9,221,0.871124712601443,0.71058066804607,0.881120028377127
"hsa05165",0.0301702190833163,32,1.85104464055586,0.000801546078638582,0.00465898658208676,103097,19,324,1.25440763656154,0.184135029303561,0.543636753181942
"hsa04976",0.00793248767826394,13,2.86008752805386,0.000830287071999614,0.00467979986036146,154950,8,88,1.9446319341911,0.0533277665138093,0.309967642861517
"hsa04610",0.00487547621595036,9,3.22159427859312,0.00232583546569998,0.0127236881358881,168196,7,83,1.80405613171945,0.0930984709817643,0.403845311483338
"hsa00250",0.00304904984589434,6,3.43425155957405,0.00894788417855685,0.0475516130631878,91465,6,36,3.56515854601701,0.00600684726817513,0.0588038732568723
"hsa04978",0.00407028451557699,7,3.00136387021834,0.00988296172014913,0.0510619688874372,35437,5,55,1.9446319341911,0.113404118903856,0.421594573435347
"hsa00670",0.00318956357782659,6,3.28295828974097,0.0109766610360538,0.0551799716947568,62724,6,37,3.46880290963818,0.00689197896330551,0.0640954043587413
"hsa04981",0.00258998583671068,5,3.36913174069073,0.017686420592278,0.0865703744779922,109097,5,29,3.68809504760381,0.0102928551801769,0.0827507114302138
"hsa05171",0.0168148602293051,17,1.76441620464132,0.0190322629629216,0.0907692541308568,223842,12,217,1.18290974798721,0.316726292274951,0.686264669026383
"hsa01100",0.123794503250829,87,1.22648790330655,0.0266202695215982,0.122482793022998,141389,81,1480,1.17072098200288,0.0754951868032345,0.369529072247411
"hsa05130",0.0148868161336018,15,1.75846938903991,0.0271602211901776,0.122482793022998,85097,14,191,1.56792313018549,0.0645945133170466,0.343273699342019
"hsa04066",0.01103553901512,12,1.89772410285259,0.0276574048761609,0.122482793022998,104604,9,105,1.83351010938018,0.0572172612850999,0.322497290879654
"hsa04666",0.00993474550343197,11,1.93233009061494,0.0304791443224015,0.131840019627132,132872,8,94,1.82050649158316,0.0727963290991673,0.365949113849868
"hsa00970",0.00304029116083655,5,2.87012099459592,0.0321360532877033,0.135847861625291,92860,4,44,1.9446319341911,0.148801508958259,0.514809215940967
"hsa04918",0.00678133843926869,8,2.05882742908019,0.0440417159070088,0.182039092415636,229515,4,73,1.17210691923847,0.446713978708079,0.744223659488826
"hsa01230",0.00587958243567242,7,2.07776742995267,0.0551177835661725,0.222867559637132,250088,6,67,1.91560757696437,0.092512877301943,0.403845311483338
"hsa00600",0.00477018333995778,6,2.19513663149357,0.0589990677970391,0.233485672558495,180195,5,52,2.05682223808674,0.0946430087168484,0.403845311483338
"hsa04142",0.0074670307940325,8,1.86976670777896,0.0687407170579337,0.266370278599493,157744,7,128,1.16981764791183,0.390970974195642,0.739800129911282
"hsa04814",0.0170636338046064,15,1.53414042817406,0.0706612276610593,0.268224251937899,194529,15,192,1.67116806844548,0.0361157346180497,0.248797282924343
"hsa04611",0.01323850031979,12,1.58193208226592,0.0829703312666251,0.307637316787533,192723,7,122,1.22734966338291,0.344802480539867,0.720598442476576
"hsa04927",0.007839606144158,8,1.78090650574918,0.0851271678930842,0.307637316787533,174631,5,62,1.72507671581468,0.163299697529661,0.514809215940967
"hsa04913",0.00528064575977468,6,1.98294009195733,0.0860061315750092,0.307637316787533,219700,3,50,1.28345707656613,0.416081952687389,0.744223659488826
"hsa01522",0.0094467998191559,9,1.66265895153963,0.0974060358538509,0.341840050355024,224366,6,94,1.36537986868737,0.276344491492736,0.64250094272061
"hsa04935",0.0136987492293712,12,1.52878252067431,0.0998787890841799,0.344026940178842,150928,8,119,1.4380471446119,0.193376317508193,0.548303701743539
"hsa00270",0.00430525432776508,5,2.02682648365891,0.104011830359674,0.351749099034535,195269,5,51,2.09715208589236,0.0887702331673278,0.403845311483338
"hsa04540",0.0110519854036147,10,1.57908342650316,0.107542496082021,0.357194719129569,152370,8,88,1.9446319341911,0.0533277665138093,0.309967642861517
"hsa05144",0.00572728609191754,6,1.82830122686884,0.114347810429978,0.373134960350453,219719,3,48,1.33693445475638,0.390644882315244,0.739800129911282
"hsa00983",0.00448908222796693,5,1.94382794684368,0.118232756211744,0.379160218196281,23522,5,77,1.3890228101365,0.291417060746346,0.660599245588515
"hsa03320",0.00459129458060494,5,1.90055404575057,0.126516419711702,0.398848374006383,88754,5,74,1.44533454568257,0.264188779916723,0.638170299539096
"hsa04727",0.0101854934289977,9,1.542076129371,0.1352455504793,0.419261206485829,227433,6,84,1.52792509115015,0.199140106496472,0.548303701743539
"hsa04740",0.0146085100224263,12,1.4335759324403,0.13892817053249,0.423617044574479,44369,14,426,0.702989009073778,0.938230566277207,0.974921147081343
"hsa04934",0.0176485065907574,14,1.38441230975994,0.141940640409542,0.425821921228627,235957,11,153,1.5379115296544,0.103631496519248,0.410116135161277
"hsa00240",0.00488652488609989,5,1.78572783190427,0.151862102465385,0.448354778707327,77582,5,54,1.98064363667612,0.106963631875265,0.414484073516653
"hsa05207",0.0179964214281071,14,1.35764823416306,0.157378667770568,0.457381753208214,274211,10,191,1.11994509298964,0.402903267269845,0.742368841589529
"hsa05414",0.0135956538248141,11,1.41201062679643,0.162435632229708,0.457887816211775,263102,8,101,1.69433277434472,0.100307233197654,0.410116135161277
"hsa00513",0.00500377850805325,5,1.74388284300703,0.162476321881597,0.457887816211775,44639,4,41,2.08692207571728,0.12339171234199,0.441362663377119
"hsa04210",0.0107979704761873,9,1.45460726322235,0.171605940453961,0.476398580961744,80193,9,131,1.46960733957953,0.160215920085581,0.514809215940967
"hsa05230",0.00651919174285418,6,1.60621202773478,0.174415032676712,0.477076412909829,112070,5,67,1.5963396474703,0.203402986130668,0.548303701743539
"hsa05120",0.00516135647458467,5,1.69064150739628,0.177192020286392,0.477648054685056,83196,4,68,1.25829125153542,0.39376458527536,0.739800129911282
"hsa04062",0.0154233173382736,12,1.35784072373288,0.179946501676848,0.478143561598481,161900,8,187,0.915120910207576,0.651301901999584,0.850981117656718
"hsa04148",0.015948146221913,12,1.31315628070854,0.209108666619409,0.5478058026931,103256,12,156,1.64545779046939,0.0622189892992149,0.340374470872176
"hsa04662",0.00699641672696217,6,1.49665244326123,0.215722921186384,0.557284213064825,88106,5,79,1.35385767570266,0.309834014956124,0.686061033117131
"hsa03010",0.00711363261785572,6,1.47199114025065,0.22634912636743,0.576725171292356,403118,6,126,1.01861672743343,0.540525553715397,0.810788330573095
"hsa04613",0.0103380821884661,8,1.3505024752288,0.24482391439504,0.59842596545331,120755,5,177,0.604264160341867,0.921043299068053,0.967876009190158
"hsa04916",0.0134241222593262,10,1.3000482745662,0.244919840672009,0.59842596545331,267371,7,101,1.48254117755163,0.193581944360078,0.548303701743539
"hsa04974",0.0103941447385701,8,1.34321831529189,0.249215261281414,0.59842596545331,33699,5,98,1.09137506510725,0.486156654255145,0.772864424713307
"hsa04926",0.0135115385945377,10,1.29163728162373,0.250909286100266,0.59842596545331,141829,7,126,1.18838618200567,0.37554301988798,0.735273702096466
"hsa03083",0.00737851590450263,6,1.41914774244666,0.250952824222356,0.59842596545331,307521,5,74,1.44533454568257,0.264188779916723,0.638170299539096
"hsa04082",0.0280654191215356,19,1.1814829174627,0.262139741037402,0.61029863105726,224853,15,193,1.66250916653643,0.0375433360254092,0.249395017883075
"hsa00562",0.00602084317002924,5,1.4492992499519,0.264826348395643,0.61029863105726,156857,3,69,0.930041359830526,0.631962705543738,0.839607594508109
"hsa04914",0.0106027971365385,8,1.31678512800447,0.265775210299129,0.61029863105726,221980,4,105,0.814893381946746,0.729338473150341,0.892479973723444
"hsa04970",0.0107462843662229,8,1.29920306487752,0.277346135851496,0.626547408730762,161055,6,90,1.42606341840681,0.244548073969084,0.614674888624994
"hsa04923",0.00767778452179355,6,1.36383147492079,0.27959008847895,0.626547408730762,236394,3,57,1.12583954084748,0.501859483796036,0.783257919330518
"hsa00564",0.0092743677874136,7,1.31722238826252,0.284557972350856,0.626547408730762,281078,7,99,1.51249150437085,0.180743489186331,0.542230467558994
"hsa04330",0.00624743523574418,5,1.39673372530159,0.289447228846818,0.626547408730762,239502,5,62,1.72507671581468,0.163299697529661,0.514809215940967
