"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Direct protein sequencing",0.185328031994627,7,1.88854322917619,0.0614760978640123,0.737713174368148,56240,8,2657,1.68237132331976,0.092203550907051,0.553221305442306
"3D-structure",0.560769595957331,14,1.24828450944274,0.151530762640181,0.866804634682688,138225,18,7306,1.37662693178707,0.0588764592041892,0.553221305442306
"Disulfide bond",0.282012565965221,6,1.06378238492038,0.51290965936083,0.866804634682688,167274,5,3158,0.884670005949297,0.689154084049513,0.783683341304146
"Signal",0.284448444367306,6,1.05467266895161,0.522663928003018,0.866804634682688,44647,6,2999,1.11788778077541,0.453709241975092,0.783683341304146
"Reference proteome",0.921683754987468,19,1.03072230020254,0.528334064733596,0.866804634682688,133376,31,17194,1.00741449624781,0.613062846483089,0.783683341304146
"Transmembrane helix",0.401049513445975,8,0.997383082610032,0.587874137774215,0.866804634682688,202554,8,4572,0.977703544632679,0.595808860961063,0.783683341304146
"Transmembrane",0.401940792912896,8,0.995171445777297,0.591065265737846,0.866804634682688,202554,8,4585,0.974931429893262,0.599440262172506,0.783683341304146
"Disease variant",0.310382411975282,6,0.966549612430652,0.622683935595001,0.866804634682688,191340,6,3386,0.990119744402084,0.581343709798405,0.783683341304146
"Membrane",0.431081415905996,8,0.927898965812125,0.690305777316762,0.866804634682688,202554,8,4951,0.902860150688872,0.695521554483155,0.783683341304146
"Phosphoprotein",0.589068588116244,11,0.933677352850914,0.722337195568907,0.866804634682688,175995,15,7610,1.10136184446303,0.374388662738224,0.783683341304146
"Repeat",0.408227532666207,6,0.734884288770642,0.889079317680685,0.894384125086774,125714,6,4412,0.759869776642215,0.835984506542413,0.835984506542413
"Alternative splicing",0.704022852437487,12,0.85224506267469,0.894384125086774,0.894384125086774,178463,16,9586,0.932622701034969,0.718376396195467,0.783683341304146
