"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-202430",0.000534892555448646,13,42.4152642319245,0,0,28026,7,17,8.80803876074792,6.13378333924608e-06,0.00199347958525498
"R-HSA-1236977",0.000703950922525537,16,39.6664174671516,0,0,38976,4,11,7.77852773676439,0.00120202926870938,0.0325549593608791
"R-HSA-877300",0.00616867527637063,31,8.77031440570808,0,0,39429,13,93,2.99013297407879,0.000378075097961506,0.0186461128390333
"R-HSA-389948",0.00064157821546644,13,35.3621873812366,2.22044604925031e-16,1.80411241501588e-14,28026,7,21,7.13031709203403,3.11120306325519e-05,0.00310480744073749
"R-HSA-198933",0.00556686088156484,24,7.5239560759695,6.47260023356466e-14,4.20719015181703e-12,50364,12,123,2.08692207571728,0.0125542490795896,0.152527374303101
"R-HSA-202427",0.00110896010934566,13,20.4584537206036,2.16715534406831e-13,1.02628223379903e-11,28026,7,20,7.48683294663573,2.16110480744103e-05,0.00310480744073749
"R-HSA-202433",0.00172743131586438,15,15.1542988892182,2.21045404202869e-13,1.02628223379903e-11,37886,8,30,5.70425367362722,5.15715745977863e-05,0.00335215234885611
"R-HSA-983170",0.00212360055072864,16,13.1489941268397,2.93987056920741e-13,1.19432241874051e-11,38976,4,28,3.0558501823003,0.0397786459930984,0.204412046105964
"R-HSA-913531",0.0152209642133008,36,4.12767708079812,2.16537898722891e-12,7.81942412054882e-11,47314,19,261,1.55719568676605,0.0378784904053314,0.204412046105964
"R-HSA-9705671",0.00823586462749067,24,5.08566114772194,1.9174750676143e-10,6.23179396974649e-09,74028,10,120,1.78257927300851,0.0546035274049397,0.234143162479682
"R-HSA-1236974",0.00450128350943402,18,6.9788122653476,2.86379142622195e-10,7.92920636557189e-09,43713,5,87,1.22936501586794,0.384567851732029,0.640946419553381
