"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0042759","long-chain fatty acid biosynthetic process",0.00175235246362419,46,5.09717024420894,0,0,137458,7,26,0.93017540825298,0.661751567175382,0.835418995649536
"GO:0090205","positive regulation of cholesterol metabolic process",0.00207746568281643,49,4.57988942272066,0,0,142546,10,18,1.91940957258551,0.0161723185194578,0.112537817278041
"GO:0032480","negative regulation of type I interferon production",0.00274337280855186,57,4.03443568826907,0,0,170463,10,44,0.785213006966801,0.860341072840316,0.944659747536558
"GO:0009895","negative regulation of catabolic process",0.0290294420233702,264,1.76586707664107,0,0,147838,112,334,1.15854182584802,0.0368489638770241,0.19160447515037
"GO:0009894","regulation of catabolic process",0.0819348324504991,596,1.41244147182119,0,0,134355,315,982,1.10825379598369,0.0148935147764584,0.107002794230142
"GO:0006366","transcription by RNA polymerase II",0.230417579236328,1527,1.28681524800163,0,0,152438,866,2555,1.17102764843299,2.4886692706616e-09,2.12089925621939e-07
"GO:0006357","regulation of transcription by RNA polymerase II",0.225386791638714,1490,1.28366168330433,0,0,152430,833,2433,1.18288644189672,6.2528804356532e-10,6.25559907932087e-08
"GO:0045893","positive regulation of DNA-templated transcription",0.168983739758869,1106,1.2708754218592,0,0,155184,580,1627,1.23163097343533,5.06278574619046e-10,5.21618059790339e-08
"GO:1902680","positive regulation of RNA biosynthetic process",0.169495053922966,1108,1.26933279814609,0,0,155812,582,1630,1.23360335474882,3.52212592424905e-10,3.85924369128432e-08
"GO:0006351","DNA-templated transcription",0.284479639659822,1858,1.26819866427186,0,0,148010,1079,3300,1.12965977935624,1.11571122785037e-07,6.21109242407347e-06
"GO:0009056","catabolic process",0.18672443262797,1219,1.26763822920706,0,0,120683,762,2552,1.03160743329087,0.14140656541348,0.40021710580125
"GO:0006355","regulation of DNA-templated transcription",0.279479155350513,1819,1.26379329811617,0,0,149006,1048,3173,1.14112014425632,1.89696823804653e-08,1.27133706283837e-06
"GO:2001141","regulation of RNA biosynthetic process",0.280438424755728,1824,1.26293234456032,0,0,149173,1054,3191,1.14117951774028,1.68024312241499e-08,1.15987182740307e-06
"GO:0032774","RNA biosynthetic process",0.324437368767417,2110,1.26282844488789,0,0,147053,1249,4016,1.07450612576861,0.00037299669416635,0.00690293881992041
"GO:0051254","positive regulation of RNA metabolic process",0.178178900456248,1157,1.26086867524431,0,0,152499,617,1753,1.21602753640244,1.40588674035769e-09,1.32942961214919e-07
"GO:0141187","nucleic acid biosynthetic process",0.330908646385057,2145,1.25867020677445,0,0,146610,1279,4124,1.07149968913831,0.000497095066839259,0.00857861811597852
"GO:0034654","nucleobase-containing compound biosynthetic process",0.346558209926402,2245,1.25786178948023,0,0,144241,1355,4398,1.06444746419647,0.000982949615142115,0.0145295528765011
"GO:0016070","RNA metabolic process",0.33625710998841,2164,1.24962168018325,0,0,145746,1297,4206,1.06539552737949,0.00114510882726682,0.0163658100095711
"GO:0051252","regulation of RNA metabolic process",0.30008016983582,1921,1.2430335164831,0,0,148062,1127,3428,1.13585596818757,1.39354274786285e-08,9.81594447805844e-07
"GO:0090304","nucleic acid metabolic process",0.363542429109017,2318,1.2380868128151,0,0,146006,1438,4727,1.05102596523807,0.00507100790977433,0.0503671476275859
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.315662861412565,1994,1.22657592434789,0,0,146925,1197,3715,1.11320588562389,5.53735784336595e-07,2.49832556815393e-05
"GO:0006139","nucleobase-containing compound metabolic process",0.392975845179396,2482,1.2263902565126,0,0,142994,1585,5253,1.04246630698391,0.0107118685723071,0.0846041518931761
"GO:0031325","positive regulation of cellular metabolic process",0.275220850822214,1730,1.22055552511203,0,0,151428,995,2937,1.17046732873703,1.21201715330699e-10,1.41806006936918e-08
"GO:0010557","positive regulation of macromolecule biosynthetic process",0.237021833479224,1488,1.21901022616247,0,0,153213,832,2462,1.16754986836071,1.02946776658897e-08,7.64099761718414e-07
