"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0042759","long-chain fatty acid biosynthetic process",0.00182778541380659,45,4.7992120728728,0,0,138717,7,26,0.931222313608357,0.660414969590812,0.834236329068536
"GO:0006366","transcription by RNA polymerase II",0.239868839841331,1520,1.23524296233012,0,0,152661,866,2555,1.17234563115492,1.95624139109896e-09,1.66594482911119e-07
"GO:0006357","regulation of transcription by RNA polymerase II",0.234639633488438,1483,1.23203320924473,0,0,152659,833,2433,1.1842177716006,4.90498419658536e-10,5.04993746090236e-08
"GO:0006351","DNA-templated transcription",0.296160100392366,1850,1.21766497647267,0,0,148207,1079,3300,1.13093120285579,8.69527845281937e-08,4.99833589729567e-06
"GO:0006355","regulation of DNA-templated transcription",0.290962501783636,1811,1.21328844896185,0,0,149212,1048,3173,1.14240446630951,1.46583409854628e-08,1.00185313327187e-06
"GO:0032774","RNA biosynthetic process",0.337722414466446,2102,1.21326441817994,0,0,147222,1249,4016,1.07571547425006,0.000308417035076003,0.00590961307765075
"GO:2001141","regulation of RNA biosynthetic process",0.291963064548924,1816,1.21246878234902,0,0,149380,1054,3191,1.14246390661787,1.29597469422649e-08,9.0299327684589e-07
"GO:0141187","nucleic acid biosynthetic process",0.344472259080328,2136,1.20873091527743,0,0,146784,1279,4124,1.07270565389817,0.000411335550917657,0.00736985098761039
"GO:0034654","nucleobase-containing compound biosynthetic process",0.360795484325864,2235,1.20753316919674,0,0,144442,1354,4398,1.0648590374933,0.000927112101652972,0.0137531597359187
"GO:0016070","RNA metabolic process",0.350029872587051,2156,1.20067724899369,0,0,145904,1297,4206,1.06659462195167,0.000956935373361167,0.0141045730885584
"GO:0051252","regulation of RNA metabolic process",0.312426605696641,1913,1.19357467203955,0,0,148252,1127,3428,1.13713436545058,1.06084607764956e-08,7.54403736456355e-07
"GO:0090304","nucleic acid metabolic process",0.378453454156662,2309,1.18930732681494,0,0,145859,1438,4727,1.05220888697722,0.00428615545092714,0.043543299411628
"GO:0006139","nucleobase-containing compound metabolic process",0.409078897751027,2471,1.17746580403792,0,0,142919,1584,5253,1.04298114719879,0.00999345122251771,0.0800636777385914
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.32868008036173,1985,1.17725287983455,0,0,147113,1197,3715,1.11445879039105,4.2990852522351e-07,1.95099276775775e-05
"GO:0080090","regulation of primary metabolic process",0.432021349937345,2588,1.16772800898008,0,0,143136,1663,5173,1.11193257285903,9.95542093207291e-10,9.40719090266287e-08
"GO:0031323","regulation of cellular metabolic process",0.450439024499119,2675,1.15763170321786,0,0,143693,1719,5453,1.09035786551078,2.46029021711003e-07,1.19796661224115e-05
"GO:0010468","regulation of gene expression",0.393321652551836,2328,1.15376605037231,0,0,145853,1451,4623,1.08560591462529,1.07743492789858e-05,0.000367928026368535
"GO:0060255","regulation of macromolecule metabolic process",0.462443166983469,2731,1.15118724304336,0,0,143890,1778,5643,1.08980899505043,1.4931498637516e-07,7.92288289242963e-06
"GO:0010467","gene expression",0.457176327889196,2698,1.15037873538674,0,0,144357,1751,5890,1.02825192940417,0.0487400902425659,0.224417544923346
"GO:0031326","regulation of cellular biosynthetic process",0.407566333211242,2405,1.15026899421634,0,0,145693,1515,4827,1.08558545482356,6.10736412154367e-06,0.000221908519676416
