"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05203",0.0130519786395966,126,1.88181456520764,5.8490323695537e-11,1.98867100564826e-08,124750,61,196,1.07647127506039,0.269624021014126,0.58764209708207
"hsa04330",0.00624743523574418,67,2.09052648920286,4.25934355563484e-08,7.24088404457923e-06,131112,27,62,1.50626282062919,0.00977140702045309,0.0973162522637782
"hsa04612",0.00237000468803339,35,2.87873358235056,6.76613352013078e-08,7.66828465614822e-06,36896,29,70,1.43294209073613,0.0166739253613615,0.131840340066579
"hsa04658",0.00867387579369452,83,1.86529500961155,1.40827659977916e-07,1.19703510981228e-05,125971,40,89,1.55452842079084,0.000924754473880407,0.0196510325699586
"hsa04145",0.0116272164527888,101,1.69327794332676,5.70286251222463e-07,3.87794650831275e-05,91751,62,147,1.45882446019113,0.000386716815606314,0.0109569764421789
"hsa00980",0.00264851578044726,35,2.57601337931913,8.45272403182662e-07,4.78987695136842e-05,63029,16,73,0.758098791508956,0.929793025219943,0.977151739671255
"hsa05169",0.0142764930220095,117,1.59752241034959,1.25128311867506e-06,5.46516648519679e-05,144624,68,197,1.19390939119621,0.0495817066152506,0.264544823847078
"hsa05167",0.0162978496566174,130,1.55487571294409,1.28592152592866e-06,5.46516648519679e-05,101864,70,193,1.2544963810268,0.0157380032188059,0.127402883199857
"hsa00982",0.00249603513497715,33,2.57718669415709,1.68889034135589e-06,6.38025240067779e-05,65297,15,66,0.786096758240821,0.895991126655938,0.977151739671255
"hsa00983",0.00448908222796693,47,2.04090567003692,7.33837009625482e-06,0.000214165641445977,69689,24,77,1.07807555415884,0.37165490392971,0.698557890461748
"hsa05034",0.0116057405865807,96,1.61243051684571,7.4494533958136e-06,0.000214165641445977,137823,48,179,0.927506342684142,0.757554864481621,0.926032226865112
"hsa05110",0.00357043976111099,40,2.18384050057169,7.55878734515214e-06,0.000214165641445977,125556,19,49,1.34117732630475,0.0881838920943261,0.352735568377304
"hsa00051",0.00221885261122708,29,2.54772282480217,8.52589078093047e-06,0.000222984835808951,172586,17,33,1.78181931867919,0.0051654688577869,0.0649126167059597
"hsa05204",0.00272476734994053,33,2.36084322507464,9.99746804941637e-06,0.000242795652628683,74039,16,67,0.825988235524684,0.852546410957815,0.96621926575219
"hsa05320",0.00231989965459471,29,2.43675256871518,1.9001364088389e-05,0.000430697586003485,57266,19,50,1.31435377977865,0.105103154097627,0.375757520110547
"hsa05332",0.00176303456158331,24,2.65358528700536,2.59091116308063e-05,0.000526229800019953,35683,19,39,1.68506894843417,0.00695974206484473,0.078877076734907
"hsa04137",0.00775528121626066,68,1.70920438010538,2.73342403782628e-05,0.000526229800019953,140029,34,100,1.17600075032827,0.155095517373169,0.439437299223978
"hsa04744",0.00143010367136193,21,2.86242692291221,2.78592247069387e-05,0.000526229800019953,50596,12,27,1.53725588278205,0.0621219488873614,0.285425170563553
"hsa05330",0.00217702410343762,27,2.41759284448255,4.10196846982736e-05,0.000734036463021737,54539,18,35,1.77882466436209,0.00414384026226722,0.0563562275668342
