"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-74160",0.121306976469839,793,1.27429519047153,1.05271347194957e-12,1.66644542609617e-09,137505,466,1515,1.06390283372738,0.052547417567424,0.38157138536345
"R-HSA-416482",0.00764953302795976,87,2.21700648464402,2.79467560204694e-11,2.21198573902015e-08,105269,34,75,1.56800100043769,0.0018080793574502,0.0887959581951404
"R-HSA-162599",0.00811646940509426,89,2.1374968609325,1.00981001338596e-10,5.32843083729991e-08,126141,39,132,1.02192578571307,0.4688406858999,0.908980201002125
"R-HSA-350054",0.00329799429936074,49,2.89620176782276,1.55727541972794e-10,6.16291747357334e-08,159177,11,24,1.58529512911899,0.0583619714722894,0.401451449264164
"R-HSA-73857",0.108168003067065,699,1.25968221727307,2.18592366429959e-10,6.58660070222568e-08,142517,403,1328,1.0496285931571,0.122095578669798,0.539702710850543
"R-HSA-1643685",0.144659908483851,903,1.21680840018308,2.8818591957247e-10,6.58660070222568e-08,130674,534,1747,1.05724839333866,0.0580225951803299,0.401451449264164
"R-HSA-2644602",0.0062932657754644,73,2.2611502518543,4.57691773370072e-10,6.58660070222568e-08,158191,22,54,1.40915122588355,0.0414133469301163,0.34071497018064
"R-HSA-2644603",0.0062932657754644,73,2.2611502518543,4.57691773370072e-10,6.58660070222568e-08,158191,22,54,1.40915122588355,0.0414133469301163,0.34071497018064
"R-HSA-2644606",0.0062932657754644,73,2.2611502518543,4.57691773370072e-10,6.58660070222568e-08,158191,22,54,1.40915122588355,0.0414133469301163,0.34071497018064
"R-HSA-2894858",0.0062932657754644,73,2.2611502518543,4.57691773370072e-10,6.58660070222568e-08,158191,22,54,1.40915122588355,0.0414133469301163,0.34071497018064
"R-HSA-2894862",0.0062932657754644,73,2.2611502518543,4.57691773370072e-10,6.58660070222568e-08,158191,22,54,1.40915122588355,0.0414133469301163,0.34071497018064
"R-HSA-212436",0.101482823684925,652,1.25238451152873,2.39301467530595e-09,2.91704454155819e-07,142779,374,1208,1.07086161039826,0.056360220345142,0.396525461361599
