"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0006366","transcription by RNA polymerase II",0.230417579236328,1437,1.28933291898721,0,0,151939,835,2555,1.17147216904615,5.62818014415711e-09,4.65354407041283e-07
"GO:0006357","regulation of transcription by RNA polymerase II",0.225386791638714,1400,1.28417285890836,0,0,152162,802,2433,1.18159505222066,2.12488282524959e-09,1.89561915199897e-07
"GO:0009056","catabolic process",0.18672443262797,1153,1.2765918615648,0,0,121061,738,2552,1.03660212829751,0.112347548365689,0.344512156453809
"GO:0006351","DNA-templated transcription",0.284479639659822,1751,1.2725031600545,0,0,148102,1045,3300,1.13511210471747,7.35936482865185e-08,4.26465756737261e-06
"GO:0032774","RNA biosynthetic process",0.324437368767417,1989,1.2674412139974,0,0,147261,1205,4016,1.0755478765343,0.000432333513487149,0.00747760515674201
"GO:0006355","regulation of DNA-templated transcription",0.279479155350513,1712,1.26642142996719,0,0,149163,1014,3173,1.14552424985504,1.65714149069629e-08,1.17035617780425e-06
"GO:2001141","regulation of RNA biosynthetic process",0.280438424755728,1717,1.26577551007038,0,0,149340,1020,3191,1.14580251709098,1.39898198581179e-08,1.01990299610795e-06
"GO:0141187","nucleic acid biosynthetic process",0.330908646385057,2020,1.26202270099168,0,0,146334,1234,4124,1.07258793497985,0.000564430415208927,0.00937950542920718
"GO:0034654","nucleobase-containing compound biosynthetic process",0.346558209926402,2115,1.26170578005252,0,0,143972,1308,4398,1.06607785809611,0.000993713639364513,0.0143293665727951
"GO:0016070","RNA metabolic process",0.33625710998841,2042,1.25547530409187,0,0,145778,1252,4206,1.06701730993789,0.00116315545454215,0.016141189901714
"GO:0051252","regulation of RNA metabolic process",0.30008016983582,1810,1.24699637370331,0,0,148381,1090,3428,1.13978277418968,1.30199935277631e-08,9.70061056244325e-07
"GO:0090304","nucleic acid metabolic process",0.363542429109017,2181,1.24029351639648,0,0,145226,1385,4727,1.05026906908824,0.00680298290974046,0.0605876304998198
"GO:0006139","nucleobase-containing compound metabolic process",0.392975845179396,2334,1.22788843138092,0,0,142568,1526,5253,1.04131838756732,0.0146158175598066,0.101740495950194
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.315662861412565,1874,1.22735447436728,0,0,147034,1156,3715,1.11541227715809,6.55869668797493e-07,3.02503153363742e-05
"GO:0080090","regulation of primary metabolic process",0.414895261053709,2446,1.2188265078515,0,0,143409,1604,5173,1.11147139456906,2.8570625865143e-09,2.45201067551481e-07
"GO:0031325","positive regulation of cellular metabolic process",0.275220850822214,1617,1.21465404118144,0,0,151543,960,2937,1.1716656314486,2.64311461606326e-10,3.25823947216525e-08
"GO:0009893","positive regulation of metabolic process",0.312788701542816,1825,1.20624554999913,0,0,151382,1123,3466,1.16141545867925,5.04789543498418e-11,6.58167904792169e-09
"GO:0031323","regulation of cellular metabolic process",0.432570712566044,2522,1.20534642157902,0,0,144369,1655,5453,1.08792486992621,9.10980575530296e-07,4.03689431509504e-05
"GO:0010468","regulation of gene expression",0.377759088713275,2202,1.20510893151047,0,0,146256,1403,4623,1.08785292046765,1.06474565246817e-05,0.000364594723420918
"GO:0060255","regulation of macromolecule metabolic process",0.444070367695618,2581,1.20160056255851,0,0,144342,1717,5643,1.09067824158477,2.26701755812186e-07,1.1644226548535e-05
"GO:0031326","regulation of cellular biosynthetic process",0.391424478696328,2274,1.20106466716584,0,0,145890,1463,4827,1.08643420836849,8.27677683035155e-06,0.000295350246893597
"GO:0010467","gene expression",0.439128720572552,2550,1.2005278811998,0,0,144794,1693,5890,1.03033408629435,0.041292507668289,0.197766296934931
