"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0002396","MHC protein complex assembly",0.000417526828711802,35,14.7323283966852,0,0,32466,11,19,1.87877693176976,0.0130224870184028,0.0982844875714099
"GO:0002501","peptide antigen assembly with MHC protein complex",0.000417526828711802,35,14.7323283966852,0,0,32466,11,19,1.87877693176976,0.0130224870184028,0.0982844875714099
"GO:0002399","MHC class II protein complex assembly",0.000288853756386514,24,14.6022895428362,0,0,28850,10,14,2.31797153919646,0.00208377694622575,0.0275074049667198
"GO:0002503","peptide antigen assembly with MHC class II protein complex",0.000288853756386514,24,14.6022895428362,0,0,28850,10,14,2.31797153919646,0.00208377694622575,0.0275074049667198
"GO:0042270","protection from natural killer cell mediated cytotoxicity",0.000310460230109355,23,13.0199583387512,0,0,43031,5,6,2.70430012906254,0.012377785329619,0.0961119484199556
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0.00044649122189687,29,11.4149182749512,0,0,37635,9,15,1.94709609292503,0.01825274690644,0.125484465330445
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",0.000454377738995134,29,11.2167924857129,0,0,37635,9,16,1.82540258711721,0.0304668285839762,0.174496303712419
"GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",0.000454377738995134,29,11.2167924857129,0,0,37635,9,16,1.82540258711721,0.0304668285839762,0.174496303712419
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib",0.000470288273880789,29,10.8373121157764,0,0,37635,9,17,1.71802596434561,0.0473728201584849,0.224622126966333
"GO:0016045","detection of bacterium",0.000605036772433307,31,9.00466699797829,0,0,45614,6,16,1.21693505807814,0.367306479760368,0.633417821974817
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",0.000788262789671405,40,8.91818955463238,0,0,35839,11,24,1.4873650709844,0.0876829482686031,0.311911946409595
"GO:0019883","antigen processing and presentation of endogenous antigen",0.00101450221509656,40,6.92938553759966,0,0,35839,11,31,1.15150844205244,0.348417779375237,0.633417821974817
"GO:0048002","antigen processing and presentation of peptide antigen",0.0028955297822861,62,3.76314876166946,0,0,47176,27,69,1.26984527799458,0.087514740601182,0.311911946409595
"GO:0006366","transcription by RNA polymerase II",0.239868839841331,1646,1.20599006440851,0,0,155827,906,2555,1.15072998055452,3.33680063580033e-08,2.49452190688989e-06
"GO:0006351","DNA-templated transcription",0.296160100392366,2013,1.19455172525441,0,0,150258,1131,3300,1.11220488944354,1.34677025465102e-06,6.68864499897311e-05
"GO:0032774","RNA biosynthetic process",0.337722414466446,2287,1.19012893119254,0,0,150230,1310,4016,1.05855572781034,0.00278700397070442,0.0346642770576931
"GO:0006355","regulation of DNA-templated transcription",0.290962501783636,1968,1.18870969680181,0,0,151451,1098,3173,1.12297064294132,2.59200657493075e-07,1.54692694917296e-05
"GO:2001141","regulation of RNA biosynthetic process",0.291963064548924,1973,1.18764571276776,0,0,151598,1104,3191,1.12273795392731,2.48782583645024e-07,1.49733382122624e-05
"GO:0141187","nucleic acid biosynthetic process",0.344472259080328,2327,1.18721633561355,0,0,149467,1344,4124,1.05758856647722,0.00277433410017958,0.034577703941943
