"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05332",0.00176303456158331,54,5.3829539851071,0,0,34337,22,39,1.83060316428849,0.000794397944481551,0.0183482165356109
"hsa04612",0.00237000468803339,66,4.89420846754834,0,0,35763,32,70,1.48350178508573,0.00611026233059708,0.0703627015123284
"hsa05320",0.00231989965459471,61,4.62113193944634,0,0,49131,20,50,1.29806406195002,0.106332895773899,0.361110725251953
"hsa05330",0.00217702410343762,56,4.52077115383029,0,0,43002,19,35,1.76165836978931,0.00324474044065193,0.0463727487976505
"hsa04940",0.00311198960724659,64,3.61434470643891,0,0,56522,23,42,1.77711151338395,0.00106014029764023,0.0227267576306625
"hsa04145",0.0116272164527888,142,2.14634890218346,2.22044604925031e-16,1.2693549914881e-14,78112,68,147,1.50116252062247,5.72567108586552e-05,0.0045392365796556
"hsa05203",0.0130519786395966,151,2.03323850900604,2.22044604925031e-15,1.08801856413265e-13,110804,66,196,1.09275801133547,0.212697168856897,0.515608091778382
"hsa05169",0.0142764930220095,153,1.88346531575757,5.36459765498876e-13,2.20360026522333e-11,112088,70,197,1.15310259310281,0.0874165957964955,0.32949332261756
"hsa05416",0.00627162048228579,86,2.40994102617799,5.78204151224782e-13,2.20360026522333e-11,84678,35,65,1.7473939295481,9.26374812174613e-05,0.0045392365796556
"hsa05310",0.000767799857299826,26,5.95131659859768,1.60427227058335e-12,5.50265388810089e-11,29818,12,28,1.39078292351788,0.121168556494997,0.395817284550324
"hsa04658",0.00867387579369452,101,2.04642535695689,6.28330720786607e-11,1.95924942936188e-09,108384,41,89,1.49496141966154,0.00174220346610188,0.0351515169925261
"hsa05166",0.0191156882843588,176,1.61811901509097,1.32073052494519e-09,3.77508808380167e-08,109699,73,215,1.10184507584129,0.176302909847227,0.458120439981809
"hsa04650",0.00818942277204174,92,1.97434147650196,2.37598940522332e-09,6.26895666147384e-08,94623,45,121,1.20687774354857,0.0786988468252452,0.310840863279552
"hsa05150",0.00249473159942033,41,2.88833632574182,4.98861696396347e-09,1.22221115617105e-07,39556,23,92,0.811290038718761,0.909383487399174,0.970402230613548
"hsa05167",0.0162978496566174,152,1.63908325797659,7.75594055646422e-09,1.77352507391149e-07,92618,71,193,1.19381539376232,0.0435461475500717,0.23810050030368
"hsa05168",0.01035824036997,104,1.7645545466957,6.0929047807079e-08,1.30616646236426e-06,86303,52,172,0.981094930543618,0.594551351994572,0.835783253008763
"hsa04330",0.00624743523574418,71,1.99730468001563,9.594367589294e-08,1.93580475478108e-06,135359,29,62,1.51789749179639,0.00595169756217784,0.0703627015123284
"hsa05170",0.0149639685321481,135,1.5855309202849,3.05568574221482e-07,5.82277894210935e-06,100417,59,204,0.93855122126288,0.745295957643398,0.926219251709006
"hsa05322",0.00491438782257733,57,2.03841761255,8.93307974259017e-07,1.61265597458338e-05,51220,38,130,0.948585276040398,0.683835101885108,0.890485744983837
"hsa04144",0.0210204450601844,175,1.46313323466683,9.41731387649192e-07,1.61506932981836e-05,116674,92,245,1.21859075203471,0.0139342746768943,0.11657210278475
"hsa00980",0.00264851578044726,37,2.45520009805957,1.26923638288368e-06,2.02781008734105e-05,60804,18,73,0.800176476544531,0.899817716420344,0.970402230613548
"hsa05165",0.0301702190833163,236,1.37474222678541,1.300636207624e-06,2.02781008734105e-05,135052,117,324,1.17186338926043,0.0226666588294414,0.165418382521243
"hsa00982",0.00249603513497715,35,2.46436529230391,2.22595838772488e-06,3.31958142169406e-05,62790,17,66,0.835874585346602,0.847629975790492,0.952085268808129
"hsa04218",0.0144736751777946,127,1.5421003392907,2.5518776275435e-06,3.64705844269758e-05,97381,53,153,1.12414044580639,0.172964066171896,0.458004508365383
"hsa00983",0.00448908222796693,52,2.03579253090173,2.69669203301071e-06,3.69986146929069e-05,65361,28,77,1.18005823813638,0.174837320964996,0.458004508365383
"hsa00051",0.00221885261122708,32,2.53459898745242,3.36770458453373e-06,4.31203143260152e-05,174852,18,33,1.77008735720457,0.00386181430871169,0.0509462426110811
"hsa05110",0.00357043976111099,44,2.16580174775502,3.39431045714988e-06,4.31203143260152e-05,121317,21,49,1.39078292351788,0.0499474394920316,0.244742453510955
"hsa05204",0.00272476734994053,35,2.25749268286815,1.38744828311888e-05,0.000169962414682062,70557,17,67,0.823398845266802,0.865076181043978,0.957164935800273
"hsa04672",0.00335914546335839,40,2.09275753427022,1.95026306071266e-05,0.00023066904476705,61261,20,46,1.41093919777176,0.0472035977278432,0.23810050030368
"hsa05034",0.0116057405865807,102,1.54459650015504,2.17880756272493e-05,0.000249110331338217,136131,51,179,0.924598703344286,0.774393844193387,0.952085268808129
"hsa05207",0.0179964214281071,146,1.42578629140866,2.45736106671002e-05,0.000271895111574689,137051,70,191,1.18932571121075,0.0483739968572309,0.240467839449713
"hsa03083",0.00737851590450263,70,1.66731153923654,4.4767212098229e-05,0.000479848554677892,183442,28,74,1.22789843697975,0.119076281230124,0.392722735210891
"hsa05164",0.0100727693482152,89,1.55284765623435,5.80748059182401e-05,0.00060362601302898,96344,50,161,1.00781371269411,0.503368643649144,0.790525818773215
"hsa00053",0.00132128185288086,20,2.66024881891221,0.000112784222851436,0.00113779377758949,57807,12,29,1.34282489167243,0.15117128449657,0.432982286476791
"hsa04744",0.00143010367136193,21,2.58071179517393,0.000116534175317318,0.00114203491810971,50596,12,27,1.44229340216669,0.0948461557274296,0.338877410567795
"hsa00830",0.00355124227043776,39,1.93006546181913,0.000129259212395594,0.0012315530514358,100979,19,65,0.948585276040398,0.654248797400298,0.873180301588725
"hsa05321",0.00630437285619692,60,1.67261926067147,0.000136869382165505,0.00126881616439914,101638,25,62,1.30853232051413,0.0709050948071044,0.300252438504158
"hsa05145",0.00956552205005276,83,1.52495542336989,0.000176075016459887,0.00158930870120371,85487,49,106,1.50012120366865,0.000597037999222172,0.0170653361444337
"hsa04530",0.0155797314467293,124,1.39878012042043,0.000200765043901985,0.00176570282200976,105597,70,163,1.39362706037579,0.000684504557739496,0.0180603894849729
"hsa04210",0.0107979704761873,91,1.4811088952588,0.000230698104970339,0.00197823625012066,137167,44,131,1.08997745659925,0.273476763132368,0.581182813204242
"hsa05418",0.0131833320683633,107,1.42641638823702,0.000269141428927755,0.00225159780785902,136999,47,135,1.1297964983639,0.179152904551135,0.462025911737137
