sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1003	Astrocyte	0.126640928706484	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1004	Astrocyte	0.0891810612559994	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1007	Astrocyte	0.0867353349103517	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1016	Astrocyte	0.0856984376045808	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1017	Astrocyte	0.114202922505683	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1021	Astrocyte	0.0691961439073502	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1023	Astrocyte	0.0799137475220642	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1030	Astrocyte	0.108174423770714	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1033	Astrocyte	0.153813261701989	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1034	Astrocyte	0.0796318325140252	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1039	Astrocyte	0.0935523481546091	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1040	Astrocyte	0.139995862119143	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1050	Astrocyte	0.151959265256378	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1053	Astrocyte	0.0794875506154127	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1054	Astrocyte	0.156581490121669	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1056	Astrocyte	0.0803942718740853	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1067	Astrocyte	0.100606508188507	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1069	Astrocyte	0.0865353910096256	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1081	Astrocyte	0.0853056312107378	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1084	Astrocyte	0.0788223315009569	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1092	Astrocyte	0.0843720383226642	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1093	Astrocyte	0.117270930787139	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1102	Astrocyte	0.12363101669979	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1109	Astrocyte	0.0877205231814623	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1113	Astrocyte	0.0774783675229157	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1122	Astrocyte	0.139018606416544	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1134	Astrocyte	0.0998597582441359	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1135	Astrocyte	0.0691195129009418	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1137	Astrocyte	0.0875117098580635	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1139	Astrocyte	0.0829672865888279	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1148	Astrocyte	0.124487683858446	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1156	Astrocyte	0.134204041244333	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1157	Astrocyte	0.161504273858092	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1160	Astrocyte	0.119487204489035	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1164	Astrocyte	0.0619509203502811	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1167	Astrocyte	0.121626418585906	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1183	Astrocyte	0.126417854420402	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1185	Astrocyte	0.110531207061282	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
