sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1003	Astrocyte	0.105948255079892	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1004	Astrocyte	0.124118049943663	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1007	Astrocyte	0.11109951448752	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1016	Astrocyte	0.1160871704361	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1017	Astrocyte	0.130226988605716	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1021	Astrocyte	0.114231160100425	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1023	Astrocyte	0.131611023000485	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1030	Astrocyte	0.10879264359746	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1034	Astrocyte	0.123993674511714	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1039	Astrocyte	0.148962700564063	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1053	Astrocyte	0.0943153111022598	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1054	Astrocyte	0.121988491514354	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1056	Astrocyte	0.135463770247085	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1067	Astrocyte	0.124032776479598	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1069	Astrocyte	0.114134443258937	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1084	Astrocyte	0.121163549012891	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1093	Astrocyte	0.130171042754673	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1099	Astrocyte	0.104235410857973	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1102	Astrocyte	0.137383065721586	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1105	Astrocyte	0.1563826843621	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1111	Astrocyte	0.0857512099199187	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1122	Astrocyte	0.0926404661428469	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1134	Astrocyte	0.105036888866288	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1135	Astrocyte	0.120089665182065	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1137	Astrocyte	0.141702362731402	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1142	Astrocyte	0.12474566848186	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1143	Astrocyte	0.10895626159628	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1160	Astrocyte	0.107840987394758	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1167	Astrocyte	0.126027524433355	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1179	Astrocyte	0.0943113055349533	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1185	Astrocyte	0.112932404362309	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1187	Astrocyte	0.115140908485582	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1193	Astrocyte	0.136222688288117	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1214	Astrocyte	0.139282858096263	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1227	Astrocyte	0.123373224656227	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1228	Astrocyte	0.0872357598821246	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1235	Astrocyte	0.140371525308971	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1245	Astrocyte	0.125039445400071	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1250	Astrocyte	0.12606208740313	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1263	Astrocyte	0.129092199096541	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1265	Astrocyte	0.102491994057518	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1275	Astrocyte	0.106133100987361	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1276	Astrocyte	0.106031044668868	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1279	Astrocyte	0.126790157458551	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1280	Astrocyte	0.103872352330766	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1281	Astrocyte	0.113210825257526	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1283	Astrocyte	0.103470602280029	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1298	Astrocyte	0.103376893581519	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1314	Astrocyte	0.102357657808136	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1320	Astrocyte	0.107086995603409	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1321	Astrocyte	0.116143883276594	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1324	Astrocyte	0.111754600770211	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1325	Astrocyte	0.130802118374959	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1326	Astrocyte	0.122600521190115	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1339	Astrocyte	0.102981298696972	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1340	Astrocyte	0.118106486278309	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1348	Astrocyte	0.111247205645889	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1351	Astrocyte	0.165529002140335	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1370	Astrocyte	0.0931422501188754	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1378	Astrocyte	0.121355251896328	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1383	Astrocyte	0.111526342199812	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1389	Astrocyte	0.118829669651076	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1390	Astrocyte	0.110213501487055	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1399	Astrocyte	0.131762211728615	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1410	Astrocyte	0.133590828414855	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1416	Astrocyte	0.135216828774629	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1420	Astrocyte	0.136638662096658	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1425	Astrocyte	0.109172005948523	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1446	Astrocyte	0.110765893795001	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1447	Astrocyte	0.124916795024163	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
