region	sample_id	n_cell_types	fraction_sum	min_fraction	max_fraction	bounded	sum_to_one
dlpfc	Br1003	7	1	0.00792548055181369	0.556850521011363	TRUE	TRUE
dlpfc	Br1004	7	1	0.0556534065054724	0.306257300139065	TRUE	TRUE
dlpfc	Br1007	7	1	0.030193710846025	0.433123827421235	TRUE	TRUE
dlpfc	Br1016	7	1	0.0651530602138105	0.228554390280287	TRUE	TRUE
dlpfc	Br1017	7	1	0.0442244462729382	0.332937397570327	TRUE	TRUE
dlpfc	Br1021	7	1	0.0179875543211028	0.413439160706145	TRUE	TRUE
dlpfc	Br1023	7	1	0.051480486391639	0.291592036149248	TRUE	TRUE
dlpfc	Br1030	7	1	0.0582103618386371	0.280175118411916	TRUE	TRUE
dlpfc	Br1034	7	1	0.0463779595375799	0.25659066955045	TRUE	TRUE
dlpfc	Br1039	7	1	0.0517056151035343	0.252508949100454	TRUE	TRUE
dlpfc	Br1053	7	1	0.0124728650850422	0.512190185154416	TRUE	TRUE
dlpfc	Br1054	7	1	0.0558691517744981	0.282054109632696	TRUE	TRUE
dlpfc	Br1056	7	1	0.0377875604286503	0.339594725628833	TRUE	TRUE
dlpfc	Br1067	7	1	0.038856978734093	0.35692265946496	TRUE	TRUE
dlpfc	Br1069	7	1	0.033916691843342	0.421084966213757	TRUE	TRUE
dlpfc	Br1084	7	1	0.0455772015580115	0.313772934632863	TRUE	TRUE
dlpfc	Br1093	7	1	0.0271527624075379	0.376253518779314	TRUE	TRUE
dlpfc	Br1099	7	1	0.0159943155339939	0.48658434112417	TRUE	TRUE
dlpfc	Br1102	7	1	0.0536918740178034	0.196286449604524	TRUE	TRUE
dlpfc	Br1105	7	1	0.0634243018617965	0.228156711029698	TRUE	TRUE
dlpfc	Br1111	7	1	0.0198389401731508	0.555019980572355	TRUE	TRUE
dlpfc	Br1122	7	1	0.0208161369373233	0.510088590187448	TRUE	TRUE
dlpfc	Br1134	7	1	0.0321989548552305	0.487926456914244	TRUE	TRUE
dlpfc	Br1135	7	1	0.0569497245237313	0.259282535276392	TRUE	TRUE
dlpfc	Br1137	7	1	0.0502970255750796	0.227785284383271	TRUE	TRUE
