region	sample_id	n_cell_types	fraction_sum	min_fraction	max_fraction	bounded	sum_to_one
hippocampus	Br1003	7	1	0.0288809987300062	0.539518285026747	TRUE	TRUE
hippocampus	Br1004	7	1	0.0797700704124161	0.34969700363351	TRUE	TRUE
hippocampus	Br1007	7	1	0.0428049752448889	0.507576131414972	TRUE	TRUE
hippocampus	Br1016	7	1	0.0549608506686494	0.372479824117575	TRUE	TRUE
hippocampus	Br1017	7	1	0.0568982622469682	0.197976929096912	TRUE	TRUE
hippocampus	Br1021	7	1	0.0255272634522099	0.391849789775944	TRUE	TRUE
hippocampus	Br1023	7	1	0.058300011605412	0.338059521447867	TRUE	TRUE
hippocampus	Br1030	7	1	0.0215878738975296	0.585675319660599	TRUE	TRUE
hippocampus	Br1034	7	1	0.0786666049519853	0.345980540519699	TRUE	TRUE
hippocampus	Br1039	7	1	0.0698148378553988	0.332725264852434	TRUE	TRUE
hippocampus	Br1053	7	1	0.0375355512296295	0.625654137132846	TRUE	TRUE
hippocampus	Br1054	7	1	0.053867012871536	0.286104658235015	TRUE	TRUE
hippocampus	Br1056	7	1	0.0689424410788888	0.390371629103122	TRUE	TRUE
hippocampus	Br1067	7	1	0.0631882456514033	0.384094996920621	TRUE	TRUE
hippocampus	Br1069	7	1	0.0521297390129806	0.470280945534756	TRUE	TRUE
hippocampus	Br1084	7	1	0.043824068279291	0.368365187081396	TRUE	TRUE
hippocampus	Br1092	7	1	0.0299805821065808	0.537363565928755	TRUE	TRUE
hippocampus	Br1093	7	1	0.0294388351802801	0.477288981436053	TRUE	TRUE
hippocampus	Br1099	7	1	0.0152991539295818	0.643305538485865	TRUE	TRUE
hippocampus	Br1102	7	1	0.0714734983542338	0.238832930297369	TRUE	TRUE
hippocampus	Br1105	7	1	0.0441985254542167	0.365725912626866	TRUE	TRUE
hippocampus	Br1111	7	1	0.0808481664762314	0.344397517994982	TRUE	TRUE
hippocampus	Br1113	7	1	0.0251227465043498	0.48339340041374	TRUE	TRUE
hippocampus	Br1122	7	1	0.0417037256269263	0.358464723059388	TRUE	TRUE
hippocampus	Br1134	7	1	0.0685557520361407	0.287460780504779	TRUE	TRUE
hippocampus	Br1135	7	1	0.0642010700043418	0.407743249191862	TRUE	TRUE
hippocampus	Br1137	7	1	0.0723368692429572	0.361931282366894	TRUE	TRUE
hippocampus	Br1142	7	1	0.0404907739797141	0.305987701695013	TRUE	TRUE
hippocampus	Br1143	7	1	0.0675753451865982	0.292565724196299	TRUE	TRUE
hippocampus	Br1157	7	1	0.0415763409854474	0.51283022019191	TRUE	TRUE
hippocampus	Br1160	7	1	0.0432144825898291	0.507546268251232	TRUE	TRUE
hippocampus	Br1167	7	1	0.0452769975332559	0.320219843574776	TRUE	TRUE
hippocampus	Br1179	7	1	0.0451769573167772	0.450287854545403	TRUE	TRUE
hippocampus	Br1185	7	1	0.028002210033885	0.227768474882595	TRUE	TRUE
hippocampus	Br1187	7	1	0.0534653124708316	0.313056706489862	TRUE	TRUE
hippocampus	Br1193	7	1	0.0550937252493144	0.363938115439871	TRUE	TRUE
hippocampus	Br1214	7	1	0.0655173363786486	0.318185991598647	TRUE	TRUE
hippocampus	Br1227	7	1	0.0520122050516946	0.251668613820124	TRUE	TRUE
hippocampus	Br1228	7	1	0.0466448535062971	0.401947216509811	TRUE	TRUE
hippocampus	Br1235	7	1	0.0474969962127559	0.463114885110082	TRUE	TRUE
hippocampus	Br1245	7	1	0.0399872740489925	0.324480788612489	TRUE	TRUE
hippocampus	Br1249	7	1	0.0230317242495401	0.476766205972984	TRUE	TRUE
hippocampus	Br1250	7	1	0.0622428556532253	0.344034033492566	TRUE	TRUE
hippocampus	Br1263	7	1	0.0542063282720739	0.391555502796117	TRUE	TRUE
hippocampus	Br1265	7	1	0.0427326062393633	0.35084916202468	TRUE	TRUE
hippocampus	Br1276	7	1	0.0595965099008008	0.341870828183135	TRUE	TRUE
hippocampus	Br1279	7	1	0.0487688285717563	0.33820376650058	TRUE	TRUE
hippocampus	Br1280	7	1	0.0454410986274165	0.419970220549877	TRUE	TRUE
hippocampus	Br1281	7	1	0.0668192195163641	0.328082460975811	TRUE	TRUE
hippocampus	Br1283	7	1	0.0436401012578463	0.476225273657624	TRUE	TRUE
hippocampus	Br1297	7	1	0.0618133132787995	0.424024856311962	TRUE	TRUE
hippocampus	Br1298	7	1	0.0292908088665947	0.400529934001603	TRUE	TRUE
hippocampus	Br1303	7	1	0.0406431481549749	0.315485199531828	TRUE	TRUE
hippocampus	Br1314	7	1	0.0541710626695159	0.320408781756807	TRUE	TRUE
hippocampus	Br1320	7	1	0.0796276887006077	0.372477585844549	TRUE	TRUE
hippocampus	Br1321	7	1	0.0296286717496346	0.482960661740674	TRUE	TRUE
hippocampus	Br1324	7	1	0.0541398175665037	0.413392879240199	TRUE	TRUE
hippocampus	Br1325	7	1	0.0361681799628318	0.379074054209665	TRUE	TRUE
hippocampus	Br1326	7	1	0.063981060105744	0.413202527055992	TRUE	TRUE
hippocampus	Br1339	7	1	0.0842991789228973	0.380596839857874	TRUE	TRUE
hippocampus	Br1340	7	1	0.0655984807240686	0.395436528183292	TRUE	TRUE
hippocampus	Br1348	7	1	0.0558383908571503	0.40567750723543	TRUE	TRUE
hippocampus	Br1370	7	1	0.0501855282954448	0.404135505680722	TRUE	TRUE
hippocampus	Br1371	7	1	0.0671680664256145	0.372721334840515	TRUE	TRUE
hippocampus	Br1378	7	1	0.0254223780025759	0.498823991551609	TRUE	TRUE
hippocampus	Br1383	7	1	0.0472545752177818	0.398987942194867	TRUE	TRUE
hippocampus	Br1389	7	1	0.062509157727983	0.323062660552546	TRUE	TRUE
hippocampus	Br1390	7	1	0.0682529890163413	0.349480779313287	TRUE	TRUE
hippocampus	Br1399	7	1	0.0796943754794018	0.299681246311624	TRUE	TRUE
hippocampus	Br1410	7	1	0.0484499884985648	0.256097912319274	TRUE	TRUE
hippocampus	Br1416	7	1	0.0376411007143269	0.388390280127779	TRUE	TRUE
hippocampus	Br1420	7	1	0.047999128714282	0.400284160955173	TRUE	TRUE
hippocampus	Br1425	7	1	0.0395721283668037	0.399821751759864	TRUE	TRUE
hippocampus	Br1446	7	1	0.0536770956767006	0.347502740009668	TRUE	TRUE
hippocampus	Br1447	7	1	0.0727426898258826	0.291550538006411	TRUE	TRUE
hippocampus	Br1453	7	1	0.043156189571076	0.5799436113257	TRUE	TRUE
hippocampus	Br1455	7	1	0.0625298006771998	0.339085302599917	TRUE	TRUE
hippocampus	Br1459	7	1	0.0685042694135436	0.285569737938262	TRUE	TRUE
hippocampus	Br1463	7	1	0.0688430239991358	0.339979477848893	TRUE	TRUE
hippocampus	Br1464	7	1	0	0.75786270536858	TRUE	TRUE
hippocampus	Br1473	7	1	0.0393325996428407	0.446992329694569	TRUE	TRUE
hippocampus	Br1474	7	1	0.0583105218065445	0.364536785093226	TRUE	TRUE
hippocampus	Br1494	7	1	0.0319821729678039	0.416553692804562	TRUE	TRUE
hippocampus	Br1497	7	1	0.0709144548075299	0.384264428439645	TRUE	TRUE
hippocampus	Br1498	7	1	0.0273085874112758	0.49974903649609	TRUE	TRUE
hippocampus	Br1499	7	1	0.0370537411245653	0.326200032313635	TRUE	TRUE
hippocampus	Br1503	7	1	0.0565126356341689	0.409407715065872	TRUE	TRUE
hippocampus	Br1504	7	1	0.0458546193470329	0.346278420066217	TRUE	TRUE
hippocampus	Br1509	7	1	0.0545654140483463	0.404352440035435	TRUE	TRUE
hippocampus	Br1522	7	1	0.0379906436844066	0.397208008005527	TRUE	TRUE
hippocampus	Br1524	7	1	0.0402708860661556	0.384927457827799	TRUE	TRUE
hippocampus	Br1527	7	1	0.0306346261067462	0.450228177296901	TRUE	TRUE
hippocampus	Br1528	7	1	0.0683370091220387	0.286686432362889	TRUE	TRUE
hippocampus	Br1529	7	1	0.053731837014805	0.356936240147458	TRUE	TRUE
hippocampus	Br1536	7	1	0.0380368164401725	0.390732305883098	TRUE	TRUE
hippocampus	Br1538	7	1	0.0527759273082333	0.456689385654458	TRUE	TRUE
hippocampus	Br1539	7	1	0.0588472215696461	0.449033428698082	TRUE	TRUE
hippocampus	Br1552	7	1	0.0687915894943111	0.382608566962638	TRUE	TRUE
hippocampus	Br1556	7	1	0.0709133243341334	0.229525020695256	TRUE	TRUE
hippocampus	Br1563	7	1	0.0416873769742638	0.466824557421278	TRUE	TRUE
hippocampus	Br1565	7	1	0.0592424105546811	0.38045881701848	TRUE	TRUE
hippocampus	Br1568	7	1	0.0460075450748476	0.393431595764217	TRUE	TRUE
hippocampus	Br1571	7	1	0.0670767461896657	0.308440751466478	TRUE	TRUE
hippocampus	Br1573	7	1	0.0587002773656878	0.292426806757859	TRUE	TRUE
hippocampus	Br1576	7	1	0.0634519998670943	0.323123650172508	TRUE	TRUE
hippocampus	Br1578	7	1	0.0733210731364816	0.343859715016032	TRUE	TRUE
hippocampus	Br1579	7	1	0.0575222164227475	0.445301111795171	TRUE	TRUE
hippocampus	Br1581	7	1	0.0807067841617157	0.237359335586923	TRUE	TRUE
hippocampus	Br1585	7	1	0.0670670122780226	0.496972393683418	TRUE	TRUE
hippocampus	Br1587	7	1	0.0147109447221249	0.590174971928814	TRUE	TRUE
hippocampus	Br1588	7	1	0.0624010357921098	0.288400195240383	TRUE	TRUE
hippocampus	Br1590	7	1	0.0377951190975657	0.486356450537709	TRUE	TRUE
hippocampus	Br1594	7	1	0.0747426455771884	0.34509672611469	TRUE	TRUE
hippocampus	Br1602	7	1	0.0631928121617021	0.264704311954502	TRUE	TRUE
hippocampus	Br1605	7	1	0.0495782745076941	0.497034026648549	TRUE	TRUE
hippocampus	Br1611	7	1	0.0752682859019051	0.305094586229945	TRUE	TRUE
hippocampus	Br1613	7	1	0.0331582025788651	0.430876411332523	TRUE	TRUE
hippocampus	Br1615	7	1	0.0643789188342616	0.286072142530957	TRUE	TRUE
hippocampus	Br1637	7	1	0.0552032406586333	0.313202325173491	TRUE	TRUE
hippocampus	Br1644	7	1	0.050572943764945	0.226132952601872	TRUE	TRUE
hippocampus	Br1648	7	1	0.0488967271442871	0.433814534414361	TRUE	TRUE
hippocampus	Br1649	7	1	0.0340081435761039	0.286136118110294	TRUE	TRUE
hippocampus	Br1654	7	1	0.0739715670220077	0.428882981910173	TRUE	TRUE
hippocampus	Br1657	7	1	0.0573218966463986	0.328846140474189	TRUE	TRUE
hippocampus	Br1663	7	1	0.0739893656275045	0.384960977956461	TRUE	TRUE
hippocampus	Br1664	7	1	0.0541386795052139	0.303973784471053	TRUE	TRUE
hippocampus	Br1665	7	1	0.00563061768690572	0.601066649629384	TRUE	TRUE
hippocampus	Br1669	7	1	0.0575107099894444	0.297875016129773	TRUE	TRUE
hippocampus	Br1676	7	1	0.0666566190849119	0.392182252258318	TRUE	TRUE
hippocampus	Br1678	7	1	0.0681956429705945	0.413342658844562	TRUE	TRUE
hippocampus	Br1682	7	1	0.0571847525556696	0.326764440050532	TRUE	TRUE
hippocampus	Br1684	7	1	0.0450768161871601	0.489799223527581	TRUE	TRUE
hippocampus	Br1688	7	1	0.0491808358157402	0.237429528707871	TRUE	TRUE
hippocampus	Br1693	7	1	0.0640495508900667	0.357535604706457	TRUE	TRUE
hippocampus	Br1695	7	1	0.0345519645144025	0.453904227607266	TRUE	TRUE
hippocampus	Br1700	7	1	0.0271962067582242	0.599557141938692	TRUE	TRUE
hippocampus	Br1703	7	1	0.0646526679691391	0.376666982677325	TRUE	TRUE
hippocampus	Br1721	7	1	0.0313687984029134	0.41568602535544	TRUE	TRUE
hippocampus	Br1722	7	1	0.0559756436508025	0.395663659393366	TRUE	TRUE
hippocampus	Br1733	7	1	0.0402810017491453	0.292102483813499	TRUE	TRUE
hippocampus	Br1738	7	1	0.0710591117864641	0.278443876686673	TRUE	TRUE
hippocampus	Br1740	7	1	0.0557752429562664	0.293790818616429	TRUE	TRUE
hippocampus	Br1753	7	1	0.0500276302877845	0.346175827582256	TRUE	TRUE
hippocampus	Br1761	7	1	0.0512765170482094	0.420131507527864	TRUE	TRUE
hippocampus	Br1832	7	1	0.0485704936684378	0.465545558509181	TRUE	TRUE
hippocampus	Br1840	7	1	0.0646107061749134	0.346125618764056	TRUE	TRUE
hippocampus	Br1880	7	1	0.0560790270535287	0.373566967543241	TRUE	TRUE
hippocampus	Br1883	7	1	0.00358541284997456	0.381498883450022	TRUE	TRUE
hippocampus	Br1884	7	1	0.0609528254204861	0.319955141037949	TRUE	TRUE
hippocampus	Br1898	7	1	0.0525238066675098	0.483336252684987	TRUE	TRUE
hippocampus	Br1905	7	1	0.0485439764287116	0.3478474541848	TRUE	TRUE
hippocampus	Br1912	7	1	0.0656170747945089	0.362480492644267	TRUE	TRUE
hippocampus	Br1936	7	1	0.0646598760318429	0.247129635994619	TRUE	TRUE
hippocampus	Br1941	7	1	0.0803734621468866	0.295148258415041	TRUE	TRUE
hippocampus	Br1946	7	1	0.0237461364368505	0.568517977865538	TRUE	TRUE
hippocampus	Br1958	7	1	0.0589680483142271	0.330327600123236	TRUE	TRUE
hippocampus	Br1960	7	1	0.0563083509756362	0.297231921496871	TRUE	TRUE
hippocampus	Br1974	7	1	0.0351199666303304	0.508497272620334	TRUE	TRUE
hippocampus	Br2003	7	1	0.0347126713776875	0.383622513589532	TRUE	TRUE
hippocampus	Br2009	7	1	0.0289056788943602	0.472466822155833	TRUE	TRUE
hippocampus	Br2020	7	1	0.08011899190963	0.322223393394137	TRUE	TRUE
hippocampus	Br2038	7	1	0.0390798024993955	0.492709056913784	TRUE	TRUE
hippocampus	Br2044	7	1	0.0400413063397234	0.418382816656703	TRUE	TRUE
hippocampus	Br2046	7	1	0.0233332651108449	0.470920173439598	TRUE	TRUE
hippocampus	Br2064	7	1	0.0670799924777232	0.289904897547118	TRUE	TRUE
hippocampus	Br2074	7	1	0.0358354988106935	0.322998376140558	TRUE	TRUE
hippocampus	Br2076	7	1	0.0412509144126442	0.288294021533339	TRUE	TRUE
hippocampus	Br2084	7	1	0.0674199123951527	0.329846083670488	TRUE	TRUE
hippocampus	Br2242	7	1	0.0560569894783393	0.18866050105549	TRUE	TRUE
hippocampus	Br2257	7	1	0.0305231477247288	0.54477988248001	TRUE	TRUE
hippocampus	Br2263	7	1	0.0228647936686686	0.633639086621376	TRUE	TRUE
hippocampus	Br2267	7	1	0.0827897226140351	0.295475205457739	TRUE	TRUE
hippocampus	Br2271	7	1	0.0602026226406412	0.412803837354331	TRUE	TRUE
hippocampus	Br2285	7	1	0.0417192377454525	0.261326877978245	TRUE	TRUE
hippocampus	Br2288	7	1	0.083376179256656	0.338697241682476	TRUE	TRUE
