asset	source_url	version	commit	sha256	genome_build
scMD_source_archive	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	fd85dcaa013ccddbd4f564d03fdc3c64efcb0c59e4b6cf79156a1a626d1dc967	not_applicable
EPIC_hg19_annotation	https://bioconductor.org/packages/3.17/data/annotation/src/contrib/IlluminaHumanMethylationEPICanno.ilm10b4.hg19_0.6.0.tar.gz	0.6.0	Bioconductor_3.17	2c8128126b63e7fa805a5f3b02449367dca9c3be3eb5f6300acc718826590719	hg19
Lee_7ct_WGBS	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	448a87cfc88752d642eeafa53b3ae10f63243ee4a4ca726b7a0eb0dc5307ada0	hg19
Tian_7ct_WGBS	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	0945dff7e18df213f2f5281f3ad3bf64b612e68dae21383768d1535c5a058e9a	hg19
Lee_7ct_450850	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	236018d38274d2e2ccdaa04d7b649983d5920cf53900357144652b7d2e1701e8	hg19
Tian_7ct_450850	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	08a8264d4b92585de1a911ec4747c6cf0b916cdfea7b0b6c7872410be56ac307	hg19
Lee_450k_fallback	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	c9511e8c5267c1531255c0984368ec514cdac7b471eed0d81fe824577674d2f7	hg19
Tian_450k_fallback	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	1c2ab27c151f2c615697a0e81a2cd41c92e46f15e4f3756fe718f8dedd492f43	hg19
Lee_850k_fallback	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	a6601c5ae414730a5aac190409992f81cbfc9bca6196ba4a6a8146d736da204b	hg19
Tian_850k_fallback	https://github.com/randel/scMD/archive/9b4f52f4bc22ab1e39266f61a80233597e6b52c1.tar.gz	1.0.0	9b4f52f4bc22ab1e39266f61a80233597e6b52c1	7b7a23333e639868d4cd530e1a65160fe17d14ea3757498f48d6fd4cb95a5078	hg19
