"","ID#","DNum","BrNum","Region"
"1","LIBD324","D0144","Br1474","DLPFC"
"2","LIBD382","D0157","Br1811","DLPFC"
"3","LIBD383","D0160","Br1942","DLPFC"
"4","LIBD384","D0165","Br1808","DLPFC"
"5","LIBD385","D0166","Br1826","DLPFC"
"6","LIBD386","D0174","Br1805","DLPFC"
"7","LIBD387","D0175","Br1812","DLPFC"
"8","LIBD388","D0176","Br1814","DLPFC"
"9","LIBD389","D0177","Br1815","DLPFC"
"10","LIBD390","D0184","Br1813","DLPFC"
"11","LIBD391","D0187","Br1781","DLPFC"
"12","LIBD392","D0188","Br1782","DLPFC"
"13","LIBD393","D0191","Br1804","DLPFC"
"14","LIBD394","D0192","Br1806","DLPFC"
"15","LIBD395","D0197","Br1784","DLPFC"
"16","LIBD396","D0199","Br1825","DLPFC"
"17","LIBD397","D0229","Br1816","DLPFC"
"18","LIBD398","D0230","Br1824","DLPFC"
"19","LIBD303","D0249","Br1016","DLPFC"
"20","LIBD305","D0268","Br1497","DLPFC"
"21","LIBD312","D0275","Br1700","DLPFC"
"22","LIBD300","D0283","Br1684","DLPFC"
"23","LIBD313","D1198","Br1039","DLPFC"
"24","LIBD326","D1210","Br1111","DLPFC"
"25","LIBD301","D1213","Br1122","DLPFC"
"26","LIBD302","D1218","Br1142","DLPFC"
"27","LIBD288","D1219","Br1143","DLPFC"
"28","LIBD327","D1226","Br1179","DLPFC"
"29","LIBD328","D1227","Br1185","DLPFC"
"30","LIBD315","D1299","Br1473","DLPFC"
"31","LIBD289","D1302","Br1494","DLPFC"
"32","LIBD316","D1337","Br1657","DLPFC"
"33","LIBD317","D1338","Br1669","DLPFC"
"34","LIBD329","D1351","Br1764","DLPFC"
"35","LIBD304","D1463","Br1283","DLPFC"
"36","LIBD290","D1468","Br1321","DLPFC"
"37","LIBD318","D1504","Br1579","DLPFC"
"38","LIBD319","D1516","Br1637","DLPFC"
"39","LIBD320","D1531","Br1721","DLPFC"
"40","LIBD291","D1536","Br1840","DLPFC"
"41","LIBD292","D1539","Br1941","DLPFC"
"42","LIBD330","D1617","Br1898","DLPFC"
"43","LIBD321","D1627","Br1464","DLPFC"
"44","LIBD306","D1669","Br1936","DLPFC"
"45","LIBD307","D1670","Br1960","DLPFC"
"46","LIBD293","D1715","Br1067","DLPFC"
"47","LIBD314","D1734","Br1590","DLPFC"
"48","LIBD294","D1737","Br1703","DLPFC"
"49","LIBD295","D1754","Br1974","DLPFC"
"50","LIBD325","D1861","Br1279","DLPFC"
"51","LIBD296","D1865","Br1905","DLPFC"
"52","LIBD331","D1880","Br1503","DLPFC"
"53","LIBD399","D1899","Br2047","DLPFC"
"54","LIBD322","D1904","Br1529","DLPFC"
"55","LIBD400","D1926","Br2050","DLPFC"
"56","LIBD401","D1947","Br2049","DLPFC"
"57","LIBD297","D1965","Br1585","DLPFC"
"58","LIBD298","D1976","Br1665","DLPFC"
"59","LIBD323","D2022","Br1003","DLPFC"
"60","LIBD308","D2025","Br1157","DLPFC"
"61","LIBD332","D2072","Br1946","DLPFC"
"62","LIBD309","D2127","Br1676","DLPFC"
"63","LIBD299","D2128","Br1678","DLPFC"
"64","LIBD310","D5001","Br1034","DLPFC"
"65","LIBD333","D5004","Br1135","DLPFC"
"66","LIBD334","D5014","Br1504","DLPFC"
"67","LIBD359","D5139","Br1003","Hippocampus"
"68","LIBD335","D5152","Br1157","Hippocampus"
"69","LIBD371","D5154","Br1185","Hippocampus"
"70","LIBD336","D5166","Br1494","Hippocampus"
"71","LIBD360","D5174","Br1669","Hippocampus"
"72","LIBD372","D5177","Br1764","Hippocampus"
"73","LIBD347","D5179","Br1960","Hippocampus"
"74","LIBD373","D5228","Br1135","Hippocampus"
"75","LIBD348","D5233","Br1034","Hippocampus"
"76","LIBD374","D5234","Br1504","Hippocampus"
"77","LIBD361","D5826","Br1529","Hippocampus"
"78","LIBD337","D5830","Br1665","Hippocampus"
"79","LIBD349","D5831","Br1676","Hippocampus"
"80","LIBD338","D5836","Br1941","Hippocampus"
"81","LIBD339","D5854","Br1840","Hippocampus"
"82","LIBD350","D5884","Br1936","Hippocampus"
"83","LIBD340","D5886","Br1974","Hippocampus"
"84","LIBD351","D5898","Br1016","Hippocampus"
"85","LIBD352","D5914","Br1283","Hippocampus"
"86","LIBD341","D5920","Br1321","Hippocampus"
"87","LIBD353","D5946","Br1497","Hippocampus"
"88","LIBD375","D5947","Br1503","Hippocampus"
