filename	path	url_or_source	bytes	sha256	download_utc	status	notes
hg38-blacklist.v2.bed.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/hg38-blacklist.v2.bed.gz	Boyle-Lab Blacklist hg38 v2	5867	c92e763af17271446194991e71917ac220593a5a3d40a06667be24178ef08cf2	2026-07-30T16:59:02Z	ready	exclude_blacklist
genomicSuperDups.txt.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/genomicSuperDups.txt.gz	UCSC genomicSuperDups.txt.gz	4202400	3f4388ed3eb7462034e89c1f45314160bdb14558502092326063105c095061df	2026-07-30T16:59:02Z	ready	source_table
genomicSuperDups.hg38.bed.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/genomicSuperDups.hg38.bed.gz	converted from genomicSuperDups	343097	f31aa4c5e00acc4438918448bd303c96914060de95e362abf5baba337726563a	2026-07-30T16:59:02Z	ready	exclude_segmental_duplications
k24.Umap.MultiTrackMappability.bw	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/k24.Umap.MultiTrackMappability.bw	Hoffman k24 Umap MultiTrack	2028863031	2a3f97b64fb7185ad1aaa8849377e9350d0edaf1cc6624ad1f06ae51e56c97e7	2026-07-30T16:59:02Z	ready	high_mappability_scoring
libd_CT_snps_at_cpg.hg38.bed.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/libd_CT_snps_at_cpg.hg38.bed.gz	/projects/b1213/resources/libd_data/wgbs/DEM2/snps_CT	28490802	5acfc6fac58c41240dc4bdcd9660497762939070326242a0477e29a67b341393	2026-07-30T16:59:02Z	ready	exclude_common_ct_snp_at_cpg
repeat-masker.LINE_L1.hg38.bed.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/repeat-masker.LINE_L1.hg38.bed.gz	subset of repeat-masker-hg38.gz	11343393	7f3da367398db028c08f4b1932761457b643b5788009ec7c8a8e3c86b5ef1b52	2026-07-30T16:59:02Z	ready	LINE_L1_enrichment
common_snp_windows_pm150bp.hg38.bed.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/common_snp_windows_pm150bp.hg38.bed.gz	from meqtl_AA.pvar or TOPMed AA pvar	59614700	276e312359cc5f5b52a8c3fd0716ab2e707309a81d8942813c85bd4453c41d38	2026-07-30T16:59:02Z	ready	exclude_snp_proximal_cpgs_150bp
repeat-masker-hg38.gz	/gpfs/projects/b1213/users/kynon/projects/dna-methylation-heritability/inputs/supportfiles/_m/repeat-masker-hg38.gz	existing project asset	64812155	076c4594ef849fb9d35101fa453f105f810d20a2a1575c4b704ac84dc9bd5c39	2026-07-30T16:59:02Z	ready	repeat_overlap
E068-H3K9me3.gappedPeak.gz	/projects/b1213/resources/EpigenomeRoadmap/egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/gappedPeak/E068-H3K9me3.gappedPeak.gz	NIH Roadmap consolidated epigenome E068	3740429	25fa37b729075c946b7fa06d9aa76d4901a473f4268f5585c4e95ac51e837b34	2026-08-24T01:55:12Z	ready	h3k9me3_overlap_hg19
E068_15_coreMarks_mnemonics.bed.gz	/projects/b1213/resources/EpigenomeRoadmap/hmm/15core/E068_15_coreMarks_mnemonics.bed.gz	NIH Roadmap consolidated epigenome E068	2586837	f1f88a8ce7b31cb9fd82356a827a59053def0c8750f62df9037665356ad80f8b	2026-08-24T01:55:12Z	ready	quiescent_chromatin_15_Quies_hg19
E071-H3K9me3.gappedPeak.gz	/projects/b1213/resources/EpigenomeRoadmap/egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/gappedPeak/E071-H3K9me3.gappedPeak.gz	NIH Roadmap consolidated epigenome E071	2938792	0763fb7687fb5092c7e2ef1973112df1eb4ee8f81cd053ac2c77a30a74ce8297	2026-08-24T01:55:12Z	ready	h3k9me3_overlap_hg19
E071_15_coreMarks_mnemonics.bed.gz	/projects/b1213/resources/EpigenomeRoadmap/hmm/15core/E071_15_coreMarks_mnemonics.bed.gz	NIH Roadmap consolidated epigenome E071	2692583	a627560b2472d94883f913a1dc13b872bfa08dd89b0150322dfd18321eb9b0a7	2026-08-24T01:55:12Z	ready	quiescent_chromatin_15_Quies_hg19
E073-H3K9me3.gappedPeak.gz	/projects/b1213/resources/EpigenomeRoadmap/egg2.wustl.edu/roadmap/data/byFileType/peaks/consolidated/gappedPeak/E073-H3K9me3.gappedPeak.gz	NIH Roadmap consolidated epigenome E073	3229816	70fcf2a9e61693ee4e24558548b5a4874e2b18d6fbc904ce87c5aaf9069b1df3	2026-08-24T01:55:12Z	ready	h3k9me3_overlap_hg19
E073_15_coreMarks_mnemonics.bed.gz	/projects/b1213/resources/EpigenomeRoadmap/hmm/15core/E073_15_coreMarks_mnemonics.bed.gz	NIH Roadmap consolidated epigenome E073	2054404	4aaf9cc3ff3fd99a5b7c59036a83c2f250b1cb1b8921406162ae7bca6cdfcbd0	2026-08-24T01:55:12Z	ready	quiescent_chromatin_15_Quies_hg19
