Br5347	3998646010_R05C01
Br5373	3998646018_R04C01
Br5315	3998646018_R06C01
Br5422	3998646018_R07C01
Br5398	3998646026_R05C01
Br5282	3998646026_R08C01
Br5319	3998646039_R04C01
Br5359	3998646039_R06C01
Br5207	3998646040_R07C01
Br5224	3998646114_R01C01
Br5234	3998646114_R04C01
Br1613	4031091001_A
Br1558	4031091005_A
Br1695	4031091014_A
Br1674	4031091033_A
Br1565	4031091048_A
Br1669	4031091062_A
Br1649	4031091106_A
Br1550	4040296009_A
Br1033	4040296036_A
Br1288	4040296040_A
Br1568	4040296070_A
Br1378	4040296081_A
Br1351	4256126038_A
Br1865	4256126110_A
Br1446	4256126150_A
Br1023	4256126158_A
Br1443	4256126181_A
Br1474	4256126241_A
Br1113	4463344334_R01C01
Br1753	4463344375_R01C01
Br1761	4463344375_R01C02
Br1356	4463344384_R01C01
Br1204	4463344439_R01C02
Br1735	4463344451_R01C01
Br1750	4463344451_R01C02
Br1092	4463344526_R01C02
Br1578	4562457033_R01C01
Br1279	4572348328_R01C01
Br1389	4572348357_R01C01
Br1034	4572348357_R01C02
Br1183	4572348455_R01C02
Br1416	4572348608_R01C01
Br1756	4572348800_R01C02
Br1624	4572348803_R01C02
Br1214	4572348844_R01C01
Br1637	4572348852_R01C01
Br1109	4572348855_R01C02
Br1529	4572348856_R01C01
Br1610	4578942040_R01C02
Br1678	4578951114_R01C01
Br1682	4578951128_R01C01
Br1245	4578969019_R01C01
Br1842	4578969019_R01C02
Br1093	4578969056_R01C01
Br1139	4578969056_R01C02
Br1339	4578969139_R01C02
Br1738	4578969141_R01C01
Br1436	4578969143_R01C02
Br1507	4578969153_R01C01
Br1016	4578977077_R01C01
Br1499	4578977165_R01C01
Br1453	4584656023_R01C02
Br1995	4584656093_R01C02
Br1384	4584656165_R01C02
Br1383	4584664006_R01C01
Br1988	5421787064_R01C01
Br1946	5421787070_R01C01
Br1958	5421787070_R01C02
Br1594	5421787071_R01C01
Br1498	5421787073_R01C01
Br2242	5421787084_R01C02
Br1602	5421787087_R01C01
Br1203	5421787087_R01C02
Br1497	5421787095_R01C01
Br1189	5421787145_R01C02
Br1580	5421787257_R01C01
Br1646	5421787257_R01C02
Br1987	5511192062_R01C02
Br1998	5511192119_R01C01
Br1980	5511192158_R01C01
Br1960	5511205011_R01C02
Br2285	5535506145_R01C01
Br2288	5535506145_R01C02
Br1676	5535522098_R01C01
Br2009	5535522104_R01C02
Br2292	5535522132_R01C01
Br2271	5535549054_R01C01
Br2044	5535549067_R01C02
Br2084	5535549082_R01C01
Br2257	6051001032_R01C02
Br2337	8501601012_R01C01
Br2001	8501601012_R03C01
Br2464	9348679007_R03C01
Br2470	9348679007_R04C01
Br2542	9373408021_R03C01
Br2353	9828658127_R01C01
Br5182	9828658127_R04C01
Br5287	9828658132_R03C01
Br2423	9828658132_R04C01
Br5292	9828658156_R03C01
Br2425	9828658156_R04C01
Br5324	9829125009_R03C01
Br2534	9829125020_R03C01
Br5205	9829125020_R04C01
Br5262	9829125024_R01C01
Br2476	9829125027_R01C01
Br2573	9829125027_R03C01
Br5212	9829125027_R04C01
Br5066	9829181002_R02C01
Br5200	9829181002_R04C01
Br2454	9829181011_R04C01
Br5005	9829181016_R02C01
Br5161	9829181016_R04C01
Br2582	9853746043_R02C01
Br5154	9853746043_R04C01
Br2346	9853746044_R04C01
Br5062	9853746068_R02C01
Br2052	9853746068_R03C01
Br5228	9853746074_R01C01
Br5280	9853746074_R03C01
Br2421	9853746110_R04C01
Br5165	9853746126_R04C01
Br5488	9964045093_R05C01
Br5239	9964045102_R05C01
Br5242	9964045102_R06C01
Br5584	9964045117_R05C01
Br5590	9964045141_R05C01
Br1654	201398400130_R05C01
