tissue	chr	total_cpg	top1_cpg	sd_cutoff
DLPFC	1	1810613	18107	0.0949223837572573
DLPFC	2	1626865	16269	0.0778878697479534
DLPFC	3	1208473	12085	0.0787752236181464
DLPFC	4	1014683	10147	0.0775038507794382
DLPFC	5	1090291	10903	0.077701304680165
DLPFC	6	1103276	11033	0.0837740023572696
DLPFC	7	1164994	11650	0.0792043517629308
DLPFC	8	970930	9710	0.079635548145681
DLPFC	9	899262	8993	0.0820960552167151
DLPFC	10	1048945	10490	0.0785130082252869
DLPFC	11	1014632	10147	0.0769100154924237
DLPFC	12	990975	9910	0.0762232531118264
DLPFC	13	572203	5723	0.0798509500681678
DLPFC	14	659225	6593	0.0768304041679417
DLPFC	15	658639	6587	0.0757309105414911
DLPFC	16	882018	8821	0.0784067129211377
DLPFC	17	977959	9780	0.0821817735207501
DLPFC	18	504811	5049	0.0794635383676521
DLPFC	19	919372	9194	0.080940083668588
DLPFC	20	616374	6164	0.082807063934501
DLPFC	21	280670	2807	0.0859773258992269
DLPFC	22	491930	4920	0.0794596027996021
DLPFC	X	608580	6086	0.200285444893979
DLPFC	Y	1141	12	0.181409409876545
