vmr_id	chrom	start	end	n_cpgs	vmr_set_id	n_AA	num_snps_AA	n_variants_AA	snps_in_window_AA	p_eff_AA	ld_metric_AA	mean_methylation_AA	methylation_variance_AA	bslmm_pve_AA	bslmm_pve_q025_AA	bslmm_pve_q975_AA	he_h2_AA	he_se_AA	he_pvalue_AA	rho2_oof_AA	r2_oof_AA	feature_complete_AA	computational_failure_AA	terminal_status_AA	exclusion_reason_AA	joint_pve_domain_status_AA	pve_cis_joint_unbounded_AA	pve_cis_joint_calibrated_AA	local_genetic_control_eligible_AA	local_genetic_control_exclusion_reason_AA	local_snp_contribution_score_AA	local_snp_contribution_score_z_AA	local_snp_contribution_quartile_AA	n_EA	num_snps_EA	n_variants_EA	snps_in_window_EA	p_eff_EA	ld_metric_EA	mean_methylation_EA	methylation_variance_EA	bslmm_pve_EA	bslmm_pve_q025_EA	bslmm_pve_q975_EA	he_h2_EA	he_se_EA	he_pvalue_EA	rho2_oof_EA	r2_oof_EA	feature_complete_EA	computational_failure_EA	terminal_status_EA	exclusion_reason_EA	joint_pve_domain_status_EA	pve_cis_joint_unbounded_EA	pve_cis_joint_calibrated_EA	local_genetic_control_eligible_EA	local_genetic_control_exclusion_reason_EA	local_snp_contribution_score_EA	local_snp_contribution_score_z_EA	local_snp_contribution_quartile_EA	comparable_in_both	comparability	region	catalog_cohort	donor_groups	upstream_lgv_run_id_1	upstream_lgv_run_id_2	upstream_catalog_run_id	absolute_pve_interpretation_allowed	rank_scope	pooled_rank_emitted	donor_group_inference	cross_group_raw_score_comparison	ancestry_effect_claim_allowed
chr10:100348146-100348919	chr10	100348146	100348919	6	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1798	1798	2252	23.5112618613307	0.200175947092847	0.317730881925838	0.00919457392354243	0.0833000364979424	0.002960590875	0.253275225	0.0185668604006041	0.0488249739580314	0.70374909816269	0.0111942714973388	0.00405527077717149	TRUE	FALSE	completed		within_domain	-0.118090088294178	0	TRUE		0.158145118264272	-1.18416740075211	bottom_quartile	129	1685	1685	2252	11.9898740381677	0.822016360799703	0.317979184113008	0.0082347777416762	0.0452491693223397	0.0009155858575	0.17217791	-0.0353849579319502	0.0398974526532063	0.37515983461586	0	-4.02522085034551e-05	TRUE	FALSE	completed		within_domain	-0.0944534280579124	0	TRUE		0.397626244665718	-0.354617327979005	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:100621189-100622124	chr10	100621189	100622124	11	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1599	1599	1966	26.3663590835973	0.259062411399197	0.352638687032843	0.00767972121996539	0.26549292417414	0.06227188775	0.48655081	0.0869612304655896	0.0522226885471299	0.0958997687084436	0.0151282372042892	0.007224571279703	TRUE	FALSE	completed		within_domain	-0.00736566698455909	0	TRUE		0.60310332562689	0.357144518447671	middle_50_percent	129	1619	1619	1966	14.657828882461	0.836515791245388	0.346769827432084	0.00772123409925806	0.059927736393994	0.001777645	0.2016026425	-0.0148657772830595	0.0447220356701253	0.739592765315124	0	-3.26139349131616e-05	TRUE	FALSE	completed		within_domain	-0.0711973629223924	0	TRUE		0.49897759601707	-0.00354155386170956	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:100736368-100736975	chr10	100736368	100736975	9	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1664	1664	2061	30.6291719623009	0.227200022879253	0.607835493359188	0.00727159224467797	0.147147872248369	0.01467958	0.3327693125	0.0877986870751125	0.0573536028852569	0.125838314054514	0	-0.000109307508871614	TRUE	FALSE	completed		within_domain	-0.0675727864448478	0	TRUE		0.478614618531033	-0.0740778410406769	middle_50_percent	129	1783	1783	2061	17.0948328378254	0.945784441499134	0.609604933618752	0.00652035017254484	0.20396506599142	0.0438903345	0.4130919775	0.110374885963379	0.0486518154055825	0.0233141452822591	0.0138192439904304	0.00643141634018829	TRUE	FALSE	completed		within_domain	0.0240163213987882	0.0240163213987882	TRUE		0.648248577524893	0.513525309947887	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:100866735-100866991	chr10	100866735	100866991	12	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1716	1716	2116	32.2084758056751	0.344779785525133	0.460433200318042	0.00469890301625324	0.18793998322787	0.05665793225	0.3400463925	0.0926677311694645	0.0592718140380316	0.117977123893114	0.0106666356652182	0.00201076064362704	TRUE	FALSE	completed		within_domain	-0.0257364569888023	0	TRUE		0.581051040369909	0.280756557624021	middle_50_percent	129	1867	1867	2116	18.1814026831425	0.502639394565118	0.43788240789342	0.0051712571995646	0.157443655115826	0.020757039	0.3261444	0.0759153331158825	0.05042641691531	0.132242184664142	0.00584541098370638	0.00464945206629208	TRUE	FALSE	completed		within_domain	-0.0622648253667499	0	TRUE		0.528138335704125	0.0974697214983544	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:100882751-100882949	chr10	100882751	100882949	11	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1721	1721	2113	32.1971764297296	0.30688515658614	0.494702102172612	0.00545495896275202	0.0450525168806857	0.0013520687	0.1413580275	-0.0353358187605825	0.0591485032563529	0.550246313282985	0	-1.498651891918e-06	TRUE	FALSE	completed		within_domain	-0.104526197506398	0	TRUE		0.246887782322604	-0.876767461631131	bottom_quartile	129	1868	1868	2113	18.1483865199486	0.498561570357775	0.503185727010882	0.00626476811692591	0.10454123076476	0.003404654775	0.306992875	-0.0126296037512834	0.050394201518923	0.802117086291267	0.00339693643476103	-0.00205509176638707	TRUE	FALSE	completed		within_domain	-0.0895727235997296	0	TRUE		0.422608463726885	-0.268080229271146	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:101005593-101007099	chr10	101005593	101007099	52	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1697	1697	2074	29.459078484553	0.304633127065607	0.543794436611379	0.00665364809745688	0.0710885827322946	0.002414287	0.215261295	-0.0154925851212639	0.0561272041829996	0.782532763803002	0	-1.30407042038261e-05	TRUE	FALSE	completed		within_domain	-0.0969316573339345	0	TRUE		0.302996621020807	-0.682409383890311	middle_50_percent	129	1826	1826	2074	21.95436344096	0.529511456763294	0.541488894993209	0.00664548901932074	0.0823372859778999	0.002332201125	0.2611825	-0.016440801228291	0.0562804449442285	0.770200075727458	0	-0.000216478467920389	TRUE	FALSE	completed		within_domain	-0.0845954854107843	0	TRUE		0.446434921763869	-0.185546626233045	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:101008423-101008841	chr10	101008423	101008841	10	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1691	1691	2068	29.532191898263	0.304309499581826	0.462914618396344	0.0102006761244008	0.055758729049559	0.001375373	0.187838215	-0.0236242507199186	0.0560413184978565	0.673360873349063	0	-1.57775796829629e-05	TRUE	FALSE	completed		within_domain	-0.104113748731921	0	TRUE		0.249555397474658	-0.867526982499237	bottom_quartile	129	1820	1820	2068	22.0878751583671	0.51056784839712	0.459304159655982	0.00866320267004924	0.051175994792813	0.0014577677	0.1699835025	-0.0402418717278117	0.0565698651946875	0.47687764150274	0	-3.66594770335738e-05	TRUE	FALSE	completed		within_domain	-0.101889655179871	0	TRUE		0.35575213371266	-0.499667055706415	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:101124141-101124469	chr10	101124141	101124469	8	vmrset-all_individuals-caudate-cb5519d7d2ad	153	1661	1661	2044	22.8776961946737	0.205749135509897	0.503555910760065	0.00537904749583826	0.144404133260806	0.016907816	0.3263017675	0.0669826710746669	0.0482109415634232	0.164747914606215	0.0120481047923461	0.000619774051939692	TRUE	FALSE	completed		within_domain	-0.0852501949878898	0	TRUE		0.385070247199004	-0.398110642599064	middle_50_percent	129	1797	1797	2044	18.2704958380039	0.450928302734984	0.473931960777093	0.00586315869031764	0.168137214551566	0.01775019925	0.3633044325	0.0641996015229421	0.0504977348818451	0.203644871085679	0.00266999690617622	0.00126500573115096	TRUE	FALSE	completed		within_domain	-0.0634051932595608	0	TRUE		0.523959815078236	0.08299554484615	middle_50_percent	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:101774292-101774971	chr10	101774292	101774971	22	vmrset-all_individuals-caudate-cb5519d7d2ad	153	967	967	1336	9.43291888477856	0.30688515658614	0.379686446670089	0.00714465987379305	0.10952787203054	0.01999273575	0.2468856725	0.15732446282257	0.0293107147565324	8.13823689068494e-08	0.0263247404226232	0.00426356437360464	TRUE	FALSE	completed		within_domain	-0.111411888086819	0	TRUE		0.199848835141384	-1.03970791032351	bottom_quartile	129	1172	1172	1336	7.48996644977797	0.214418577641412	0.341209254743541	0.00546585479791258	0.0406598124023239	0.0008411367	0.157365175	-0.0251011577381999	0.0309089838892351	0.416758194155992	0	-3.71473213154339e-05	TRUE	FALSE	completed		within_domain	-0.193869923729371	0	TRUE		0.0111575391180654	-1.69332468770522	bottom_quartile	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:101843180-101843327	chr10	101843180	101843327	7	vmrset-all_individuals-caudate-cb5519d7d2ad	153	875	875	1237	7.9574935645291	0.30688515658614	0.602096473866676	0.00592509079840406	0.088538393531231	0.005452336175	0.24766292	0.0210042602428837	0.0268768849226406	0.434524944530858	0	-4.26215514477413e-05	TRUE	FALSE	completed		within_domain	-0.1367396987977	0	TRUE		0.0643339854170372	-1.50912425022369	bottom_quartile	129	1072	1072	1237	6.74300672515736	0.116939284926873	0.594898324291181	0.00626203092896718	0.0404656369314153	0.0009302775875	0.1494692075	-0.00640462096265133	0.0291509604331635	0.82610609756371	0	-4.72321734996672e-05	TRUE	FALSE	completed		within_domain	-0.209908217192999	0	TRUE		0.00564544807965861	-1.71241828243792	bottom_quartile	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:102113312-102114054	chr10	102113312	102114054	7	vmrset-all_individuals-caudate-cb5519d7d2ad	153	891	891	1276	11.5927667734973	0.271426593461632	0.423836052983166	0.00700261741194376	0.0326662151706793	0.00092116932	0.1144310225	-0.00811113408524171	0.03271720485085	0.804203411199034	0	-2.26747989389153e-05	TRUE	FALSE	completed		within_domain	-0.146871369887051	0	TRUE		0.0370353903610173	-1.60368515334006	bottom_quartile	129	1119	1119	1276	9.74883135270513	0.116019019398166	0.427375791363319	0.00624370180773449	0.057918960419821	0.001880839475	0.1905734925	0.0065225001483919	0.035599094250504	0.854629150923638	0	-7.55934590923601e-06	TRUE	FALSE	completed		within_domain	-0.181151054734562	0	TRUE		0.0205814366998578	-1.66068079993642	bottom_quartile	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
chr10:102116204-102116284	chr10	102116204	102116284	6	vmrset-all_individuals-caudate-cb5519d7d2ad	153	892	892	1277	11.4619350054174	0.263114664863649	0.570447329076648	0.00621963675994909	0.0308349105862348	0.0005040135	0.118818535	-0.0295772537528478	0.0325108784104353	0.362965406372365	0	-4.21562387111774e-05	TRUE	FALSE	completed		within_domain	-0.149674250319148	0	TRUE		0.032055842077183	-1.62093404771959	bottom_quartile	129	1119	1119	1277	9.67135442753345	0.120987621514728	0.558895127076803	0.00509173928980936	0.0336405712341887	0.0007498313075	0.1259836925	-0.0258777174239635	0.0354087337191683	0.464904559489976	0	-6.26515086148416e-05	TRUE	FALSE	completed		within_domain	-0.192739484955645	0	TRUE		0.0122243954480797	-1.68962915324083	bottom_quartile	TRUE	both	caudate	all_individuals	AA,EA	lgv-all_individuals.AA-caudate-20260913	lgv-all_individuals.EA-caudate-20260917	vmrcat-all_individuals-caudate-20260816	FALSE	cohort_by_region	FALSE	concordance_only	FALSE	FALSE
