task_id	chrom	start	end	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	region
1	X	100407724	100408397	235	14	0.0845384520864823	0.615264175186628	caudate
10	X	101931120	101932284	87	11	0.0734544817392956		caudate
100	X	132022791	132022991	137	18	0.0276341657398993	0.403886687832183	caudate
1000	1	244053846	244054590	603	11	0.087864433144283	0.867579818387734	caudate
10000	16	77213253	77213438	508	11	0.0754285452296048	0.890389772800455	caudate
10001	16	77432668	77433728	611	15	0.230087692456454	0.911958952091918	caudate
10002	16	77660265	77660597	688	11	0.0875416172031657	0.930371305019196	caudate
10003	16	77804775	77805737	725	11	0.304669889157843	0.916503023345833	caudate
10004	16	7808677	7810297	866	11	0.478519859670162	0.931944760526146	caudate
10005	16	7815798	7816316	865	14	0.593669476675872	0.943508394084154	caudate
10006	16	78339517	78344566	840	23	0.0380212298460203	0.781520344049421	caudate
10007	16	78485466	78485714	936	13	0.132276412353166	0.925287734581255	caudate
10008	16	78770583	78770871	1033	13	0.0875888114805733	0.966514871201686	caudate
10009	16	79591986	79592508	705	16	0.0985141966844768	0.925229018769444	caudate
1001	1	2441838	2442339	499	19	0.103662458222342	0.877715813900938	caudate
10010	16	79597014	79597731	711	11	0.103366498842131	0.939595805517875	caudate
10011	16	8014939	8016218	844	13	0.318765429842723	0.92867624274562	caudate
10012	16	807031	808601	792	11	0.10909700302941	0.95084815457502	caudate
10013	16	8075795	8077169	862	18	0.761341335463379	0.93374014432202	caudate
10014	16	81008291	81008410	674	11	0.116660589435436	0.916153031009082	caudate
10015	16	81168794	81170060	717	12	0.638289851310557	0.924676566035702	caudate
10016	16	81263813	81264237	763	12	0.140085162203824	0.970245497985563	caudate
10017	16	81273234	81273499	765	11	0.105588864001962	0.949532806567548	caudate
10018	16	81446866	81447062	895	13	0.0798773266847902	0.964122674489357	caudate
10019	16	81582944	81583571	929	17	0.106269138688186	0.968617119561817	caudate
1002	1	244218208	244219120	649	11	0.0697029209412053	0.915461738123117	caudate
10020	16	81609571	81610595	938	11	0.0734895565317847	0.969775242731054	caudate
10021	16	81618622	81619059	932	11	0.0734568088655121	0.962526094138263	caudate
10022	16	81693326	81693690	821	11	0.109554866589594	0.957525161682938	caudate
10023	16	817065	818036	787	14	0.0499329965956406	0.942889141107774	caudate
10024	16	81890599	81890829	856	11	0.102227608393925	0.947208622949967	caudate
10025	16	81895416	81896112	836	11	0.132829104509023	0.92770857229162	caudate
10026	16	81937739	81938077	859	11	0.173367686636445	0.91171016056708	caudate
10027	16	825020	825257	812	11	0.0870722770823082	0.953378596739473	caudate
10028	16	825798	826171	797	12	0.148419681148877	0.911337738022306	caudate
10029	16	83137418	83137768	888	15	0.0637186051916481	0.960732749432828	caudate
1003	1	2444309	2444680	502	11	0.0524757683418411	0.886078773201047	caudate
10030	16	83951283	83951672	1098	11	0.188639729972065	0.951730297122968	caudate
