cohort	tissue	population	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
BA_only	hippocampus	AA	expression	chr11_8206142_8206255	chr11	8206142	8206255	Heritable	0.155721145893018	3	3	0	0	0.0372762702242909	0.436132361624204	0.749369391043598	-0.749369391043598
BA_only	hippocampus	AA	expression	chr12_110079513_110080004	chr12	110079513	110080004	Non-heritable	0.0354663488162298	1	1	0	0	0.723084629292893	0.909687114271704	0.115234043898059	0.115234043898059
BA_only	hippocampus	AA	expression	chr12_12010065_12011254	chr12	12010065	12011254	Heritable	0.143751069978829	1	1	0	0	0.26036489832147	0.796922285302057	0.570685540270738	-0.570685540270738
BA_only	hippocampus	AA	expression	chr12_123448116_123448221	chr12	123448116	123448221	Heritable	0.152204780689818	1	1	0	0	0.456435153801187	0.847665285630776	0.305692578218004	-0.305692578218004
BA_only	hippocampus	AA	expression	chr12_124713749_124713936	chr12	124713749	124713936	Non-heritable	0.0615285043899393	1	1	0	0	0.425037191570281	0.839179748729958	0.574690099392171	0.574690099392171
BA_only	hippocampus	AA	expression	chr12_124726971_124727518	chr12	124726971	124727518	Heritable	0.111588784370008	1	1	0	0	0.0588434978988599	0.55123076840557	1.12022266314504	-1.12022266314504
BA_only	hippocampus	AA	expression	chr12_128844470_128844591	chr12	128844470	128844591	Non-heritable	0.082576858635692	2	2	0	0	0.0849721273513324	0.55123076840557	0.952682930320922	-0.952682930320922
BA_only	hippocampus	AA	expression	chr12_31353971_31354086	chr12	31353971	31354086	Non-heritable	0.017681470111044	2	2	0	0	0.334897120810429	0.796922285302057	0.85107682699114	-0.85107682699114
BA_only	hippocampus	AA	expression	chr12_32390895_32391529	chr12	32390895	32391529	Heritable	0.16017869100523	1	1	0	0	0.128308118830909	0.645300581761018	0.492245401487793	-0.492245401487793
BA_only	hippocampus	AA	expression	chr13_109739079_109740510	chr13	109739079	109740510	Heritable	0.526679024793226	2	2	0	0	0.0866830569558995	0.55123076840557	0.361151003045832	0.361151003045832
