vmr_id	feature_type	nearest_feature_id	nearest_feature_name	nearest_distance	seqnames	start	end	h2_category	h2_unscaled	r_squared_cv	num_snps	population	vmr_length	log_nearest_distance	within_10kb	within_100kb
chrX_101097701_101098473	gene	ENSG00000102384	CENPI	0	chrX	101097701	101098473	Non-heritable	0.0302582979606026	0.588513836680909	240	AA	772	0	TRUE	TRUE
chrX_119236502_119237151	gene	ENSG00000101856	PGRMC1	0	chrX	119236502	119237151	Non-heritable	0.0421146063408858	0.702145476011503	273	AA	649	0	TRUE	TRUE
chrX_48508388_48508570	gene	ENSG00000224292	PORCN-DT	0	chrX	48508388	48508570	Non-heritable	0.0288299318002987	0.650398306489983	130	AA	182	0	TRUE	TRUE
chr1_7823005_7823818	gene	ENSG00000236266	ENSG00000236266	0	chr1	7823005	7823818	Non-heritable	0.0729407471578787	0.96678203651295	610	AA	813	0	TRUE	TRUE
chr22_19448520_19448794	gene	ENSG00000185065	UFD1-AS1	0	chr22	19448520	19448794	Heritable	0.169685478176324	0.922231947030678	509	AA	274	0	TRUE	TRUE
chr22_19584692_19585011	gene	ENSG00000302501	ENSG00000302501	0	chr22	19584692	19585011	Heritable	0.149524718166668	0.940550173093707	522	AA	319	0	TRUE	TRUE
chr22_19641192_19642083	gene	ENSG00000230485	ENSG00000230485	7617	chr22	19641192	19642083	Heritable	0.471383082689319	0.923670663893847	524	AA	891	8.93826914703855	TRUE	TRUE
chr22_19909717_19910193	gene	ENSG00000184470	TXNRD2	0	chr22	19909717	19910193	Heritable	0.130626411118769	0.950863717439568	580	AA	476	0	TRUE	TRUE
chr22_20241889_20242169	gene	ENSG00000040608	RTN4R	0	chr22	20241889	20242169	Non-heritable	0.0878103533813309	0.880350017463319	569	AA	280	0	TRUE	TRUE
chr22_20591889_20592485	gene	ENSG00000307604	ENSG00000307604	0	chr22	20591889	20592485	Heritable	0.555457809312919	0.906865870930609	531	AA	596	0	TRUE	TRUE
chr22_20670846_20671773	gene	ENSG00000229107	ABHD17AP4	0	chr22	20670846	20671773	Heritable	0.124077946643237	0.939064497623483	517	AA	927	0	TRUE	TRUE
chr22_20717709_20719058	gene	ENSG00000241973	PI4KA	0	chr22	20717709	20719058	Heritable	0.346929615390042	0.881318908450945	488	AA	1349	0	TRUE	TRUE
chr22_20772242_20772588	gene	ENSG00000241973	PI4KA	0	chr22	20772242	20772588	Heritable	0.156900968702576	0.916246764644488	430	AA	346	0	TRUE	TRUE
chr22_21101539_21101808	gene	ENSG00000291044	ENSG00000291044	1052	chr22	21101539	21101808	Heritable	0.100938100993331	0.893460219238941	361	AA	269	6.95939851213398	TRUE	TRUE
chr1_7849277_7849904	gene	ENSG00000049247	UTS2	0	chr1	7849277	7849904	Non-heritable	0.0394442066990263	0.898185417319297	605	AA	627	0	TRUE	TRUE
chr22_21102958_21103921	gene	ENSG00000291044	ENSG00000291044	0	chr22	21102958	21103921	Heritable	0.110148773372489	0.864960847555023	349	AA	963	0	TRUE	TRUE
chr22_21149865_21151153	gene	ENSG00000291044	ENSG00000291044	0	chr22	21149865	21151153	Non-heritable	0.0724946674225913	0.736573428553711	308	AA	1288	0	TRUE	TRUE
chr22_21802994_21804193	gene	ENSG00000100030	MAPK1	0	chr22	21802994	21804193	Heritable	0.113558816170401	0.891461520022467	374	AA	1199	0	TRUE	TRUE
chr22_21864903_21866114	gene	ENSG00000100030	MAPK1	0	chr22	21864903	21866114	Non-heritable	0.0914159266138285	0.868050303191984	375	AA	1211	0	TRUE	TRUE
chr22_21933831_21934368	gene	ENSG00000100034	PPM1F	0	chr22	21933831	21934368	Non-heritable	0.0659562468334613	0.897985452995988	388	AA	537	0	TRUE	TRUE
