task_id_AA	chrom	start	end	num_snps_AA	boosting_iterations_performed_AA	h2_unscaled_AA	r_squared_cv_AA	region	h2_category	feature_id	task_id_EA	num_snps_EA	boosting_iterations_performed_EA	h2_unscaled_EA	r_squared_cv_EA
1	chrX	100407724	100408397	181	11	0.0746775592101127	0.58084341333732	Caudate	Non-heritable	chrX_100407724_100408397	1	104	11	0.0752769052428915	0.546697669833412
10	chrX	101931120	101932284	129	16	0.0613795345995031	0.348002961319816	Caudate	Non-heritable	chrX_101931120_101932284	10	82	11	0.0346877914766611	0.338578841701855
100	chrX	131783237	131783925	135	12	0.0858226789278343	0.501069898293903	Caudate	Non-heritable	chrX_131783237_131783925	100	87	11	0.014284817913023	0.344082954071039
10000	chr16	85538147	85538402	1418	11	0.0984498546320969	0.98387051380749	Caudate	Non-heritable	chr16_85538147_85538402	10000	700	11	0.0982759741315861	0.958516934289544
10001	chr16	85557351	85557566	1418	11	0.0953568188716698	0.987295953689792	Caudate	Non-heritable	chr16_85557351_85557566	10001	692	11	0.0629905088279429	0.968454348698369
10002	chr16	85584077	85584225	1401	17	0.0691357425590796	0.982427873939981	Caudate	Non-heritable	chr16_85584077_85584225	10002	665	13	0.0816669384847337	0.967681121999649
10003	chr16	85586334	85586619	1401	11	0.0666454458332736	0.983878615374157	Caudate	Non-heritable	chr16_85586334_85586619	10003	687	16	0.0850518457096121	0.966966937676429
10004	chr16	85593685	85593982	1389	11	0.0628628040602729	0.986323928267812	Caudate	Non-heritable	chr16_85593685_85593982	10004	694	11	0.0971164791299735	0.962634179907374
10007	chr16	85650857	85651812	1353	16	0.0805686432070211	0.986483313734277	Caudate	Non-heritable	chr16_85650857_85651812	10007	667	11	0.0654799168614467	0.963343901276367
10008	chr16	85653418	85653634	1384	15	0.0802571385086854	0.981861858449412	Caudate	Non-heritable	chr16_85653418_85653634	10008	657	11	0.0795377876070585	0.963052306988224
1001	chr1	245099325	245099920	826	17	0.0547490063623043	0.962191374556944	Caudate	Non-heritable	chr1_245099325_245099920	1001	403	12	0.040549144477414	0.86574293237911
10014	chr16	86281461	86281688	1325	11	0.102165903853781	0.981051073064053	Caudate	Heritable	chr16_86281461_86281688	10014	628	11	0.236010557401163	0.914294074360699
10015	chr16	86285648	86285899	1318	11	0.192909879979033	0.965122518107331	Caudate	Heritable	chr16_86285648_86285899	10015	632	21	0.171257753965342	0.917567058998515
10017	chr16	86343217	86343338	1293	11	0.0975345616687976	0.98572268276075	Caudate	Non-heritable	chr16_86343217_86343338	10017	612	11	0.0410601730535742	0.949038303847202
10018	chr16	86494097	86494399	1248	15	0.110579051653101	0.985540022409516	Caudate	Heritable	chr16_86494097_86494399	10018	571	11	0.102007667274686	0.94245291052598
10019	chr16	86494618	86494872	1231	11	0.0824615561642917	0.975020915048515	Caudate	Non-heritable	chr16_86494618_86494872	10019	575	16	0.0924256473676102	0.951915585381932
10021	chr16	86533337	86535125	1205	11	0.104362387921401	0.976700708599132	Caudate	Heritable	chr16_86533337_86535125	10021	563	11	0.134921564471515	0.937287863189238
10022	chr16	8661792	8662118	945	16	0.322980895807137	0.931004373182354	Caudate	Heritable	chr16_8661792_8662118	10022	496	11	0.24785255111803	0.887789535279644
10023	chr16	86761702	86762112	1237	11	0.105513203912366	0.961151178249122	Caudate	Heritable	chr16_86761702_86762112	10023	576	15	0.446954794942895	0.936972624113795
10025	chr16	86791540	86792456	1263	11	0.113117463940153	0.955571088495283	Caudate	Heritable	chr16_86791540_86792456	10025	601	13	0.225667147903215	0.935625180177267
10026	chr16	86806854	86807232	1260	14	0.0640832120544806	0.887102188073553	Caudate	Non-heritable	chr16_86806854_86807232	10026	602	11	0.0933998462044418	0.940593934369246
10027	chr16	86935105	86935580	1278	12	0.0939717826292602	0.981081987554892	Caudate	Non-heritable	chr16_86935105_86935580	10027	616	11	0.0724156148173902	0.956141034817254
10028	chr16	86942672	86942940	1298	14	0.0851936337724162	0.981464383097961	Caudate	Non-heritable	chr16_86942672_86942940	10028	613	11	0.0627497842538651	0.941264714496521
10029	chr16	87216436	87217083	1136	11	0.0749638756058244	0.975265440538345	Caudate	Non-heritable	chr16_87216436_87217083	10029	561	12	0.0513391852129128	0.937902078177545
10030	chr16	87333025	87333434	1110	11	0.0827196176784926	0.976023090226707	Caudate	Non-heritable	chr16_87333025_87333434	10030	530	12	0.0832176855577436	0.949748490705676
10036	chr16	87518934	87519173	1005	11	0.0548479364602284	0.962369628030571	Caudate	Non-heritable	chr16_87518934_87519173	10036	510	13	0.0894562601667222	0.885639797246434
10037	chr16	87550444	87550609	1019	11	0.0944896104489267	0.970608604997779	Caudate	Non-heritable	chr16_87550444_87550609	10037	500	18	0.0477592068460557	0.880191641218053
10038	chr16	87560258	87560488	1017	15	0.090603809935986	0.971410154609057	Caudate	Non-heritable	chr16_87560258_87560488	10038	512	14	0.0518521342213895	0.901533019723766
1004	chr1	245652510	245653681	726	11	0.444882626339436	0.895368215183555	Caudate	Heritable	chr1_245652510_245653681	1004	363	11	0.641880023430442	0.866103657654164
10041	chr16	87684207	87684455	1034	15	0.0873593162314956	0.970222476648525	Caudate	Non-heritable	chr16_87684207_87684455	10041	524	11	0.0615114022952236	0.920980861900075
10043	chr16	87704846	87705947	1019	11	0.112786523510472	0.966610023317698	Caudate	Heritable	chr16_87704846_87705947	10043	508	11	0.136482367342931	0.925007767216321
10045	chr16	87725875	87726202	1019	11	0.0699893150778794	0.964197382440997	Caudate	Non-heritable	chr16_87725875_87726202	10045	512	13	0.0840876159509209	0.937860188895291
10046	chr16	87740878	87741076	1001	16	0.0933018102735827	0.972243438317577	Caudate	Non-heritable	chr16_87740878_87741076	10046	504	11	0.0656928927518069	0.885348556351619
10047	chr16	87779415	87779518	1012	13	0.0935213150535846	0.971563269365464	Caudate	Non-heritable	chr16_87779415_87779518	10047	513	11	0.0758601647839522	0.918963934539351
10049	chr16	87844358	87844703	1009	14	0.229332296037063	0.92348743628127	Caudate	Heritable	chr16_87844358_87844703	10049	527	11	0.263852440700985	0.909044896161213
1005	chr1	245687619	245688640	747	12	0.0843584910088036	0.940131093706062	Caudate	Non-heritable	chr1_245687619_245688640	1005	380	14	0.0715350124239241	0.884129009587426
10050	chr16	87874545	87875083	1018	15	0.413627123377763	0.935105057270444	Caudate	Heritable	chr16_87874545_87875083	10050	534	15	0.457144774660858	0.898466475262251
10051	chr16	87911230	87911552	993	12	0.125521509185668	0.972468717024283	Caudate	Heritable	chr16_87911230_87911552	10051	510	11	0.110224166115257	0.937904170988337
10052	chr16	87931779	87931904	1008	13	0.117148165708262	0.976001717901493	Caudate	Heritable	chr16_87931779_87931904	10052	514	11	0.11741549456947	0.882056007270361
10054	chr16	88019287	88019947	972	11	0.104194359806623	0.951161535966277	Caudate	Heritable	chr16_88019287_88019947	10054	508	11	0.103683357153973	0.919678578680869
10058	chr16	88091741	88091851	945	11	0.123707700600788	0.967785184299041	Caudate	Heritable	chr16_88091741_88091851	10058	505	18	0.118541570431533	0.924507495260054
10059	chr16	88091958	88092097	958	16	0.115178860826424	0.972259696184155	Caudate	Heritable	chr16_88091958_88092097	10059	504	11	0.110994876147382	0.927867271008851
10060	chr16	88093716	88094246	943	15	0.0691966685117804	0.969149035635691	Caudate	Non-heritable	chr16_88093716_88094246	10060	503	16	0.0936560705849011	0.922000238306598
10061	chr16	88101871	88102033	934	11	0.0703972242651238	0.962976927829089	Caudate	Non-heritable	chr16_88101871_88102033	10061	502	11	0.0470127868026848	0.930742947201827
10062	chr16	88116506	88116763	948	11	0.0902423005411641	0.957257752385276	Caudate	Non-heritable	chr16_88116506_88116763	10062	506	11	0.0834478601991616	0.897377557012235
10066	chr16	88159349	88159882	939	11	0.0677813860511241	0.959598339631888	Caudate	Non-heritable	chr16_88159349_88159882	10066	489	18	0.0942462754412565	0.899359715822914
10069	chr16	88258716	88258993	895	11	0.0873867428570087	0.95804805008078	Caudate	Non-heritable	chr16_88258716_88258993	10069	486	12	0.0770624915496157	0.911697878597095
10073	chr16	88357636	88358041	867	15	0.101217276093615	0.96647165365939	Caudate	Heritable	chr16_88357636_88358041	10073	486	11	0.105572711196621	0.928396966076467
10074	chr16	88367800	88368259	888	11	0.117035646344999	0.963248079521752	Caudate	Heritable	chr16_88367800_88368259	10074	450	15	0.12459662670099	0.912960356974809
10075	chr16	88374743	88374811	862	11	0.0671289151237378	0.956394073521816	Caudate	Non-heritable	chr16_88374743_88374811	10075	465	14	0.0540219370631987	0.877905360742491
10076	chr16	88376498	88376759	889	15	0.105383594929189	0.963516888263393	Caudate	Heritable	chr16_88376498_88376759	10076	469	11	0.102244303051901	0.893414881864225
1008	chr1	246504927	246505473	711	11	0.375151132915614	0.882759844659641	Caudate	Heritable	chr1_246504927_246505473	1008	354	15	0.402481672420676	0.860313720526064
10080	chr16	88468880	88469086	895	11	0.119267821876905	0.954405348629117	Caudate	Heritable	chr16_88468880_88469086	10080	480	11	0.116073916019148	0.911071522724884
10081	chr16	88480887	88481171	878	14	0.0568066451572508	0.954537762514147	Caudate	Non-heritable	chr16_88480887_88481171	10081	475	11	0.0951550477069448	0.909607044440014
10082	chr16	88514889	88514974	859	11	0.0533872916948973	0.954626922942673	Caudate	Non-heritable	chr16_88514889_88514974	10082	464	11	0.0427327600713896	0.89826017118524
10087	chr16	88650419	88650582	859	12	0.111563275937664	0.967051517023075	Caudate	Heritable	chr16_88650419_88650582	10087	459	11	0.125357826494395	0.912624137651455
10088	chr16	88678089	88678782	837	11	0.134597448231444	0.912202689125294	Caudate	Heritable	chr16_88678089_88678782	10088	450	11	0.105641259017826	0.90457096982616
10089	chr16	88718875	88719587	844	14	0.123009258968504	0.951464091562084	Caudate	Heritable	chr16_88718875_88719587	10089	442	14	0.133066321560468	0.925575051597946
10090	chr16	88730764	88731412	825	11	0.24329343887572	0.916715321610107	Caudate	Heritable	chr16_88730764_88731412	10090	432	11	0.119288575353972	0.902549225332105
10091	chr16	88746274	88746996	834	11	0.109461317971627	0.9285431629121	Caudate	Heritable	chr16_88746274_88746996	10091	451	13	0.227906978958926	0.87862220919042
10092	chr16	88755167	88755826	834	11	0.283104467325182	0.933430072558796	Caudate	Heritable	chr16_88755167_88755826	10092	449	19	0.359940044967715	0.894735143270374
10094	chr16	88828941	88829225	785	19	0.169935952043127	0.910418305933774	Caudate	Heritable	chr16_88828941_88829225	10094	416	11	0.130992914636742	0.8648139757947
10095	chr16	88881106	88881790	767	11	0.100804180979551	0.942928762543335	Caudate	Heritable	chr16_88881106_88881790	10095	414	11	0.109592081118583	0.901741357368423
10096	chr16	88920937	88921471	737	11	0.0656439370292249	0.907089720445959	Caudate	Non-heritable	chr16_88920937_88921471	10096	395	11	0.0972647402162795	0.85484441126073
10097	chr16	88924998	88925742	742	11	0.116709721725734	0.909220189050418	Caudate	Heritable	chr16_88924998_88925742	10097	400	13	0.118108061335988	0.82659375315392
10101	chr16	89079996	89080366	781	11	0.104114387632726	0.94720570241055	Caudate	Heritable	chr16_89079996_89080366	10101	390	11	0.154086230346732	0.893460308260699
10102	chr16	89084908	89085087	753	15	0.284252291002558	0.874309642275672	Caudate	Heritable	chr16_89084908_89085087	10102	396	14	0.326122211568036	0.850373694325122
10103	chr16	89118496	89118676	740	17	0.0940192645049584	0.892701667091405	Caudate	Non-heritable	chr16_89118496_89118676	10103	383	11	0.0924629739253469	0.862423882409249
10104	chr16	89193716	89193792	702	11	0.0585917712203554	0.905645997093211	Caudate	Non-heritable	chr16_89193716_89193792	10104	376	11	0.0684616011680035	0.795667393658241
10105	chr16	89230057	89230679	700	15	0.0871461575630236	0.935078179267649	Caudate	Non-heritable	chr16_89230057_89230679	10105	375	11	0.0648170503156833	0.799404448470532
10106	chr16	89261708	89262034	695	11	0.130276351717639	0.917328118153204	Caudate	Heritable	chr16_89261708_89262034	10106	351	11	0.10807315979294	0.880011934699726
