region_key	h2_unscaled	r_squared_cv	h2_category	seqnames	start	end	width	strand	vmr_id	n_genes_within_250kb	gene_ids_within_250kb	gene_symbols_within_250kb	gene_names_within_250kb	gene_distances_within_250kb	nearest_gene_id_within_250kb	nearest_gene_symbol_within_250kb	nearest_gene_name_within_250kb	nearest_gene_chr_within_250kb	nearest_gene_start_within_250kb	nearest_gene_end_within_250kb	nearest_gene_strand_within_250kb	distance_to_nearest_gene_within_250kb
chr1:779388:779741	0.0624031935274447	0.5218796523233	Non-heritable	chr1	779388	779741	354	*	dlpfc_vmr_2	21	100130417;100288069;101928626;105378580;105378947;107984850;124903817;148398;26155;284593;284600;339451;375790;400728;57801;643837;79854;81399;84069;84808;9636	AGRN;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01409;LINC02593;LOC100288069;LOC101928626;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;SAMD11	agrin;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC101928626;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	LINC01409:0;LOC105378947:0;LOC100288069:724;LOC124903817:4628;FAM87B:37629;LINC00115:44486;LINC01128:45396;OR4F16:59193;LOC107984850:80484;FAM41C:88329;LOC284600:125092;LINC02593:137128;SAMD11:144181;LOC101928626:148237;NOC2L:164461;KLHL17:180842;PLEKHN1:186740;PERM1:195456;HES4:219220;ISG15:221396;AGRN:240378	105378580	LINC01409	long intergenic non-protein coding RNA 1409	chr1	778747	810065	+	0
chr1:789771:790331	0.0571215243832415	0.603294263228799	Non-heritable	chr1	789771	790331	561	*	dlpfc_vmr_3	21	100130417;100288069;101928626;105378580;105378947;107984850;124903817;148398;26155;284593;284600;339451;375790;400728;57801;643837;79854;81399;84069;84808;9636	AGRN;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01409;LINC02593;LOC100288069;LOC101928626;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;SAMD11	agrin;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC101928626;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	LINC01409:0;LOC105378947:0;LOC124903817:0;LOC100288069:11107;FAM87B:27039;LINC00115:33896;LINC01128:34806;OR4F16:69576;LOC107984850:69894;FAM41C:77739;LOC284600:114502;LINC02593:126538;SAMD11:133591;NOC2L:153871;LOC101928626:158620;KLHL17:170252;PLEKHN1:176150;PERM1:184866;HES4:208630;ISG15:210806;AGRN:229788	105378580	LINC01409	long intergenic non-protein coding RNA 1409	chr1	778747	810065	+	0
chr1:817293:817843	0.0676687944633961	0.57927174892985	Non-heritable	chr1	817293	817843	551	*	dlpfc_vmr_4	22	100130417;100288069;100288175;101928626;105378580;105378947;107984850;124903817;148398;26155;284593;284600;339451;375790;400728;57801;643837;79854;81399;84069;84808;9636	AGRN;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC101928626;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;SAMD11	agrin;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC101928626;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	FAM87B:0;LOC105378947:0;LINC00115:6384;LINC01409:7227;LINC01128:7294;LOC124903817:21779;LOC100288069:38629;LOC107984850:42382;FAM41C:50227;LOC284600:86990;OR4F16:97098;LINC02593:99026;SAMD11:106079;NOC2L:126359;KLHL17:142740;PLEKHN1:148638;PERM1:157354;HES4:181118;ISG15:183294;LOC101928626:186142;AGRN:202276;LOC100288175:241843	400728	FAM87B	family with sequence similarity 87 member B	chr1	817371	819837	+	0
chr1:882232:883488	0.0517205985856072	0.606195250878402	Non-heritable	chr1	882232	883488	1257	*	dlpfc_vmr_5	23	100130417;100288069;100288175;105378580;105378947;107984850;124903817;148398;26155;284593;284600;339451;375790;400728;401934;54991;57801;643837;79854;81399;84069;84808;9636	AGRN;C1orf159;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;RNF223;SAMD11	agrin;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;ring finger protein 223;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	FAM41C:4997;LOC107984850:14029;LOC284600:21345;LINC01128:22785;LINC02593:33381;SAMD11:40434;LOC105378947:54435;LINC00115:54692;NOC2L:60714;FAM87B:62394;LINC01409:72166;KLHL17:77095;PLEKHN1:82993;LOC124903817:86718;PERM1:91709;LOC100288069:103568;HES4:115473;ISG15:117649;AGRN:136631;OR4F16:162037;LOC100288175:176198;RNF223:187478;C1orf159:198329	284593	FAM41C	family with sequence similarity 41 member C	chr1	868071	877234	-	4997
chr1:893038:894006	0.0819519139613332	0.620490903212999	Non-heritable	chr1	893038	894006	969	*	dlpfc_vmr_6	24	100130417;100288069;100288175;105378580;105378947;107984850;124903817;148398;254099;26155;284593;284600;339451;375790;400728;401934;54991;57801;643837;79854;81399;84069;84808;9636	AGRN;C1orf159;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;RNF223;SAMD11	agrin;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1342;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;ring finger protein 223;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	LOC284600:10827;FAM41C:15803;LINC02593:22863;LOC107984850:24835;SAMD11:29916;LINC01128:33591;NOC2L:50196;LOC105378947:65241;LINC00115:65498;KLHL17:66577;PLEKHN1:72475;FAM87B:73200;PERM1:81191;LINC01409:82972;LOC124903817:97524;HES4:104955;ISG15:107131;LOC100288069:114374;AGRN:126113;LOC100288175:165680;OR4F16:172843;RNF223:176960;C1orf159:187811;LINC01342:243010	284600	LOC284600	uncharacterized LOC284600	chr1	904834	915976	+	10827
chr1:904084:904400	0.0301209380957833	0.57408195115609	Non-heritable	chr1	904084	904400	317	*	dlpfc_vmr_7	24	100130417;100288069;100288175;105378580;105378947;107984850;124903817;148398;254099;26155;284593;284600;339451;375790;400728;401934;54991;57801;643837;79854;81399;84069;84808;9636	AGRN;C1orf159;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;RNF223;SAMD11	agrin;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1342;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;ring finger protein 223;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	LOC284600:433;LINC02593:12469;SAMD11:19522;FAM41C:26849;LOC107984850:35881;NOC2L:39802;LINC01128:44637;KLHL17:56183;PLEKHN1:62081;PERM1:70797;LOC105378947:76287;LINC00115:76544;FAM87B:84246;LINC01409:94018;HES4:94561;ISG15:96737;LOC124903817:108570;AGRN:115719;LOC100288069:125420;LOC100288175:155286;RNF223:166566;C1orf159:177417;OR4F16:183889;LINC01342:232616	284600	LOC284600	uncharacterized LOC284600	chr1	904834	915976	+	433
chr1:909800:909996	0.110881347214382	0.651751630394381	Heritable	chr1	909800	909996	197	*	dlpfc_vmr_8	24	100130417;100288069;100288175;105378580;105378947;107984850;124903817;148398;254099;26155;284593;284600;339451;375790;400728;401934;54991;57801;643837;79854;81399;84069;84808;9636	AGRN;C1orf159;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC105378947;LOC107984850;LOC124903817;LOC284600;NOC2L;OR4F16;PERM1;PLEKHN1;RNF223;SAMD11	agrin;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1342;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;NOC2 like nucleolar associated transcriptional repressor;olfactory receptor family 4 subfamily F member 16;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;ring finger protein 223;sterile alpha motif domain containing 11;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	LOC284600:0;LINC02593:6873;SAMD11:13926;FAM41C:32565;NOC2L:34206;LOC107984850:41597;LINC01128:50353;KLHL17:50587;PLEKHN1:56485;PERM1:65201;LOC105378947:82003;LINC00115:82260;HES4:88965;FAM87B:89962;ISG15:91141;LINC01409:99734;AGRN:110123;LOC124903817:114286;LOC100288069:131136;LOC100288175:149690;RNF223:160970;C1orf159:171821;OR4F16:189605;LINC01342:227020	284600	LOC284600	uncharacterized LOC284600	chr1	904834	915976	+	0
chr1:1007637:1007923	0.109307699471342	0.63152909671758	Heritable	chr1	1007637	1007923	287	*	dlpfc_vmr_9	34	100130417;100288069;100288175;100506376;105378580;105378947;107984850;118424;124903817;126792;148398;254099;254173;26155;284593;284600;339451;375790;388581;400728;401934;406983;406984;51150;54991;554210;57801;643837;7293;79854;84069;84808;8784;9636	AGRN;B3GALT6;C1orf159;C1QTNF12;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC105378947;LOC107984850;LOC124903817;LOC284600;MIR200A;MIR200B;MIR429;NOC2L;PERM1;PLEKHN1;RNF223;SAMD11;SDF4;TNFRSF18;TNFRSF4;TTLL10;TTLL10-AS1;UBE2J2	agrin;beta-1,3-galactosyltransferase 6;C1q and TNF related 12;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1342;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;microRNA 200a;microRNA 200b;microRNA 429;NOC2 like nucleolar associated transcriptional repressor;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;ring finger protein 223;sterile alpha motif domain containing 11;stromal cell derived factor 4;TNF receptor superfamily member 18;TNF receptor superfamily member 4;TTLL10 antisense RNA 1;tubulin tyrosine ligase like 10;ubiquitin conjugating enzyme E2 J2;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	ISG15:0;HES4:7464;AGRN:12196;PERM1:25519;PLEKHN1:31771;KLHL17:41917;NOC2L:48327;LOC100288175:51763;RNF223:63043;SAMD11:63061;C1orf159:73894;LINC02593:87944;LOC284600:91660;LINC01342:129093;FAM41C:130402;LOC107984850:139434;LINC01128:148190;MIR200B:159180;MIR200A:159939;MIR429:161081;TTLL10-AS1:165132;TTLL10:165956;LOC105378947:179840;LINC00115:180097;FAM87B:187799;TNFRSF18:195584;LINC01409:197571;TNFRSF4:203402;SDF4:209007;LOC124903817:212123;B3GALT6:224313;LOC100288069:228973;C1QTNF12:234522;UBE2J2:245985	9636	ISG15	ISG15 ubiquitin like modifier	chr1	1001138	1014540	+	0
chr1:1015951:1016151	0.0687522572110187	0.628266330080203	Non-heritable	chr1	1015951	1016151	201	*	dlpfc_vmr_10	34	100130417;100288069;100288175;100506376;105378580;105378947;107984850;118424;124903817;126792;148398;254099;254173;26155;284593;284600;339451;375790;388581;400728;401934;406983;406984;51150;54991;554210;57801;643837;7293;79854;84069;84808;8784;9636	AGRN;B3GALT6;C1orf159;C1QTNF12;FAM41C;FAM87B;HES4;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC02593;LOC100288069;LOC100288175;LOC105378947;LOC107984850;LOC124903817;LOC284600;MIR200A;MIR200B;MIR429;NOC2L;PERM1;PLEKHN1;RNF223;SAMD11;SDF4;TNFRSF18;TNFRSF4;TTLL10;TTLL10-AS1;UBE2J2	agrin;beta-1,3-galactosyltransferase 6;C1q and TNF related 12;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;family with sequence similarity 87 member B;hes family bHLH transcription factor 4;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1342;long intergenic non-protein coding RNA 1409;long intergenic non-protein coding RNA 2593;microRNA 200a;microRNA 200b;microRNA 429;NOC2 like nucleolar associated transcriptional repressor;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;ring finger protein 223;sterile alpha motif domain containing 11;stromal cell derived factor 4;TNF receptor superfamily member 18;TNF receptor superfamily member 4;TTLL10 antisense RNA 1;tubulin tyrosine ligase like 10;ubiquitin conjugating enzyme E2 J2;uncharacterized LOC100288069;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC124903817;uncharacterized LOC284600	ISG15:1410;AGRN:3968;HES4:15778;PERM1:33833;PLEKHN1:40085;LOC100288175:43535;KLHL17:50231;RNF223:54815;NOC2L:56641;C1orf159:65666;SAMD11:71375;LINC02593:96258;LOC284600:99974;LINC01342:120865;FAM41C:138716;LOC107984850:147748;MIR200B:150952;MIR200A:151711;MIR429:152853;LINC01128:156504;TTLL10-AS1:156904;TTLL10:157728;TNFRSF18:187356;LOC105378947:188154;LINC00115:188411;TNFRSF4:195174;FAM87B:196113;SDF4:200779;LINC01409:205885;B3GALT6:216085;LOC124903817:220437;C1QTNF12:226294;LOC100288069:237287;UBE2J2:237757	9636	ISG15	ISG15 ubiquitin like modifier	chr1	1001138	1014540	+	1410
chr1:1077056:1077271	0.107346656492307	0.652906197312278	Heritable	chr1	1077056	1077271	216	*	dlpfc_vmr_11	38	100130417;100288175;100506376;101928895;102465434;102465435;105378947;107984850;116983;118424;126789;126792;148398;254099;254173;26155;284593;284600;339451;375790;388581;401934;406983;406984;51150;54973;54991;554210;57801;6339;643837;7293;79854;80772;84069;84808;8784;9636	ACAP3;AGRN;B3GALT6;C1orf159;C1QTNF12;CPTP;FAM41C;HES4;INTS11;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01786;LINC02593;LOC100288175;LOC105378947;LOC107984850;LOC284600;MIR200A;MIR200B;MIR429;MIR6726;MIR6727;NOC2L;PERM1;PLEKHN1;PUSL1;RNF223;SAMD11;SCNN1D;SDF4;TNFRSF18;TNFRSF4;TTLL10;TTLL10-AS1;UBE2J2	agrin;ArfGAP with coiled-coil, ankyrin repeat and PH domains 3;beta-1,3-galactosyltransferase 6;C1q and TNF related 12;ceramide-1-phosphate transfer protein;chromosome 1 open reading frame 159;family with sequence similarity 41 member C;hes family bHLH transcription factor 4;integrator complex subunit 11;ISG15 ubiquitin like modifier;kelch like family member 17;long intergenic non-protein coding RNA 1128;long intergenic non-protein coding RNA 115;long intergenic non-protein coding RNA 1342;long intergenic non-protein coding RNA 1786;long intergenic non-protein coding RNA 2593;microRNA 200a;microRNA 200b;microRNA 429;microRNA 6726;microRNA 6727;NOC2 like nucleolar associated transcriptional repressor;pleckstrin homology domain containing N1;PPARGC1 and ESRR induced regulator, muscle 1;proline-rich extensin-like protein EPR1;pseudouridine synthase like 1;ring finger protein 223;sodium channel epithelial 1 subunit delta;sterile alpha motif domain containing 11;stromal cell derived factor 4;TNF receptor superfamily member 18;TNF receptor superfamily member 4;TTLL10 antisense RNA 1;tubulin tyrosine ligase like 10;ubiquitin conjugating enzyme E2 J2;uncharacterized LOC100288175;uncharacterized LOC107984850;uncharacterized LOC284600	RNF223:2749;C1orf159:4546;LOC100288175:7700;AGRN:20937;LINC01342:59745;ISG15:62515;HES4:76883;MIR200B:89832;MIR200A:90591;MIR429:91733;PERM1:94938;TTLL10-AS1:95784;TTLL10:96608;PLEKHN1:101190;KLHL17:111336;NOC2L:117746;TNFRSF18:126236;SAMD11:132480;TNFRSF4:134054;SDF4:139659;B3GALT6:154965;LINC02593:157363;LOC284600:161079;C1QTNF12:165174;UBE2J2:176637;LINC01786:197951;FAM41C:199821;SCNN1D:203164;LOC107984850:208853;ACAP3:215118;LINC01128:217609;MIR6726:218838;PUSL1:231325;INTS11:234313;MIR6727:235230;CPTP:247484;LOC105378947:249259;LINC00115:249516	401934	RNF223	ring finger protein 223	chr1	1070967	1074306	-	2749
