coord_key	seqnames_hg38	pos_hg38	bs_row	found_in_bsseq	fraction_samples_cov_ge_min	mean_coverage	marker_coverage_pass
"chr10:101007600"	"chr10"	101007600	15592454	TRUE	0.978723404255319	13.0212765957447	TRUE
"chr10:101646548"	"chr10"	101646548	15601941	TRUE	0.960992907801418	10.8971631205674	TRUE
"chr10:101749569"	"chr10"	101749569	15603117	TRUE	1	16.2198581560284	TRUE
"chr10:102457734"	"chr10"	102457734	15614313	TRUE	1	16.3014184397163	TRUE
"chr10:102596067"	"chr10"	102596067	15616427	TRUE	0.968085106382979	11.3156028368794	TRUE
"chr10:102649170"	"chr10"	102649170	15617478	TRUE	0.964539007092199	12.1985815602837	TRUE
"chr10:102803272"	"chr10"	102803272	15619909	TRUE	1	15.5035460992908	TRUE
"chr10:102814672"	"chr10"	102814672	15620068	TRUE	0.982269503546099	12.8333333333333	TRUE
"chr10:10295088"	"chr10"	10295088	14774339	TRUE	0.971631205673759	12.6418439716312	TRUE
"chr10:103699810"	"chr10"	103699810	15633211	TRUE	0.957446808510638	10.7695035460993	TRUE
"chr10:103846077"	"chr10"	103846077	15635092	TRUE	0.921985815602837	9.28723404255319	TRUE
"chr10:104243297"	"chr10"	104243297	15639037	TRUE	0.99290780141844	13.7269503546099	TRUE
"chr10:10588151"	"chr10"	10588151	14776567	TRUE	1	14.3333333333333	TRUE
"chr10:107166400"	"chr10"	107166400	15660169	TRUE	0.98936170212766	17.9751773049645	TRUE
"chr10:110739695"	"chr10"	110739695	15685958	TRUE	0.99645390070922	16.936170212766	TRUE
"chr10:112678850"	"chr10"	112678850	15701236	TRUE	1	22.9042553191489	TRUE
"chr10:112732542"	"chr10"	112732542	15701696	TRUE	1	21.7198581560284	TRUE
"chr10:113069572"	"chr10"	113069572	15705909	TRUE	1	15.0780141843972	TRUE
"chr10:11321321"	"chr10"	11321321	14784618	TRUE	0.99290780141844	12.9219858156028	TRUE
"chr10:11337740"	"chr10"	11337740	14784828	TRUE	0.925531914893617	10.5177304964539	TRUE
"chr10:113709183"	"chr10"	113709183	15712536	TRUE	0.982269503546099	12.4716312056738	TRUE
"chr10:113780782"	"chr10"	113780782	15713212	TRUE	1	15.8297872340426	TRUE
"chr10:11462552"	"chr10"	11462552	14786619	TRUE	0.985815602836879	15.5531914893617	TRUE
"chr10:114971067"	"chr10"	114971067	15726010	TRUE	1	18.7943262411348	TRUE
"chr10:116068347"	"chr10"	116068347	15733171	TRUE	0.98936170212766	15.1950354609929	TRUE
"chr10:11640424"	"chr10"	11640424	14788429	TRUE	0.98936170212766	12.7695035460993	TRUE
