cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta	vmr_length	num_snps	chromatin_state	cpg_density_proxy	h2_category	h2_unscaled	r_squared_cv	methylation_variance	min_distance	any_sig_fdr_05	any_sig_fdr_10	h2_scaled	log_vmr_length	log_num_snps	log_min_distance	log_max_abs_beta
all_individuals	dlpfc	EA	EA_only	psi	chr10_100025847_100026058	chr10	100025847	100026058	26	26	0	0	0.0539890667311374	0.959920744114559	0.965500878954957	-0.965500878954957	211	146	Intergenic	0	Heritable	0.206973483578567	0.867104566598837	0.010243823035755	69057	0	0	2.06973483578567	5.35185813347607	4.99043258677874	11.1427020102003	-0.035108256394202
all_individuals	dlpfc	EA	EA_only	psi	chr10_100348447_100351386	chr10	100348447	100351386	112	112	0	0	0.00541424649444679	0.574337730003559	2.88782831789413	2.88782831789413								0.0134066447488706	18577	0	0				9.82973336394747	1.0605047760138
all_individuals	dlpfc	EA	EA_only	psi	chr10_100932521_100932948	chr10	100932521	100932948	81	81	0	0	0.00402920592322759	0.511534839778431	1.82716020796436	-1.82716020796436								0.0173304633212916	6571	0	0				8.79057347915716	0.6027629681127
all_individuals	dlpfc	EA	EA_only	psi	chr10_100982514_100983141	chr10	100982514	100983141	103	103	0	1	0.000117325010750024	0.0568788503180149	3.72963398148439	3.72963398148439	627	174	Genic/other	1	Non-heritable	0.0715140409850677	0.816368207786068	0.00902170620287388	0	0	1	0.715140409850677	6.44094654063292	5.16478597392351	0	1.31631010323369
all_individuals	dlpfc	EA	EA_only	psi	chr10_101006502_101007117	chr10	101006502	101007117	118	118	0	0	0.00617537558780147	0.605276762727534	1.93801250632183	1.93801250632183								0.0148674949452685	3761	0	0				8.23270600986098	0.661662971818117
all_individuals	dlpfc	EA	EA_only	psi	chr10_101008138_101008841	chr10	101008138	101008841	118	118	0	0	0.00475823394328974	0.546415599691512	3.68413070105295	-3.68413070105295								0.0143576890533003	2037	0	0				7.61972421378267	1.30403459850548
all_individuals	dlpfc	EA	EA_only	psi	chr10_101033653_101034328	chr10	101033653	101034328	193	193	0	1	0.000239515541122681	0.0952529298177231	5.46343030493083	-5.46343030493083	675	171	Promoter	1	Non-heritable	0.095428599524404	0.730869559029923	0.0095327490740586	1338	0	1	0.95428599524404	6.51471269087253	5.14749447681345	7.19967834569117	1.6980768552902
all_individuals	dlpfc	EA	EA_only	psi	chr10_101150691_101151624	chr10	101150691	101151624	207	207	0	0	0.00267049087396346	0.425056662638956	3.24832978129165	-3.24832978129165	933	156	Intergenic	1	Heritable	0.192142583729691	0.899565486929549	0.0110401887517159	0	0	0	1.92142583729691	6.83840520084734	5.05624580534831	0	1.17814095387265
all_individuals	dlpfc	EA	EA_only	psi	chr10_101242278_101242603	chr10	101242278	101242603	173	173	1	1	4.57496780231236e-05	0.0275140717175037	3.45727935949776	-3.45727935949776								0.0109164043974918	3722	1	1				8.22228507387272	1.24048197037254
all_individuals	dlpfc	EA	EA_only	psi	chr10_10157082_10157472	chr10	10157082	10157472	11	11	0	0	0.0639020734406489	0.977662067589678	0.340125491186195	-0.340125491186195	390	232	Intergenic	0	Heritable	0.173114377274916	0.924253992800577	0.0113067111472867	172259	0	0	1.73114377274916	5.96614673912369	5.4510384535657	12.0567602423432	-1.07844060834451
all_individuals	dlpfc	EA	EA_only	psi	chr10_101819554_101819831	chr10	101819554	101819831	64	64	0	0	0.0144452616519	0.77659645065059	5.48950744928672	5.48950744928672	277	146	Genic/other	1	Heritable	0.14830432340952	0.792728199158145	0.00885978115849916	7438	0	0	1.4830432340952	5.62401750618734	4.99043258677874	8.91449171019134	1.7028385355198
all_individuals	dlpfc	EA	EA_only	psi	chr10_1022550_1023051	chr10	1022550	1023051	54	54	0	0	0.00212066294463473	0.380103707777201	4.37952818410507	4.37952818410507								0.0116920878073598	0	0	0				0	1.47694100034548
all_individuals	dlpfc	EA	EA_only	psi	chr10_103062915_103063977	chr10	103062915	103063977	38	38	0	0	0.00604675194609969	0.599892190916241	2.37205631897216	2.37205631897216								0.00858095900170822	4744	0	0				8.46484671104403	0.863757228312265
all_individuals	dlpfc	EA	EA_only	psi	chr10_103416919_103418273	chr10	103416919	103418273	43	43	0	0	0.00505562970974462	0.558645216593695	2.29154566543233	2.29154566543233								0.00969559837257194	16521	0	0				9.71244810512245	0.829226557315775
all_individuals	dlpfc	EA	EA_only	psi	chr10_1034873_1035406	chr10	1034873	1035406	54	54	0	0	0.0575220761315345	0.966734943824735	3.43487577499666	3.43487577499666								0.014297264525606	0	0	0				0	1.23398076344744
all_individuals	dlpfc	EA	EA_only	psi	chr10_103555954_103556881	chr10	103555954	103556881	30	30	0	0	0.0566477175361702	0.96454133560873	0.966423123692359	-0.966423123692359	927	122	Genic/other	1	Heritable	0.118125991090676	0.738293063506149	0.0112722315670946	0	0	0	1.18125991090676	6.83195356556586	4.81218435537242	0	-0.0341535140786186
all_individuals	dlpfc	EA	EA_only	psi	chr10_103558642_103559558	chr10	103558642	103559558	30	30	0	0	0.0342787733972138	0.911625277480867	4.22380242640674	-4.22380242640674								0.00897412021310355	0	0	0				0	1.44073577362612
all_individuals	dlpfc	EA	EA_only	psi	chr10_103582157_103582905	chr10	103582157	103582905	30	30	0	0	0.0174169615574017	0.805395469469483	1.93857002870163	-1.93857002870163	748	125	Genic/other	2	Non-heritable	0.0936334736951446	0.73271793718882	0.00835549686364535	11284	0	0	0.936334736951446	6.61740297797448	4.83628190695148	9.33122968925164	0.661950607835527
all_individuals	dlpfc	EA	EA_only	psi	chr10_103626138_103626455	chr10	103626138	103626455	27	27	0	0	0.0283745865671712	0.882879432531548	1.11705210970508	-1.11705210970508	317	139	Genic/other	0	Heritable	0.206460274201203	0.838514497678987	0.00836299617250935	0	0	0	2.06460274201203	5.75890177387728	4.9416424226093	0	0.11069317943277
all_individuals	dlpfc	EA	EA_only	psi	chr10_103720015_103721221	chr10	103720015	103721221	43	43	0	0	0.035195684099149	0.915494690673312	1.96748409395738	-1.96748409395738								0.0107263432435588	26986	0	0				10.2031105475556	0.676755621966684
all_individuals	dlpfc	EA	EA_only	psi	chr10_103727172_103728245	chr10	103727172	103728245	43	43	0	0	0.0252451141159842	0.865550992519289	1.46842654496392	-1.46842654496392	1073	147	Genic/other	0	Heritable	0.190196356864259	0.889681547728123	0.0143291506746451	34143	0	0	1.90196356864259	6.9782137426307	4.99721227376412	10.4383421541015	0.384191456761905
all_individuals	dlpfc	EA	EA_only	psi	chr10_103852988_103853706	chr10	103852988	103853706	43	43	0	0	0.00169152714312528	0.340138836259841	4.4981597057045	4.4981597057045	718	136	Genic/other	1	Heritable	0.21751898491192	0.884103654032553	0.00915989724392532	3631	0	0	2.1751898491192	6.57646956904822	4.91998092582813	8.19753873972118	1.50366836106691
all_individuals	dlpfc	EA	EA_only	psi	chr10_103968990_103969264	chr10	103968990	103969264	45	45	0	0	0.0116354646833386	0.736505102998759	1.6645014122515	-1.6645014122515								0.00896969378724587	1982	0	0				7.5923661285198	0.509525632494278
all_individuals	dlpfc	EA	EA_only	psi	chr10_104275250_104275792	chr10	104275250	104275792	23	23	2	2	6.774207707473e-05	0.0377498850112285	0.759527636339886	-0.759527636339886	542	149	Genic/other	1	Heritable	0.303682897370817	0.86884120067538	0.0189748778641007	0	1	1	3.03682897370817	6.29526600143965	5.01063529409626	0	-0.275058556897955
all_individuals	dlpfc	EA	EA_only	psi	chr10_106735808_106737102	chr10	106735808	106737102	2	2	0	0	0.0517542201207031	0.957145386566127	0.627999880363137	-0.627999880363137	1294	178	Enhancer	0	Heritable	0.581596433969194	0.905667469411187	0.0121308907320705	59662	0	0	5.81596433969194	7.16549347506085	5.18738580584076	10.9964673417525	-0.465215287094946
all_individuals	dlpfc	EA	EA_only	psi	chr10_108315790_108316106	chr10	108315790	108316106	4	4	0	0	0.192385799600844	0.999979216283149	0.709254895320941	0.709254895320941	316	162	Intergenic	0	Heritable	0.113708994397019	0.909787527720827	0.0118921805915061	79745	0	0	1.13708994397019	5.75574221358691	5.09375020080676	11.2866018626494	-0.343540289108505
all_individuals	dlpfc	EA	EA_only	psi	chr10_108396663_108398076	chr10	108396663	108398076	2	2	0	0	0.388286664365018	0.999979216283149	0.519051463001416	0.519051463001416	1413	159	Intergenic	0	Heritable	0.614387178080728	0.914616041003899	0.009736840957193	0	0	0	6.14387178080728	7.25347038268453	5.07517381523383	0	-0.655752223467291
all_individuals	dlpfc	EA	EA_only	psi	chr10_108567301_108567553	chr10	108567301	108567553	1	1	0	0	0.245184371550583	0.999979216283149	0.731340015971459	-0.731340015971459	252	168	Intergenic	0	Heritable	0.111198950301191	0.830728175086659	0.00894137253421893	45419	0	0	1.11198950301191	5.52942908751142	5.12989871492307	10.7237078156595	-0.312876775574183
all_individuals	dlpfc	EA	EA_only	psi	chr10_11004416_11004925	chr10	11004416	11004925	76	76	0	1	0.000239984169748504	0.0953497173275397	4.75915054269404	-4.75915054269404	509	307	Promoter	0	Heritable	0.148206163872555	0.950051795778239	0.00890625535984132	514	0	1	1.48206163872555	6.23244801655052	5.73009978297357	6.24416690066374	1.56006919700191
all_individuals	dlpfc	EA	EA_only	psi	chr10_11007535_11009422	chr10	11007535	11009422	77	77	0	0	0.0108786108862034	0.723406205527598	3.28271199345479	3.28271199345479								0.00913431555359978	0	0	0				0	1.18866991108175
all_individuals	dlpfc	EA	EA_only	psi	chr10_11019826_11020522	chr10	11019826	11020522	75	75	0	0	0.00508124314551727	0.559591362528176	2.14726370712682	2.14726370712682	696	302	Enhancer	1	Heritable	0.191996752685354	0.941547867988473	0.0113491679927962	0	0	0	1.91996752685354	6.54534966033442	5.71373280550937	0	0.76419434187377
all_individuals	dlpfc	EA	EA_only	psi	chr10_110228034_110228337	chr10	110228034	110228337	383	383	4	5	8.5077551289646e-07	0.00101285501563572	5.51089898200153	5.51089898200153								0.00840106000646338	0	1	1				0	1.70672776629937
all_individuals	dlpfc	EA	EA_only	psi	chr10_110404274_110405276	chr10	110404274	110405276	369	369	5	6	6.03341296862257e-14	6.25830395677082e-10	11.7829409833828	-11.7829409833828								0.0089607331493025	0	1	1				0	2.46665280694329
all_individuals	dlpfc	EA	EA_only	psi	chr10_110459790_110460905	chr10	110459790	110460905	369	369	6	7	7.61969691412035e-16	1.17393420779227e-11	10.3701269916179	-10.3701269916179								0.0105122714538275	0	1	1				0	2.33892926918842
all_individuals	dlpfc	EA	EA_only	psi	chr10_110492782_110496148	chr10	110492782	110496148	263	263	3	3	2.93314437737629e-10	1.0570864340378e-06	20.9873275984862	-20.9873275984862								0.0100556035670485	0	1	1				0	3.04391880836093
all_individuals	dlpfc	EA	EA_only	psi	chr10_110499184_110501122	chr10	110499184	110501122	263	263	1	1	5.41525302423882e-06	0.00475148541464383	6.48155090588538	-6.48155090588538	1938	168	Enhancer	2	Heritable	0.162292040185386	0.863522339718808	0.010666390101833	1746	1	1	1.62292040185386	7.56941179245071	5.12989871492307	7.46565531013406	1.86895982059841
all_individuals	dlpfc	EA	EA_only	psi	chr10_110504201_110511377	chr10	110504201	110511377	263	263	2	2	3.69009758932756e-08	7.10646998008501e-05	11.567229303077	-11.567229303077	7176	169	Enhancer	0	Heritable	0.166177133964035	0.845375379202209	0.00866765160955343	0	1	1	1.66177133964035	8.87849740373863	5.13579843705026	0	2.44817604088351
all_individuals	dlpfc	EA	EA_only	psi	chr10_110679670_110680259	chr10	110679670	110680259	302	302	1	1	7.33256112417999e-05	0.0402195584505958	3.45048341268854	-3.45048341268854								0.00884611045536315	76844	1	1				11.2495456850414	1.23851434374544
all_individuals	dlpfc	EA	EA_only	psi	chr10_1114854_1115164	chr10	1114854	1115164	51	51	0	0	0.000907238612050362	0.234162554865417	1.69844569977321	1.69844569977321								0.00857582596491741	0	0	0				0	0.529713544476927
all_individuals	dlpfc	EA	EA_only	psi	chr10_11276221_11276628	chr10	11276221	11276628	22	22	0	0	0.0203269044856641	0.834039806093218	0.758008473422146	0.758008473422146	407	293	Genic/other	0	Heritable	0.181241458767338	0.952439441724298	0.0106273366063322	5554	0	0	1.81241458767338	6.0088131854426	5.68357976733868	8.62245370207373	-0.277060701552597
all_individuals	dlpfc	EA	EA_only	psi	chr10_112774951_112775630	chr10	112774951	112775630	30	30	0	0	0.116573852147312	0.999979216283149	1.24910487246955	1.24910487246955								0.0106609551376861	18919	0	0				9.84797484260587	0.222427200772056
all_individuals	dlpfc	EA	EA_only	psi	chr10_112953079_112953633	chr10	112953079	112953633	52	52	0	0	0.0130774707690815	0.761298493711737	9.25586745805864	9.25586745805864	554	250	Genic/other	1	Heritable	0.179681915232143	0.923674425525091	0.00920368310455063	0	0	0	1.79681915232143	6.31716468674728	5.52545293913178	0	2.22525767129909
all_individuals	dlpfc	EA	EA_only	psi	chr10_112991920_112992489	chr10	112991920	112992489	52	52	0	0	0.019216001512683	0.821040333075037	4.91809487858093	-4.91809487858093	569	242	Genic/other	0	Heritable	0.110425630678897	0.934647210181286	0.013091098605978	0	0	0	1.10425630678897	6.34388043412633	5.49306144334055	0	1.59292123774795
all_individuals	dlpfc	EA	EA_only	psi	chr10_113259401_113259917	chr10	113259401	113259917	62	62	0	0	0.00196120511049387	0.366574603103225	63.616619115947	-63.616619115947	516	242	Intergenic	0	Non-heritable	0.0791391131130823	0.92709506464079	0.00882949586985887	3481	0	0	0.791391131130823	6.24610676548156	5.49306144334055	8.15536212032814	4.15287474322309
all_individuals	dlpfc	EA	EA_only	psi	chr10_11336133_11336768	chr10	11336133	11336768	21	21	0	0	0.0530744018556468	0.958913553708252	1.03805188915414	1.03805188915414								0.0110623487032626	0	0	0				0	0.0373457826788852
