task_id	chrom	start	end	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	region
1	1	10003350	10004313	271	13	0.0865259571532783	0.845670020910892	DLPFC
10	1	10133974	10135208	262	20	0.119038827949685	0.866575221468424	DLPFC
100	1	13524338	13525019	405	11	0.118037500640289	0.924170876240592	DLPFC
1000	2	108189630	108189883	221	11	0.128403193926377	0.835292916317237	DLPFC
10000	20	23655096	23655748	353	19	0.075224510260075	0.89233911519504	DLPFC
10001	20	24235310	24235820	360	11	0.0780704837589162	0.896765283831915	DLPFC
10002	20	24473077	24473908	338	11	0.12527266835058	0.880534023830283	DLPFC
10003	20	24977980	24978708	245	11	0.256327148149176	0.83491229909289	DLPFC
10004	20	25032402	25032992	218	11	0.0904514685469632	0.776485563370533	DLPFC
10005	20	25039789	25041333	223	11	0.0986807957932519	0.747526766248956	DLPFC
10006	20	25145148	25145680	192	13	0.225214347087619	0.799099853953647	DLPFC
10007	20	25318873	25319551	149	11	0.0531936711775846	0.555003487908667	DLPFC
10008	20	2534153	2534733	549	11	0.132436668425656	0.947379179220642	DLPFC
10009	20	25853238	25854567	101	11	0.160100166565773	0.683971025094332	DLPFC
1001	2	108533256	108533511	244	11	0.160386090558512	0.815823607477885	DLPFC
10010	20	25858044	25858224	101	11	0.18708836024734	0.683325295137639	DLPFC
10011	20	25865101	25865175	96	14	0.174306302248848	0.621165716098073	DLPFC
10012	20	25867844	25868077	95	12	0.281239886435312	0.570139887744497	DLPFC
10013	20	25984843	25985441	91	11	0.179530218576346	0.689019903863132	DLPFC
10014	20	25987030	25987683	91	11	0.239686452669886	0.732572756316667	DLPFC
10015	20	26009328	26010225	91	11	0.128786572496473	0.563164620081951	DLPFC
10016	20	26208003	26208088	67	11	0.163187284427595	0.495198470969717	DLPFC
10017	20	26276939	26277192	62	11	0.199978006504252	0.597470405968162	DLPFC
10018	20	2700688	2701225	547	11	0.136854974236208	0.9470377379847	DLPFC
1002	2	108560195	108560783	252	11	0.0875565404009793	0.712654320485691	DLPFC
1003	2	108696760	108697058	253	11	0.100632791289028	0.764506034845859	DLPFC
1004	2	108718852	108718927	269	15	0.0556127993806344	0.839314358353129	DLPFC
10047	20	30281388	30282063	20	11	0.10430664550788	0.280188519189859	DLPFC
10048	20	30283328	30285275	20	12	0.100658998348183	0.272597660283014	DLPFC
10049	20	30289062	30291025	19	13	0.0577360721237412	0.187147393270916	DLPFC
1005	2	108917016	108917616	276	15	0.0655036051187251	0.769013539990568	DLPFC
10050	20	30300119	30300664	20	13	0.0880821453804607	0.21947192627929	DLPFC
10051	20	30314424	30317218	20	14	0.058682021937524	0.20144153585908	DLPFC
10052	20	30339004	30341352	19	11	0.0645062907673856	0.205984382611	DLPFC
10053	20	30343749	30344513	20	11	0.0254754917438064	0.158181965944821	DLPFC
10054	20	30376748	30377352	22	11	0.125451730450122	0.350349653617959	DLPFC
10055	20	30401943	30402299	24	11	0.173049523004031	0.412072160788225	DLPFC
10056	20	30488286	30489937	28	16	0.0596174600890542	0.276400142726292	DLPFC
10057	20	30499650	30500693	26	11	0.077525262332551	0.358868551433376	DLPFC
10058	20	30537206	30537945	25	12	0.0618805222258282	0.315729985258155	DLPFC
10059	20	30541011	30543423	29	11	0.0519007247610003	0.274603892044714	DLPFC
1006	2	108963242	108963460	284	18	0.0841675525081913	0.790764342503552	DLPFC
10060	20	30579916	30581132	26	11	0.116767078700872	0.350295500031436	DLPFC
10061	20	30585346	30586487	28	11	0.138991594813447	0.305657854771021	DLPFC
10062	20	30593465	30593865	29	11	0.0420711482063348	0.255873600094283	DLPFC
10063	20	30691050	30691453	35	15	0.06159142232618	0.298852389746012	DLPFC
10064	20	30694010	30694221	38	11	0.223221904696098	0.438512256852906	DLPFC
10065	20	30705632	30708403	38	14	0.158633144991121	0.353909355773074	DLPFC
10066	20	30723346	30724582	39	11	0.0884713262292036	0.384998068690113	DLPFC
10067	20	30891334	30895696	69	12	0.0520511142359298	0.437017961674369	DLPFC
10068	20	30898634	30900683	64	11	0.0336850005527882	0.42240713983939	DLPFC
10069	20	30911781	30913310	61	14	0.0419103247047621	0.440780334293145	DLPFC
1007	2	109005559	109005931	308	20	0.0757416827625266	0.867053060619865	DLPFC
10070	20	30922280	30922525	65	26	0.0891345341804466	0.438506524537855	DLPFC
10071	20	31570836	31571247	184	11	0.0560374051125935	0.714284405849252	DLPFC
10072	20	31994660	31994926	184	11	0.0872059291042781	0.784676644627249	DLPFC
10073	20	32235506	32236335	243	21	0.0358662578769277	0.743926785594583	DLPFC
10074	20	32462986	32463935	255	20	0.113095881653942	0.811507545672508	DLPFC
10075	20	32464437	32464618	261	11	0.0623962497394569	0.784516084874702	DLPFC
10076	20	32471187	32471466	246	11	0.110844831551334	0.756791987610236	DLPFC
10077	20	32477501	32478125	247	17	0.0560664498570064	0.690618247480167	DLPFC
10078	20	32480434	32481834	244	16	0.0421700303671035	0.75925163641701	DLPFC
10079	20	32980167	32981473	352	11	0.131521716755825	0.907522217495906	DLPFC
1008	2	109017164	109017468	315	14	0.0460850670967411	0.781558652570484	DLPFC
10080	20	33667855	33668182	235	20	0.126662101634503	0.804896563792842	DLPFC
10081	20	34523949	34525073	131	11	0.101512149870024	0.563362263478195	DLPFC
10082	20	34557883	34558070	126	19	0.118321458381306	0.559589581503799	DLPFC
10083	20	34654897	34655567	125	14	0.211914168604471	0.700070542624903	DLPFC
10084	20	34798147	34799561	148	18	0.19623251613659	0.683167522913869	DLPFC
10085	20	35700589	35700858	174	15	0.0907295715599043	0.690438202067923	DLPFC
10086	20	36845441	36845653	215	11	0.0782814959208016	0.79751421586072	DLPFC
10087	20	36852296	36853651	215	11	0.0559693408359199	0.745884762799113	DLPFC
10088	20	3697902	3698231	518	11	0.0538415118774027	0.873190919256294	DLPFC
10089	20	37251588	37251988	305	18	0.100699479519592	0.867630036810796	DLPFC
1009	2	109195409	109195667	364	11	0.0708178135390925	0.833439621226186	DLPFC
10090	20	37267534	37268151	318	16	0.0785077054029679	0.895205100750663	DLPFC
10091	20	37396211	37396562	284	13	0.164494942301125	0.878741447940785	DLPFC
10092	20	38377327	38377777	391	11	0.0949831438909336	0.93275756082252	DLPFC
10093	20	38379410	38379551	402	11	0.106976238259016	0.931585287066291	DLPFC
10094	20	38508791	38509455	380	11	0.159627247640341	0.927313465377103	DLPFC
10095	20	38835536	38836132	263	12	0.0648205102445984	0.854643236586101	DLPFC
10096	20	38888720	38890195	231	11	0.110883898607938	0.828496710245863	DLPFC
10097	20	38900587	38901478	236	11	0.0666138873832074	0.814940863735327	DLPFC
10098	20	39051282	39052455	251	11	0.0893887386128928	0.853863431225843	DLPFC
10099	20	4084514	4084964	660	13	0.0852769124782349	0.968287048313833	DLPFC
101	1	13527381	13527617	411	11	0.137502989216082	0.933338315050286	DLPFC
