chromA	startA	endA	chromB	startB	endB	overlap	lenA	lenB	pctA	pctB	reciprocal
1	1747169	1747292	1	1747222	1747531	70	123	309	56.91056910569105	22.653721682847898	22.653721682847898
1	16692189	16692603	1	16692189	16692568	379	414	379	91.54589371980676	100.0	91.54589371980676
1	38815991	38816521	1	38815893	38816192	201	530	299	37.924528301886795	67.22408026755853	37.924528301886795
1	44010732	44012168	1	44010966	44011761	795	1436	795	55.362116991643454	100.0	55.362116991643454
1	44016008	44017465	1	44016337	44017127	790	1457	790	54.221002059025395	100.0	54.221002059025395
1	50951950	50952397	1	50952107	50952369	262	447	262	58.61297539149888	100.0	58.61297539149888
1	75124701	75127449	1	75125068	75127265	2197	2748	2197	79.9490538573508	100.0	79.9490538573508
1	106240486	106241224	1	106240486	106243165	738	738	2679	100.0	27.547592385218366	27.547592385218366
1	108875899	108876327	1	108876067	108876386	260	428	319	60.747663551401864	81.50470219435736	60.747663551401864
1	115978319	115980132	1	115977424	115980485	1813	1813	3061	100.0	59.229010127409346	59.229010127409346
1	146932364	146932624	1	146932524	146933347	100	260	823	38.46153846153847	12.15066828675577	12.15066828675577
1	146932851	146933347	1	146932524	146933347	496	496	823	100.0	60.267314702308624	60.267314702308624
1	148150643	148151037	1	148150830	148150978	148	394	148	37.56345177664975	100.0	37.56345177664975
1	152188602	152189261	1	152188737	152189293	524	659	556	79.5144157814871	94.24460431654677	79.5144157814871
1	156388820	156389607	1	156389215	156389461	246	787	246	31.257941550190598	100.0	31.257941550190598
1	156619216	156619934	1	156619156	156619934	718	718	778	100.0	92.2879177377892	92.2879177377892
1	161524770	161525233	1	161524787	161525303	446	463	516	96.32829373650108	86.43410852713178	86.43410852713178
1	201730925	201731533	1	201730925	201731267	342	608	342	56.25	100.0	56.25
1	207668958	207669381	1	207669168	207669461	213	423	293	50.35460992907801	72.6962457337884	50.35460992907801
1	207669896	207669933	1	207669806	207669933	37	37	127	100.0	29.133858267716533	29.133858267716533
1	212415357	212416390	1	212415506	212416026	520	1033	520	50.33881897386253	100.0	50.33881897386253
1	225810963	225811209	1	225811110	225811254	99	246	144	40.243902439024396	68.75	40.243902439024396
1	228470192	228471601	1	228470639	228471114	475	1409	475	33.71185237757275	100.0	33.71185237757275
10	614207	615448	10	614590	615862	858	1241	1272	69.13779210314263	67.45283018867924	67.45283018867924
10	622905	623353	10	621990	623230	325	448	1240	72.54464285714286	26.209677419354836	26.209677419354836
10	628469	628813	10	628469	628908	344	344	439	100.0	78.35990888382688	78.35990888382688
10	639459	640088	10	639602	639940	338	629	338	53.73608903020668	100.0	53.73608903020668
10	654387	655290	10	654387	655678	903	903	1291	100.0	69.94577846630519	69.94577846630519
10	1199980	1201244	10	1200396	1201077	681	1264	681	53.87658227848101	100.0	53.87658227848101
10	3107217	3107978	10	3107217	3107813	596	761	596	78.3180026281209	100.0	78.3180026281209
10	3169278	3169900	10	3169278	3169900	622	622	622	100.0	100.0	100.0
10	3270561	3271406	10	3270561	3271148	587	845	587	69.46745562130178	100.0	69.46745562130178
10	3406529	3406977	10	3406529	3406977	448	448	448	100.0	100.0	100.0
10	6247180	6247732	10	6247220	6247732	512	552	512	92.7536231884058	100.0	92.7536231884058
10	6581249	6582005	10	6581249	6582138	756	756	889	100.0	85.03937007874016	85.03937007874016
10	11379599	11380217	10	11379673	11380201	528	618	528	85.43689320388349	100.0	85.43689320388349
10	12405523	12406195	10	12405620	12405965	345	672	345	51.33928571428571	100.0	51.33928571428571
10	13706957	13707953	10	13707040	13707953	913	996	913	91.66666666666666	100.0	91.66666666666666
10	14563682	14565291	10	14563542	14565464	1609	1609	1922	100.0	83.71488033298647	83.71488033298647
10	21515638	21515885	10	21515695	21515885	190	247	190	76.92307692307693	100.0	76.92307692307693
10	22253515	22253809	10	22253731	22254648	78	294	917	26.53061224489796	8.505997818974919	8.505997818974919
10	23096650	23096854	10	23096650	23096895	204	204	245	100.0	83.26530612244898	83.26530612244898
10	23345250	23345483	10	23345250	23345483	233	233	233	100.0	100.0	100.0
10	24783706	24784633	10	24783728	24784440	712	927	712	76.80690399137	100.0	76.80690399137
10	24790167	24791332	10	24790167	24791249	1082	1165	1082	92.87553648068669	100.0	92.87553648068669
10	27413420	27414515	10	27413523	27414302	779	1095	779	71.14155251141553	100.0	71.14155251141553
10	28768453	28768926	10	28768204	28768579	126	473	375	26.6384778012685	33.6	26.6384778012685
10	33259280	33259651	10	33259007	33259530	250	371	523	67.38544474393531	47.801147227533455	47.801147227533455
10	43350553	43351176	10	43350553	43351398	623	623	845	100.0	73.72781065088758	73.72781065088758
10	48509023	48509813	10	48509254	48509650	396	790	396	50.12658227848101	100.0	50.12658227848101
10	48669802	48671809	10	48670811	48671632	821	2007	821	40.90682610861983	100.0	40.90682610861983
10	50659957	50660563	10	50659996	50660499	503	606	503	83.003300330033	100.0	83.003300330033
10	52232946	52233438	10	52232077	52233363	417	492	1286	84.7560975609756	32.426127527216174	32.426127527216174
10	62992270	62992777	10	62992270	62992566	296	507	296	58.38264299802761	100.0	58.38264299802761
10	69242928	69243339	10	69243050	69243396	289	411	346	70.31630170316302	83.52601156069365	70.31630170316302
10	69319742	69320065	10	69319803	69320004	201	323	201	62.22910216718266	100.0	62.22910216718266
10	69866703	69867032	10	69866703	69867032	329	329	329	100.0	100.0	100.0
10	71985163	71987096	10	71985080	71986980	1817	1933	1900	93.99896533885152	95.63157894736842	93.99896533885152
10	75029843	75030516	10	75029882	75030425	543	673	543	80.68350668647845	100.0	80.68350668647845
10	78176758	78177042	10	78176801	78177042	241	284	241	84.85915492957746	100.0	84.85915492957746
10	79239423	79239620	10	79239499	79240137	121	197	638	61.42131979695431	18.96551724137931	18.96551724137931
10	79409689	79409966	10	79408760	79409984	277	277	1224	100.0	22.630718954248366	22.630718954248366
10	86665652	86669625	10	86665394	86669511	3859	3973	4117	97.13063176440977	93.73330094729172	93.73330094729172
10	86712051	86712459	10	86712094	86712498	365	408	404	89.4607843137255	90.34653465346535	89.4607843137255
