reference	target_id	seqnames_hg19	pos_hg19	cell_type	marker_rank	marker_pvalue	signature_platform	mapping_status	seqnames_hg38	pos_hg38	overlaps_blacklist	overlaps_ct_snp	duplicated_reference_coordinate	eligible
"Lee"	"cg13129833"	"chr1"	145023679	"Astro"	1	6.01673353819446e-56	"850K"	"unique_liftover"	"chr1"	148860741	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13204462"	"chr1"	154716855	"Astro"	2	1.09930403510729e-49	"850K"	"unique_liftover"	"chr1"	154744379	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg27362167"	"chr3"	47885047	"Astro"	3	1.338989644769e-44	"850K"	"unique_liftover"	"chr3"	47843557	FALSE	TRUE	FALSE	FALSE
"Lee"	"cg20035206"	"chr7"	44199106	"Astro"	4	7.49290139641262e-41	"850K"	"unique_liftover"	"chr7"	44159507	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03046233"	"chr2"	136777709	"Astro"	5	2.07324208411216e-40	"850K"	"unique_liftover"	"chr2"	136020139	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13367234"	"chr1"	17253197	"Astro"	6	5.99068674053828e-40	"850K"	"unique_liftover"	"chr1"	16926702	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg08943316"	"chr15"	93607465	"Astro"	7	1.08632057171475e-39	"850K"	"unique_liftover"	"chr15"	93064236	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg27580173"	"chr3"	58558343	"Astro"	8	6.85661047192606e-39	"850K"	"unique_liftover"	"chr3"	58572616	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg15095654"	"chr9"	75242161	"Astro"	9	1.32276544248727e-38	"850K"	"unique_liftover"	"chr9"	72627245	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26215343"	"chr3"	138114917	"Astro"	10	1.75823373451173e-38	"850K"	"unique_liftover"	"chr3"	138396075	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg06271020"	"chr16"	64769742	"Astro"	11	3.22795712393491e-38	"850K"	"unique_liftover"	"chr16"	64735839	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg08898515"	"chr2"	68483298	"Astro"	12	7.21755380944272e-38	"850K"	"unique_liftover"	"chr2"	68256166	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg23131909"	"chr2"	219267443	"Astro"	13	8.77102932772158e-38	"850K"	"unique_liftover"	"chr2"	218402720	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg00648203"	"chr9"	138967195	"Astro"	14	8.82679287660364e-38	"850K"	"unique_liftover"	"chr9"	136075349	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg20652681"	"chr1"	53097272	"Astro"	15	8.95290513926531e-38	"850K"	"unique_liftover"	"chr1"	52631600	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17616230"	"chr20"	25032151	"Astro"	16	1.02210026500355e-37	"850K"	"unique_liftover"	"chr20"	25051515	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg15036118"	"chr3"	194651798	"Astro"	17	1.3868349691451e-37	"850K"	"unique_liftover"	"chr3"	194931069	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14765220"	"chr22"	33363764	"Astro"	18	1.54167408786511e-37	"850K"	"unique_liftover"	"chr22"	32967779	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26908895"	"chr3"	150983731	"Astro"	19	2.98343323179271e-37	"850K"	"unique_liftover"	"chr3"	151265943	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17247149"	"chr3"	66455638	"Astro"	20	3.44621856226777e-37	"850K"	"unique_liftover"	"chr3"	66405214	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14518607"	"chr5"	168419258	"Astro"	21	6.03202079977681e-37	"850K"	"unique_liftover"	"chr5"	168992253	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg00546101"	"chr3"	65939169	"Astro"	22	1.16983827237298e-36	"850K"	"unique_liftover"	"chr3"	65953494	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02194396"	"chr19"	427162	"Astro"	23	1.82062951875454e-36	"850K"	"unique_liftover"	"chr19"	427162	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13971793"	"chr16"	69762026	"Astro"	24	1.93125650223983e-36	"850K"	"unique_liftover"	"chr16"	69728123	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg09514524"	"chr8"	145729799	"Astro"	25	2.15090127697816e-36	"850K"	"unique_liftover"	"chr8"	144504416	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14110621"	"chr3"	58087848	"Astro"	26	2.69344137746625e-36	"850K"	"unique_liftover"	"chr3"	58102121	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13211024"	"chr1"	64947189	"Astro"	27	2.77683746343834e-36	"850K"	"unique_liftover"	"chr1"	64481506	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02289653"	"chr20"	34738710	"Astro"	28	3.31269257922035e-36	"850K"	"unique_liftover"	"chr20"	36150788	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg06555404"	"chr17"	79686849	"Astro"	29	3.58821639086038e-36	"850K"	"unique_liftover"	"chr17"	81719819	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg07037032"	"chr1"	19614429	"Astro"	30	3.70743687409969e-36	"850K"	"unique_liftover"	"chr1"	19287935	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26602365"	"chr11"	118017517	"Astro"	31	3.81735713635536e-36	"850K"	"unique_liftover"	"chr11"	118146802	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg08588357"	"chr17"	78856675	"Astro"	32	4.01989259254585e-36	"850K"	"unique_liftover"	"chr17"	80882875	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg24454741"	NA	NA	"Astro"	33	4.0522614087591e-36	"850K"	"invalid_source_coordinate"	NA	NA	FALSE	FALSE	FALSE	FALSE
"Lee"	"cg02274236"	"chr7"	70258649	"Astro"	34	6.26358793259687e-36	"850K"	"unique_liftover"	"chr7"	70793663	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg27623536"	"chr11"	10591716	"Astro"	35	7.19144389030572e-36	"850K"	"unique_liftover"	"chr11"	10570169	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg00503690"	"chr3"	66431055	"Astro"	36	8.92579049673285e-36	"850K"	"unique_liftover"	"chr3"	66380631	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg05540639"	"chr16"	85352976	"Astro"	37	1.85983212470087e-35	"850K"	"unique_liftover"	"chr16"	85319370	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg24950071"	"chr11"	66741533	"Astro"	38	3.28336593013693e-35	"850K"	"unique_liftover"	"chr11"	66974062	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02279471"	"chr1"	95650030	"Astro"	39	3.67506312896522e-35	"850K"	"unique_liftover"	"chr1"	95184474	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26409376"	"chr5"	81645345	"Astro"	40	7.26004180441379e-35	"850K"	"unique_liftover"	"chr5"	82349526	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13743731"	"chr19"	11204447	"Astro"	41	7.78972111713864e-35	"850K"	"unique_liftover"	"chr19"	11093771	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17872658"	"chr17"	78856861	"Astro"	42	9.46800594026037e-35	"850K"	"unique_liftover"	"chr17"	80883061	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26658747"	"chr8"	23390230	"Astro"	43	1.14275970594395e-34	"850K"	"unique_liftover"	"chr8"	23532717	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg16681083"	"chr1"	44727237	"Astro"	44	1.42010864389107e-34	"850K"	"unique_liftover"	"chr1"	44261565	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg11572979"	"chr9"	98209971	"Astro"	45	1.52803423286641e-34	"850K"	"unique_liftover"	"chr9"	95447689	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03304880"	"chr22"	37164220	"Astro"	46	1.55824117169143e-34	"850K"	"unique_liftover"	"chr22"	36768176	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg09974304"	"chr16"	1374749	"Astro"	47	2.04549976517231e-34	"850K"	"unique_liftover"	"chr16"	1324748	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg10814803"	"chr2"	63273940	"Astro"	48	3.02704433164724e-34	"850K"	"unique_liftover"	"chr2"	63046805	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26233866"	"chr1"	44727284	"Astro"	49	3.64354336810299e-34	"850K"	"unique_liftover"	"chr1"	44261612	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04747007"	"chr19"	7585845	"Astro"	50	3.71502475234426e-34	"850K"	"unique_liftover"	"chr19"	7520959	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04729026"	"chr1"	53097317	"Astro"	51	4.46329072996157e-34	"850K"	"unique_liftover"	"chr1"	52631645	FALSE	TRUE	FALSE	FALSE
"Lee"	"cg13048591"	"chr1"	16346120	"Astro"	52	5.10364770898654e-34	"850K"	"unique_liftover"	"chr1"	16019625	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01057265"	"chr10"	128950386	"Astro"	53	5.32721378440604e-34	"850K"	"unique_liftover"	"chr10"	127152122	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17876641"	"chr1"	200960141	"Astro"	54	5.78455736507562e-34	"850K"	"unique_liftover"	"chr1"	200991013	FALSE	FALSE	FALSE	TRUE
