cohort	tissue	population	vmr_set	modality	vmr_id	seqnames	start	end	h2_category	h2_unscaled	n_pairs_tested	n_features_tested	n_sig_fdr_05	n_sig_fdr_10	min_p	min_fdr	max_abs_beta	strongest_beta
all_individuals	caudate	EA	EA_only	expression	chr10_132420878_132421167	chr10	132420878	132421167	Non-heritable	0.0722030473991641	10	10	0	0	0.0676479805166613	0.520369080897395	0.782117792273418	-0.782117792273418
all_individuals	caudate	EA	EA_only	expression	chr10_71860264_71860614	chr10	71860264	71860614	Heritable	0.112259659307619	1	1	0	0	0.74988850314876	0.928969105173233	0.0644954661320227	0.0644954661320227
all_individuals	caudate	EA	EA_only	expression	chr12_110079513_110080056	chr12	110079513	110080056	Non-heritable	0.0588168525136976	1	1	0	0	0.441557987956575	0.836085723825123	0.128220011486256	0.128220011486256
all_individuals	caudate	EA	EA_only	expression	chr12_12010753_12011254	chr12	12010753	12011254	Heritable	0.10752802487279	1	1	0	0	0.199586143124979	0.643826268145092	0.345337289971933	-0.345337289971933
all_individuals	caudate	EA	EA_only	expression	chr12_124726877_124727550	chr12	124726877	124727550	Non-heritable	0.0782237997106261	1	1	0	0	0.462597925607405	0.856662825198898	0.201073755487869	-0.201073755487869
all_individuals	caudate	EA	EA_only	expression	chr12_32390765_32391369	chr12	32390765	32391369	Non-heritable	0.0525910719307564	1	1	0	0	0.242399851791445	0.692571005118413	0.147538005854321	-0.147538005854321
all_individuals	caudate	EA	EA_only	expression	chr13_109739079_109740763	chr13	109739079	109740763	Heritable	0.694876847271494	2	2	0	0	0.235032280509378	0.692571005118413	0.167705813399166	-0.167705813399166
all_individuals	caudate	EA	EA_only	expression	chr13_113647869_113648365	chr13	113647869	113648365	Heritable	0.190849500641093	1	1	0	0	0.106095504665073	0.589419470361517	0.143668832983495	-0.143668832983495
all_individuals	caudate	EA	EA_only	expression	chr14_35342394_35342649	chr14	35342394	35342649	Non-heritable	0.0976337607631928	6	6	0	0	0.171224798911437	0.612945821872612	0.282237043522056	-0.282237043522056
all_individuals	caudate	EA	EA_only	expression	chr14_75514953_75515921	chr14	75514953	75515921	Heritable	0.319607010910558	1	1	0	0	0.28625683913661	0.753307471412131	0.303813957307938	0.303813957307938
all_individuals	caudate	EA	EA_only	expression	chr14_77641634_77641911	chr14	77641634	77641911	Heritable	0.156418207418733	6	6	0	0	0.0675096657010386	0.520369080897395	0.476264844523049	0.476264844523049
all_individuals	caudate	EA	EA_only	expression	chr15_101121291_101122127	chr15	101121291	101122127	Heritable	0.318578540978832	1	1	0	0	0.845239099082042	0.928969105173233	0.00960624722115543	0.00960624722115543
all_individuals	caudate	EA	EA_only	expression	chr15_31266141_31266865	chr15	31266141	31266865	Non-heritable	0.0863086947731235	1	1	0	0	0.13718131194944	0.612945821872612	0.449072738706009	-0.449072738706009
all_individuals	caudate	EA	EA_only	expression	chr15_64835985_64836454	chr15	64835985	64836454	Heritable	0.57291446153975	2	2	1	1	1.93146331885612e-07	6.43821106285375e-06	0.885804615728033	-0.885804615728033
all_individuals	caudate	EA	EA_only	expression	chr15_79993499_79993970	chr15	79993499	79993970	Non-heritable	0.0783820616446444	1	1	0	0	0.513874847514128	0.870783495490826	0.0187484849375124	-0.0187484849375124
all_individuals	caudate	EA	EA_only	expression	chr17_16991543_16991628	chr17	16991543	16991628	Non-heritable	0.0873493341569053	1	1	0	0	0.299015447264497	0.765307567262177	0.0335071081959827	-0.0335071081959827
all_individuals	caudate	EA	EA_only	expression	chr18_11948052_11948155	chr18	11948052	11948155	Heritable	0.164856887072689	4	4	0	0	0.176252057556953	0.612945821872612	0.241087804528972	-0.241087804528972
all_individuals	caudate	EA	EA_only	expression	chr18_48901741_48902301	chr18	48901741	48902301	Non-heritable	0.0834977231001816	1	1	0	0	0.522470097294496	0.870783495490826	0.135255892332815	0.135255892332815
all_individuals	caudate	EA	EA_only	expression	chr20_57628381_57628557	chr20	57628381	57628557	Heritable	0.136515674291876	1	1	0	0	0.685106283503604	0.925193517075116	0.0506048705882327	0.0506048705882327
all_individuals	caudate	EA	EA_only	expression	chr22_45261870_45262719	chr22	45261870	45262719	Heritable	0.447517843657369	1	1	0	0	0.348675239266382	0.779010540576755	0.144652574135449	0.144652574135449
all_individuals	caudate	EA	EA_only	expression	chr2_119283915_119284248	chr2	119283915	119284248	Non-heritable	0.0970823345704956	4	4	1	1	9.26655385891475e-06	0.000154442564315246	2.76336498089691	-2.76336498089691
all_individuals	caudate	EA	EA_only	expression	chr2_127176041_127176829	chr2	127176041	127176829	Heritable	0.307632913697673	1	1	0	0	0.237381612511084	0.692571005118413	0.158970254553852	0.158970254553852
all_individuals	caudate	EA	EA_only	expression	chr2_130825152_130825810	chr2	130825152	130825810	Non-heritable	0.0983900701887627	1	1	0	0	0.609893076415204	0.910288173754035	0.134309672772792	-0.134309672772792
all_individuals	caudate	EA	EA_only	expression	chr2_19863356_19863658	chr2	19863356	19863658	Non-heritable	0.0616844670899022	1	1	0	0	0.132253213072535	0.612945821872612	0.243829815175285	0.243829815175285
all_individuals	caudate	EA	EA_only	expression	chr2_231189960_231190423	chr2	231189960	231190423	Heritable	0.143005580977068	2	2	1	1	5.15718419663077e-06	0.000128929604915769	1.02520635990108	-1.02520635990108
all_individuals	caudate	EA	EA_only	expression	chr2_27765973_27766621	chr2	27765973	27766621	Non-heritable	0.0620065293944835	1	1	0	0	0.664251698497895	0.925193517075116	0.111941918739518	0.111941918739518
all_individuals	caudate	EA	EA_only	expression	chr3_105353558_105354749	chr3	105353558	105354749	Heritable	0.186759021064727	1	1	0	0	0.741728576912967	0.928969105173233	0.0576028608930166	-0.0576028608930166
all_individuals	caudate	EA	EA_only	expression	chr3_194527150_194527690	chr3	194527150	194527690	Heritable	0.41896423026405	3	3	0	0	0.100120222275486	0.588942483973448	0.357113717757604	-0.357113717757604
all_individuals	caudate	EA	EA_only	expression	chr3_4986136_4986458	chr3	4986136	4986458	Non-heritable	0.0834896788349785	2	2	0	0	0.371345896894059	0.807273688900127	0.234121302290697	-0.234121302290697
all_individuals	caudate	EA	EA_only	expression	chr4_25970889_25971344	chr4	25970889	25971344	Heritable	0.205624036886367	2	2	0	0	0.19001482353395	0.633382745113168	0.430856525792596	0.430856525792596
all_individuals	caudate	EA	EA_only	expression	chr4_3285921_3286328	chr4	3285921	3286328	Non-heritable	0.0669118135426554	1	1	0	0	0.153347439117353	0.612945821872612	0.410483553622933	0.410483553622933
all_individuals	caudate	EA	EA_only	expression	chr4_4852758_4853172	chr4	4852758	4853172	Non-heritable	0.0918417528179127	1	1	0	0	0.0452614560334291	0.411467782122082	0.647312526917294	0.647312526917294
all_individuals	caudate	EA	EA_only	expression	chr5_10138443_10138833	chr5	10138443	10138833	Non-heritable	0.0765119719884202	1	1	0	0	0.865043643830372	0.928969105173233	0.0442672417608057	0.0442672417608057
all_individuals	caudate	EA	EA_only	expression	chr5_140146511_140146641	chr5	140146511	140146641	Non-heritable	0.0705736949071486	1	1	0	0	0.777226992602554	0.928969105173233	0.129875391569037	0.129875391569037
all_individuals	caudate	EA	EA_only	expression	chr5_173866807_173867537	chr5	173866807	173867537	Non-heritable	0.0998573163997668	2	2	0	0	0.313776102577492	0.765307567262177	0.197924274668311	-0.197924274668311
all_individuals	caudate	EA	EA_only	expression	chr5_80091850_80092203	chr5	80091850	80092203	Non-heritable	0.0985833303318015	1	1	0	0	0.433307477803488	0.836085723825123	0.148869760795326	0.148869760795326
all_individuals	caudate	EA	EA_only	expression	chr6_156719680_156720652	chr6	156719680	156720652	Non-heritable	0.0464872419947706	4	4	0	0	0.259967614333599	0.722132262037775	0.225041444889136	-0.225041444889136
all_individuals	caudate	EA	EA_only	expression	chr6_170152461_170153288	chr6	170152461	170153288	Heritable	0.228372130618244	1	1	0	0	0.0203399360491577	0.225999289435086	0.192036603099824	-0.192036603099824
all_individuals	caudate	EA	EA_only	expression	chr6_32597755_32606804	chr6	32597755	32606804	Heritable	0.450937381066981	1	1	1	1	4.65914599216238e-13	4.65914599216238e-11	2.2852129973516	2.2852129973516
all_individuals	caudate	EA	EA_only	expression	chr6_32608025_32614068	chr6	32608025	32614068	Heritable	0.378954159008805	3	3	2	2	7.89241071158201e-10	3.946205355791e-08	3.92859321349535	3.92859321349535
all_individuals	caudate	EA	EA_only	expression	chr6_36667028_36667656	chr6	36667028	36667656	Non-heritable	0.0410638252702615	2	2	0	0	0.150513946193371	0.612945821872612	1.28023580789175	-1.28023580789175
all_individuals	caudate	EA	EA_only	expression	chr7_1169684_1170352	chr7	1169684	1170352	Heritable	0.199832943644719	2	2	1	1	2.64168720997997e-05	0.000377383887139996	1.10467071960814	-1.10467071960814
all_individuals	caudate	EA	EA_only	expression	chr7_149064831_149064945	chr7	149064831	149064945	Heritable	0.124871150129645	7	7	0	0	0.125513921625997	0.612945821872612	0.509137984572941	0.509137984572941
all_individuals	caudate	EA	EA_only	expression	chr7_76291331_76291796	chr7	76291331	76291796	Non-heritable	0.0226428785482809	1	1	0	0	0.233209701504052	0.692571005118413	0.866810099998536	-0.866810099998536
all_individuals	caudate	EA	EA_only	expression	chr7_76294577_76295125	chr7	76294577	76295125	Non-heritable	0.0733467840610126	1	1	0	0	0.836396706684223	0.928969105173233	0.166603830239143	-0.166603830239143
all_individuals	caudate	EA	EA_only	expression	chr8_143024083_143024264	chr8	143024083	143024264	Non-heritable	0.0199141434243409	2	2	0	0	0.425913028041947	0.836085723825123	0.248284252539514	0.248284252539514
all_individuals	caudate	EA	EA_only	expression	chrX_130120970_130121470	chrX	130120970	130121470	Non-heritable	0.0338553275313878	3	3	0	0	0.0172011024543591	0.215013780679489	1.94386241393607	1.94386241393607
all_individuals	caudate	EA	EA_only	expression	chrX_47361749_47362314	chrX	47361749	47362314	Heritable	0.238910913749548	4	4	0	0	0.58984846840396	0.904631871552185	0.115085718501565	-0.115085718501565
